iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
BEN,1,Benin,Borgou,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,552982.0,1433391.0,720650.0,1616002.0,115765.48087064135,25319.541289719953
BEN,1,Benin,Alibori,4,5654.268202769831,8742.794265843913,30238.0,79950.0,3330.0,48027.0,5,5656.025543893694,8742.794265843913,78530.0,213802.0,10899.0,124354.0,3,1339.2617756816178,4406.095554873571,17436.0,66273.0,3542.0,53557.0,3,1339.2617756816178,4406.095554873571,50869.0,185885.0,8897.0,128030.0,7,6993.529978451448,10719.417830872875,47674.0,125634.0,6872.0,92583.0,8,6995.287319575311,10719.417830872875,129399.0,338563.0,19796.0,228596.0,402483.0,1009465.0,469582.0,1025764.0,115765.48087064135,26427.59520745843
BEN,1,Benin,Atakora,1,2711.253610150594,4481.872606934567,14284.0,27085.0,226.0,1079.0,2,2713.176336617601,4481.872606934567,25874.0,50000.0,235.0,1446.0,4,2975.929746000049,6849.321930217123,39071.0,114006.0,54696.0,140390.0,4,2975.929746000049,6849.321930217123,67048.0,199030.0,82510.0,211964.0,5,5687.183356150644,8251.26522449706,53355.0,121527.0,54923.0,140535.0,6,5689.10608261765,8251.26522449706,92922.0,212658.0,82745.0,212124.0,481030.0,894720.0,616422.0,998273.0,115765.48087064135,20994.816992426437
BEN,1,Benin,Donga,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,275225.0,605805.0,344935.0,671694.0,115765.48087064135,11079.250400157245
BEN,1,Benin,Collines,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,442763.0,756817.0,568312.0,838338.0,115765.48087064135,14476.9954463805
BEN,1,Benin,Plateau,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,316105.0,681960.0,394893.0,739164.0,115765.48087064135,3126.5348111178
BEN,1,Benin,Zou,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,484954.0,919017.0,619068.0,1013272.0,115765.48087064135,5058.106800033888
BEN,1,Benin,Littoral,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,632596.0,741246.0,839447.0,957233.0,115765.48087064135,90.02777530037532
BEN,1,Benin,Kouffo,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8306793722388177,345.30179163341086,206.0,133418.0,5.0,195242.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8306793722388177,345.30179163341086,206.0,133418.0,5.0,195242.0,405723.0,768913.0,528264.0,862610.0,115765.48087064135,2419.7672230001217
BEN,1,Benin,Oueme,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,558666.0,1176753.0,704946.0,1254750.0,115765.48087064135,1341.9861353291865
