iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
COD,1,"Congo, Dem Rep of the",Upper Uele,3,7101.109204467418,13073.789311734081,17197.0,55512.0,1498.0,16931.0,3,7101.109204467417,13073.78931173408,36859.0,120739.0,1712.0,25238.0,8,14097.50969445761,27342.55617238557,87549.0,225132.0,74681.0,236017.0,8,14097.509694457609,27342.55617238558,176258.0,472491.0,105682.0,356841.0,11,21198.618898925026,33271.743214541915,104747.0,253446.0,76179.0,248585.0,11,21198.618898925022,33271.74321454192,213117.0,540030.0,107395.0,375477.0,822023.0,1827037.0,1013172.0,1621762.0,2338175.478068988,91956.37410265265
COD,1,"Congo, Dem Rep of the",Ituri,3,12127.838932776187,16938.409743628337,32795.0,80520.0,7473.0,82045.0,3,12127.83893277619,16938.409743628337,80445.0,166049.0,7869.0,107698.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.47660824545803,268.7845465529373,320.0,11786.0,4.0,1936.0,3,12127.838932776185,16938.409743628337,32795.0,80520.0,7473.0,82045.0,4,12137.315541021648,17207.19429018127,80765.0,177835.0,7873.0,109634.0,2416944.0,5353518.0,2991433.0,4846946.0,2338175.478068988,63424.218198722636
COD,1,"Congo, Dem Rep of the",Tshopo,2,7215.589048348951,12760.321428543783,30849.0,94289.0,41876.0,135799.0,2,7215.589048348952,12760.32142854378,72194.0,212454.0,52164.0,183981.0,1,4.443790952952665,1069.7323872328163,9.0,1952.0,0.0,819.0,1,4.443790952952666,1069.732387232816,19.0,4624.0,0.0,1341.0,3,7220.032839301904,13830.053815776599,30858.0,96241.0,41876.0,136618.0,3,7220.032839301904,13830.053815776597,72213.0,217078.0,52164.0,185322.0,1358627.0,3022875.0,1672057.0,2789545.0,2338175.478068988,195408.4849962162
COD,1,"Congo, Dem Rep of the",Lower Uele,2,10670.647349820072,18398.834914822317,11572.0,32708.0,3027.0,30410.0,2,10670.647349820072,18398.834914822317,21089.0,57050.0,3800.0,48660.0,2,36059.97677852062,53506.55058370406,40281.0,85643.0,35107.0,85061.0,2,36059.976778520635,53506.55058370406,87986.0,192481.0,64168.0,166453.0,4,46730.62412834073,58674.78988158514,51853.0,96319.0,38134.0,88871.0,4,46730.6241283407,58674.78988158514,109075.0,209844.0,67968.0,171840.0,593817.0,1309463.0,717989.0,1159677.0,2338175.478068988,149475.9388759889
COD,1,"Congo, Dem Rep of the",Mongala,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,927420.0,1965514.0,1156228.0,1775631.0,2338175.478068988,56342.37154568073
COD,1,"Congo, Dem Rep of the",Nord-Ubangi,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,643562.0,1349887.0,804899.0,1231319.0,2338175.478068988,54585.48701064531
COD,1,"Congo, Dem Rep of the",Tshuapa,1,19917.13511808548,30476.59540328434,12775.0,40081.0,623.0,48620.0,1,19917.135118085473,30476.59540328434,22229.0,77870.0,786.0,75152.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,19917.135118085476,30476.595403284336,12775.0,40081.0,623.0,48620.0,1,19917.13511808548,30476.595403284344,22229.0,77870.0,786.0,75152.0,690335.0,1449439.0,844305.0,1301010.0,2338175.478068988,138777.21842383602
COD,1,"Congo, Dem Rep of the",Équateur,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1016996.0,2135225.0,1239977.0,1962420.0,2338175.478068988,105519.16475548816
COD,1,"Congo, Dem Rep of the",Haut-Katanga,2,13180.315322633225,23298.58614819352,71690.0,139967.0,15546.0,105867.0,3,24727.035784400203,33623.226636493346,691356.0,1220486.0,479345.0,913201.0,4,4925.696287819061,10333.246882173982,28521.0,85823.0,60951.0,106741.0,4,1154.206359398767,3602.215810965836,96046.0,351154.0,119798.0,294116.0,6,18106.011610452286,27468.803396897885,100212.0,192840.0,76498.0,184250.0,7,25881.242143798972,36320.694051750426,787401.0,1536605.0,599143.0,1189808.0,1610282.0,9251157.0,1992400.0,7260998.0,2338175.478068988,125448.23719628784
COD,1,"Congo, Dem Rep of the",Haut-Lomami,1,6618.64879278452,11443.554634953778,31243.0,117030.0,13300.0,130310.0,2,14853.867379823583,20735.342400383324,1486195.0,2601064.0,1524190.0,2576059.0,1,2449.871114858563,4495.817374490679,48674.0,61934.0,63344.0,95203.0,1,2449.8515213195005,4495.817374490679,236539.0,335623.0,219572.0,331084.0,2,9068.519907643084,14302.836895720524,79918.0,166024.0,76644.0,192058.0,3,17303.718901143086,23254.898578370772,1722735.0,2796669.0,1743763.0,2784900.0,1199102.0,6864013.0,1480580.0,5968736.0,2338175.478068988,109839.91648706494
