iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
MMR,1,Burma,Ayeyarwady,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,132.5232635533625,1041.0616795649246,9348.0,142169.0,49.0,56859.0,2,147.85127242008662,2227.6288573149623,5961.0,98700.0,51.0,76401.0,1,132.5232635533625,1041.0616795649244,9348.0,142169.0,49.0,56859.0,2,147.85127242008662,2227.6288573149623,5961.0,98700.0,51.0,76401.0,6280866.0,4890121.0,5246636.0,6227851.0,668912.0387441742,33549.293388452395
MMR,1,Burma,Chin,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1499.3068711025392,6641.137179198094,12420.0,64545.0,293.0,159423.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,132.11338502734375,1057.2903361279298,985.0,10773.0,105.0,54253.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,1631.4202561298828,7698.427515326023,13405.0,75319.0,398.0,213676.0,432190.0,412649.0,360269.0,519768.0,668912.0387441742,36064.55881955695
MMR,1,Burma,Saigang,1,1426.7553863873813,3276.6906495396292,8376.0,53104.0,115.0,31336.0,1,1426.7553863873813,3276.6906495396292,9160.0,51407.0,145.0,44264.0,3,2641.988058868026,7577.459117897293,64327.0,293946.0,34365.0,270666.0,6,9224.098470254645,16926.02686977385,84060.0,349293.0,71672.0,465021.0,4,4068.7434452554076,10854.149767436922,72702.0,347050.0,34481.0,302003.0,7,10650.853856642028,20202.717519313483,93220.0,400700.0,71817.0,509285.0,4915231.0,4445908.0,4122041.0,5679849.0,668912.0387441742,93800.78693124875
MMR,1,Burma,Kachin,1,4205.357713207913,6595.428421927989,1038.0,3618.0,801.0,5201.0,3,6060.22938984252,12522.726389987516,11606.0,66440.0,1631.0,29623.0,1,126.12288283203125,1277.2990841914063,1073.0,45665.0,0.0,25131.0,6,17853.7806086187,31987.94067714245,134031.0,407131.0,36800.0,316530.0,2,4331.480596039943,7872.727506119396,2112.0,49283.0,801.0,30333.0,9,23914.009998461228,42356.421899628134,145638.0,463555.0,38431.0,345656.0,1399958.0,1877784.0,1244368.0,2325500.0,668912.0387441742,94745.26865351101
MMR,1,Burma,Kayah,2,4.417177082015932,1109.5437973601415,12.0,2181.0,0.0,3288.0,3,5.153220215268843,1561.5104694623165,14.0,3067.0,0.0,3773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.417177082015932,1109.5437973601413,12.0,2181.0,0.0,3288.0,3,5.153220215268843,1561.5104694623165,14.0,3067.0,0.0,3773.0,254149.0,244909.0,213059.0,312881.0,668912.0387441742,11781.517415230772
MMR,1,Burma,Kayin,5,4.565192675306372,2251.486431391498,66.0,26930.0,2.0,62134.0,7,5.867758029787071,2943.1318994347384,141.0,81297.0,6.0,211663.0,2,401.10530814589845,2460.428152492153,6427.0,43312.0,1548.0,34470.0,2,401.10530814589845,2460.428152492153,7029.0,46788.0,1739.0,49467.0,7,405.67050082120477,4711.914583883653,6493.0,70241.0,1550.0,96604.0,9,406.9730661756855,5403.560051926891,7170.0,128085.0,1745.0,261130.0,1352209.0,1250942.0,1132443.0,1597101.0,668912.0387441742,30360.186853018033
MMR,1,Burma,Magway,1,5.2754637166704965,563.4441459548253,42.0,6615.0,0.0,53204.0,1,5.2754637166704965,563.4441459548253,48.0,8757.0,0.0,53311.0,2,486.5412091611328,2759.7220588642576,20318.0,325926.0,4316.0,336032.0,3,489.00470998925783,3204.8744814345705,17529.0,267781.0,4943.0,422818.0,3,491.81667287780334,3323.1662048190833,20361.0,332542.0,4316.0,389237.0,4,494.28017370592835,3768.3186273893953,17578.0,276538.0,4943.0,476130.0,4349079.0,3021340.0,3649575.0,3873011.0,668912.0387441742,44975.05769608593
MMR,1,Burma,Mandalay,1,101.35799884375,1051.0490372892732,5567.0,178216.0,29.0,161848.0,1,101.35799884375,1051.0490372892732,5415.0,125098.0,33.0,188678.0,4,138.13202015826442,2238.3278097893376,29772.0,1143731.0,24979.0,963966.0,6,164.8393273182062,3701.9363327276615,26816.0,1007738.0,37360.0,1272679.0,5,239.49001900201444,3289.3768470786113,35339.0,1321947.0,25008.0,1125814.0,7,266.1973261619562,4752.985370016934,32231.0,1132836.0,37392.0,1461357.0,1.486348E7,5291179.0,1.1871787E7,7351000.0,668912.0387441742,38102.68399600749
MMR,1,Burma,Mon,0,0.0,0.0,0.0,0.0,0.0,0.0,3,141.15031149489508,1265.6019610246894,5619.0,63188.0,1624.0,31889.0,2,24.031445743156404,694.5165291512676,6406.0,127199.0,1606.0,230056.0,2,24.031445743156404,694.5165291512676,3227.0,97053.0,2306.0,214381.0,2,24.031445743156404,694.5165291512676,6406.0,127199.0,1606.0,230056.0,5,165.18175723805146,1911.5889303351366,8845.0,153927.0,3930.0,246165.0,2259174.0,1433639.0,1960496.0,1923849.0,668912.0387441742,10721.821612016452
MMR,1,Burma,Rakhine,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1699.8156029963086,3097.637419361651,9277.0,28870.0,0.0,28157.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1699.8156029963084,3097.6374193616502,9277.0,28870.0,0.0,28157.0,2514412.0,1455309.0,2070909.0,1826861.0,668912.0387441742,34174.47946605426
