iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
TZA,1,Tanzania,Kilimanjaro,4,1716.9367343067513,5670.023949929086,68638.0,731975.0,2504.0,894346.0,4,1716.9367343067515,5670.023949929086,85094.0,1002829.0,3881.0,1274515.0,7,2331.750334806943,5288.122059357295,15244.0,179293.0,1489.0,213509.0,7,2331.750334806943,5288.122059357296,19732.0,260322.0,2229.0,327451.0,11,4048.6870691136937,8902.469126700267,83883.0,849227.0,3992.0,1030579.0,11,4048.6870691136937,8902.469126700267,104827.0,1171649.0,6111.0,1488108.0,1108656.0,1578258.0,1355605.0,2023121.0,944223.5557016043,12478.225396220047
TZA,1,Tanzania,Mara,1,7975.103901180261,11146.611542849689,32635.0,171003.0,8361.0,180990.0,1,7975.103901180262,11146.61154284969,60407.0,289358.0,9209.0,332613.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7975.103901180262,11146.61154284969,32635.0,171003.0,8361.0,180990.0,1,7975.103901180261,11146.611542849687,60407.0,289358.0,9209.0,332613.0,1120822.0,1836046.0,1359220.0,2341405.0,944223.5557016043,31092.79598307562
TZA,1,Tanzania,Manyara,2,2162.619790595194,4726.768032419973,18389.0,101665.0,2498.0,127356.0,2,2162.619790595194,4726.768032419972,29589.0,186482.0,1890.0,243838.0,1,814.3053344719364,2570.3301682481642,2820.0,13543.0,1686.0,18080.0,1,814.3053344719362,2570.3301682481642,7723.0,30225.0,3004.0,30505.0,3,2976.92512506713,5542.357906673997,21209.0,104989.0,4184.0,133808.0,3,2976.9251250671296,5542.357906673997,37313.0,195141.0,4894.0,254578.0,861635.0,1629314.0,1057289.0,2088794.0,944223.5557016043,47157.65474128163
TZA,1,Tanzania,Arusha,4,847.9345894912376,5294.764327357908,41330.0,639699.0,4722.0,722592.0,4,847.9345894912378,5294.764327357908,54115.0,1046633.0,7408.0,1190708.0,2,193.44420727942324,1153.238537832326,999.0,6353.0,205.0,3632.0,2,193.44420727942324,1153.238537832326,1601.0,12780.0,302.0,7486.0,6,1041.378796770661,6244.196254277934,42330.0,645730.0,4927.0,726224.0,6,1041.378796770661,6244.196254277936,55716.0,1058854.0,7711.0,1198194.0,1077577.0,1872645.0,1291319.0,2303716.0,944223.5557016043,39010.686034632876
TZA,1,Tanzania,Kagera,2,31.7625767857307,1391.95317629236,476.0,97548.0,0.0,119067.0,2,31.762576785730705,1391.95317629236,908.0,137671.0,0.0,187837.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,31.762576785730705,1391.9531762923598,476.0,97548.0,0.0,119067.0,2,31.762576785730705,1391.9531762923598,908.0,137671.0,0.0,187837.0,1664409.0,2451813.0,2022377.0,3148991.0,944223.5557016043,36576.02929050902
TZA,1,Tanzania,Mbeya,1,12551.80450760655,16455.049223686252,38303.0,115224.0,20229.0,128546.0,1,12551.80450760655,16455.04922368625,67202.0,193591.0,47096.0,233478.0,1,18.998033903925396,835.0316841262638,23.0,334.0,0.0,25.0,1,18.998033903925396,835.0316841262638,11.0,455.0,0.0,40.0,2,12570.802541510475,17290.080907812517,38327.0,115558.0,20229.0,128571.0,2,12570.802541510473,17290.080907812513,67212.0,194046.0,47097.0,233518.0,1681343.0,2916130.0,2078301.0,3740811.0,944223.5557016043,61668.35667736141
TZA,1,Tanzania,Singida,1,373.75814337590396,2100.604556538974,177.0,495.0,113.0,178.0,1,373.758143375904,2100.6045565389745,216.0,763.0,131.0,198.0,1,5018.562936279814,8886.882090608868,2465.0,7417.0,161.0,6554.0,1,5018.562936279814,8886.88209060887,4223.0,14399.0,223.0,16500.0,2,5392.321079655718,10751.220415043483,2641.0,7835.0,273.0,6729.0,2,5392.321079655718,10751.220415043485,4438.0,15041.0,354.0,16696.0,903732.0,1438414.0,1100828.0,1858157.0,944223.5557016043,50671.141566031794
TZA,1,Tanzania,Mtwara,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,273.79392909410643,2080.6538123825826,15429.0,108257.0,21805.0,136182.0,3,273.79392909410643,2080.6538123825826,20609.0,144105.0,26566.0,192138.0,2,273.79392909410643,2080.653812382582,15429.0,108257.0,21805.0,136182.0,2,273.7939290941064,2080.6538123825826,20609.0,144105.0,26566.0,192138.0,941917.0,1202276.0,1163528.0,1587877.0,944223.5557016043,17764.296938639553
TZA,1,Tanzania,Iringa,3,8797.792345040418,13669.34813096452,19810.0,95840.0,2492.0,116310.0,3,8797.792345040421,13669.348130964521,22526.0,120317.0,1931.0,151636.0,6,360.0294164207797,4072.5792901635264,4664.0,121255.0,434.0,175748.0,6,360.0294164207797,4072.5792901635264,4889.0,153647.0,513.0,216569.0,9,9157.8217614612,16679.90465400701,24474.0,186971.0,2926.0,246879.0,9,9157.821761461199,16679.904654007005,27414.0,229275.0,2445.0,310761.0,698958.0,889875.0,859156.0,1153596.0,944223.5557016043,35264.10174650788
TZA,1,Tanzania,Dar es Salaam,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1891885.0,5814404.0,2391324.0,7062072.0,944223.5557016043,1629.126775585049
