iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
UKR,1,Ukraine,Kherson Oblast,2,521.1123152890723,2389.2226065301516,7034.0,45788.0,-536385.0,-637722.0,2,521.1123152890723,2389.2226065301516,5308.0,37440.0,-537150.0,-641431.0,4,26.56421363041322,1031.058297029469,453.0,40593.0,17.0,54043.0,4,26.56421363041322,1031.0582970294693,475.0,40589.0,22.0,53134.0,6,547.6765289194855,3420.2809035596206,7487.0,86381.0,-536368.0,-583679.0,6,547.6765289194855,3420.28090355962,5783.0,78029.0,-537128.0,-588297.0,1026783.0,890426.0,518908.0,355806.0,595981.2950581096,25529.310176081766
UKR,1,Ukraine,Volyn Oblast,12,367.833951978351,3168.9749120025253,10194.0,189393.0,13834.0,363925.0,12,367.833951978351,3168.9749120025263,9423.0,186795.0,13093.0,359299.0,194,1135.530587245577,18663.148226822548,31533.0,852803.0,28081.0,1028739.0,194,1135.530587245577,18663.148226822548,29003.0,825814.0,27609.0,993453.0,206,1503.364539223928,19011.93898302484,41727.0,865880.0,41915.0,1035978.0,206,1503.364539223928,19011.93898302484,38426.0,838249.0,40702.0,999480.0,906952.0,875145.0,1051803.0,1014399.0,595981.2950581096,20081.247846263985
UKR,1,Ukraine,Rivne Oblast,4,527.490507473807,3055.376801839041,3991.0,70170.0,204.0,82460.0,6,568.3767731598423,3100.73776449236,3059.0,69997.0,363.0,89461.0,36,746.3702241287278,7426.946081590144,8013.0,165832.0,1876.0,286195.0,36,736.2911991907398,7404.491091422174,7261.0,168153.0,1768.0,284206.0,40,1273.860731602535,8064.340119808378,12004.0,188918.0,2080.0,303111.0,42,1304.667972350582,8066.089661724393,10320.0,190477.0,2131.0,302991.0,1017381.0,993773.0,1195298.0,1161678.0,595981.2950581096,20034.57587382615
UKR,1,Ukraine,Zhytomyr Oblast,1,207.6736013806181,1033.1765356723806,1210.0,7948.0,8.0,5023.0,2,211.79389893940143,1553.7313580261166,670.0,6870.0,10.0,5864.0,10,99.26824124253791,2108.433751698688,348.0,24295.0,0.0,43144.0,10,99.26824124253791,2108.433751698688,196.0,19853.0,0.0,38009.0,11,306.94184262315605,2643.723020603002,1559.0,28964.0,9.0,45270.0,12,311.06214018193936,3164.277842956738,865.0,24646.0,10.0,41658.0,1202706.0,1035395.0,1401757.0,1206189.0,595981.2950581096,29782.27995812826
UKR,1,Ukraine,Kyiv Oblast,9,105.60071570800402,3396.586641357371,488.0,204582.0,56.0,392462.0,10,2378.2699624172237,6162.807136523141,4861.0,187882.0,1873.0,346782.0,23,99.15188495784888,5637.517604282835,6794.0,245988.0,1066.0,346424.0,23,99.15188495784888,5637.517604282835,8544.0,226579.0,1877.0,312434.0,32,204.75260066585287,8612.910131888388,7281.0,437675.0,1122.0,713333.0,33,2477.4218473750734,11269.535887040978,13405.0,403546.0,3749.0,639156.0,1627444.0,1500411.0,1859986.0,1707022.0,595981.2950581096,28136.889056528256
UKR,1,Ukraine,Chernihiv Oblast,33,106.12331458300781,7862.083437450685,2047.0,334051.0,318.0,710751.0,34,107.47608798890549,8077.606262886278,1337.0,256966.0,232.0,567200.0,250,1137.0886804870097,27665.92354399464,18030.0,967713.0,3062.0,1191232.0,250,1137.0886804870097,27665.923543994635,11570.0,760143.0,2379.0,935685.0,283,1243.2119950700176,28740.648961340714,20077.0,1019811.0,3380.0,1249354.0,284,1244.5647684759153,28775.61495750023,12907.0,801813.0,2610.0,979670.0,1092044.0,857154.0,1266550.0,992899.0,595981.2950581096,31804.05531898178
UKR,1,Ukraine,Sumy Oblast,3,7.1293651318148745,791.8323932038106,3985.0,278419.0,167.0,336186.0,4,7.307262010541131,1021.8064760331879,2837.0,244955.0,180.0,294013.0,50,1723.885470086466,14736.974412680262,37230.0,671903.0,31095.0,1019057.0,50,1723.8854700864658,14736.974412680262,26030.0,536250.0,23745.0,817469.0,53,1731.0148352182807,15178.555270467075,41215.0,892310.0,31262.0,1107968.0,54,1731.1927320970074,15186.454266353623,28867.0,727271.0,23926.0,896759.0,1130356.0,911639.0,1314030.0,1059071.0,595981.2950581096,23736.355904027834
UKR,1,Ukraine,Kharkiv Oblast,7,19.768931919870177,1978.023489597641,5188.0,796409.0,28.0,1192068.0,7,19.768931919870177,1978.0234895976412,5344.0,750611.0,50.0,1117607.0,17,143.1435375053098,4333.370115088054,1534.0,153256.0,1348.0,246859.0,17,143.1435375053098,4333.370115088054,1357.0,123688.0,1321.0,203191.0,24,162.91246942518,6150.245152232571,6722.0,941598.0,1376.0,1427586.0,24,162.91246942517998,6150.245152232571,6700.0,868285.0,1371.0,1311625.0,2519246.0,2261093.0,2939780.0,2651329.0,595981.2950581096,31335.112766805665
UKR,1,Ukraine,Luhansk Oblast,3,21.410753565695853,1411.973760271944,521.0,59733.0,3.0,135935.0,3,21.41075356569585,1411.973760271944,555.0,54638.0,5.0,110806.0,2,6.051348629442401,547.5895827461377,43.0,8057.0,0.0,8927.0,2,6.051348629442401,547.5895827461377,33.0,6948.0,0.0,7825.0,5,27.462102195138254,1769.061897301505,564.0,66060.0,3.0,142848.0,5,27.46210219513825,1769.0618973015048,588.0,59934.0,5.0,116897.0,2203533.0,1797382.0,2562266.0,2095875.0,595981.2950581096,26582.476300592105
UKR,1,Ukraine,Donetsk Oblast,8,515.9899190790461,3273.5139884966684,14019.0,413750.0,8826.0,568305.0,8,515.9899190790461,3273.513988496668,11159.0,322564.0,8099.0,451633.0,5,37.81073754522442,1514.8953830809762,1332.0,78858.0,226.0,137231.0,5,37.81073754522442,1514.8953830843943,1353.0,62744.0,255.0,115349.0,13,553.8006566242705,4788.409371577644,15352.0,492607.0,9052.0,705535.0,13,553.8006566242705,4788.409371577644,12512.0,385308.0,8354.0,566982.0,4202451.0,3535862.0,4886600.0,4131522.0,595981.2950581096,26453.91844047669
