iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
UZB,1,Uzbekistan,Andijan Region,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1812206.0,2640148.0,2185900.0,3067101.0,448330.7102495031,4201.115274724946
UZB,1,Uzbekistan,Namangan Region,5,21.13196448635876,1326.727910467894,557.0,118191.0,3.0,173337.0,5,21.13196448635876,1326.727910467894,1336.0,195304.0,11.0,239338.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,21.13196448635876,1326.7279104678937,557.0,118191.0,3.0,173337.0,5,21.13196448635876,1326.727910467894,1336.0,195304.0,11.0,239338.0,1601346.0,2383394.0,1940310.0,2778958.0,448330.7102495031,7387.097988796708
UZB,1,Uzbekistan,Fergana Region,1,16.345207774902345,294.85188239304364,397.0,13463.0,9.0,8996.0,3,16.71692779736328,924.9588431350683,1546.0,373518.0,101.0,443501.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.345207774902345,294.85188239304364,397.0,13463.0,9.0,8996.0,3,16.71692779736328,924.9588431350684,1546.0,373518.0,101.0,443501.0,2199866.0,3179347.0,2746872.0,3795307.0,448330.7102495031,6689.548186210443
UZB,1,Uzbekistan,Republic of Karakalpakstan,1,41.666533204515176,720.0452652265355,51.0,727.0,0.0,4.0,3,20685.873689986962,29670.10967463766,35739.0,50602.0,112.0,194.0,1,56.33781443102785,590.7540022206324,81.0,645.0,4.0,4.0,1,56.33781443102785,590.7540022206325,194.0,1344.0,5.0,5.0,2,98.00434763554303,1159.0877701886336,131.0,1218.0,4.0,8.0,4,20742.211504417988,29670.109674637664,35934.0,50602.0,117.0,194.0,1333966.0,1634915.0,1568409.0,1849446.0,448330.7102495031,171032.42989456543
UZB,1,Uzbekistan,Xorazm Region,1,90.60112858961782,451.8595940736576,409.0,1768.0,0.0,114.0,2,317.68563134553466,2395.0214542803255,9123.0,404175.0,147.0,594236.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,90.60112858961782,451.8595940736577,409.0,1768.0,0.0,114.0,2,317.68563134553466,2395.021454280325,9123.0,404175.0,147.0,594236.0,1133764.0,1595973.0,1367181.0,1858320.0,448330.7102495031,7013.6784109110395
UZB,1,Uzbekistan,Navoiy Region,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,449.42266715013625,2293.726671161261,1842.0,29351.0,74.0,34355.0,7,774.7524583458222,3475.8733529703477,4972.0,86861.0,821.0,110650.0,5,449.4226671501362,2293.726671161261,1842.0,29351.0,74.0,34355.0,7,774.7524583458222,3475.8733529703477,4972.0,86861.0,821.0,110650.0,660613.0,812532.0,756600.0,891376.0,448330.7102495031,109680.29933199825
UZB,1,Uzbekistan,Surxondaryo Region,2,252.72192221583379,1374.714865179875,1593.0,11311.0,145.0,5432.0,2,252.72192221583379,1374.7148651798752,2672.0,23167.0,239.0,14941.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,252.72192221583379,1374.714865179875,1593.0,11311.0,145.0,5432.0,2,252.72192221583379,1374.714865179875,2672.0,23167.0,239.0,14941.0,1476811.0,2233314.0,1759552.0,2567691.0,448330.7102495031,19872.04958748733
UZB,1,Uzbekistan,Samarqand Region,1,10.592469786672792,360.2626196037781,60.0,2770.0,0.0,943.0,2,29.305372392342598,907.0074413823186,4714.0,281614.0,349.0,399472.0,4,1603.3216040349032,4347.4459353208185,7758.0,66114.0,886.0,58062.0,4,1603.3216040349032,4347.445935320819,15277.0,103598.0,3861.0,161239.0,5,1613.914073821576,4381.699338909652,7819.0,66316.0,886.0,58113.0,6,1632.626976427246,4928.444160688192,19991.0,380894.0,4210.0,556337.0,2263856.0,3321479.0,2706624.0,3818467.0,448330.7102495031,16530.637274161778
UZB,1,Uzbekistan,Tashkent Region,4,4958.969892243344,7032.4896257185965,66331.0,250891.0,8722.0,149876.0,5,4965.160971214322,7177.296629790195,101321.0,377879.0,17040.0,217795.0,3,2.734155652893306,655.6865783160023,17.0,3503.0,0.0,141.0,3,2.734155652893305,655.6865783160023,20.0,4364.0,0.0,272.0,7,4961.704047896236,7217.177854762303,66348.0,253371.0,8722.0,150011.0,8,4967.895126867215,7361.9848588339,101341.0,380955.0,17040.0,218059.0,3149407.0,3821893.0,2421944.0,3209161.0,448330.7102495031,15155.730160337245
UZB,1,Uzbekistan,Sirdaryo Region,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,542611.0,696749.0,658122.0,812096.0,448330.7102495031,4338.46604052921
