iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
ZMB,1,Zambia,Eastern,5,4346.920280807824,12181.62492326056,19878.0,107694.0,1526.0,99242.0,5,4346.920280807824,12181.62492326056,66350.0,260622.0,2786.0,209967.0,12,15824.054216201688,26778.479754218923,94156.0,296735.0,64078.0,298716.0,12,15824.054216201688,26778.47975421892,226530.0,693168.0,153813.0,638435.0,17,20170.97449700951,31012.98803178163,114034.0,351635.0,65604.0,368141.0,17,20170.974497009505,31012.98803178163,292880.0,793293.0,156599.0,772081.0,1068556.0,1901667.0,1263448.0,2261491.0,753965.8344474874,51849.70326672157
ZMB,1,Zambia,Muchinga,7,11837.987740085282,21783.970873761846,16959.0,39950.0,1099.0,29618.0,7,11837.987740085284,21783.970873761846,16572.0,59527.0,764.0,52543.0,11,25494.66785330885,39295.23496272499,71064.0,114994.0,79830.0,111959.0,11,25494.667853308853,39295.23496272499,154779.0,230930.0,162221.0,229802.0,18,37332.65559339413,48845.40764945314,88023.0,134710.0,80929.0,127832.0,18,37332.65559339414,48845.407649453125,171351.0,263320.0,162985.0,255083.0,441629.0,880152.0,509308.0,974086.0,753965.8344474874,86898.26834151328
ZMB,1,Zambia,North-Western,2,7156.362551229212,12602.428622438189,10321.0,20723.0,237.0,14138.0,2,7156.362551229213,12602.428622438189,19070.0,37422.0,308.0,22389.0,8,24710.4006836661,44676.81904976266,43060.0,120854.0,14813.0,155492.0,8,24710.4006836661,44676.81904976265,76748.0,261843.0,34307.0,289678.0,10,31866.76323489531,48206.86048766884,53381.0,125766.0,15050.0,155641.0,10,31866.76323489531,48206.86048766883,95818.0,271028.0,34616.0,289882.0,432053.0,920407.0,510118.0,930923.0,753965.8344474874,125513.24324822519
ZMB,1,Zambia,Luapula,2,1558.343194076367,3912.9862203717826,8403.0,52242.0,295.0,29386.0,2,1558.343194076367,3912.9862203717826,11173.0,81656.0,774.0,58455.0,5,4107.732285938864,8909.416406841869,45399.0,107479.0,7443.0,71793.0,5,4107.732285938864,8909.416406841869,36770.0,111906.0,13196.0,88318.0,7,5666.07548001523,12822.402627213656,53802.0,159721.0,7738.0,101178.0,7,5666.07548001523,12822.402627213656,47943.0,193562.0,13970.0,146773.0,664739.0,1470376.0,785569.0,1617666.0,753965.8344474874,49956.74252699879
ZMB,1,Zambia,Central,6,19249.776804930185,27178.98949796344,39905.0,76180.0,1577.0,54959.0,6,19249.77680493018,27178.989497963437,75883.0,147656.0,3469.0,124489.0,16,24627.08736424483,43282.175279314244,79882.0,158137.0,76812.0,131485.0,16,24627.08736424483,43282.17527931424,142482.0,284176.0,160327.0,299303.0,22,43876.86416917502,58001.160623231386,119787.0,185956.0,78390.0,134284.0,22,43876.86416917503,58001.16062323136,218366.0,336655.0,163796.0,304356.0,928623.0,1616903.0,1091625.0,1952098.0,753965.8344474874,110704.84421929036
ZMB,1,Zambia,Southern,6,1109.5243538252416,5189.869081475735,22068.0,124775.0,2523.0,138924.0,6,1109.5243538252416,5189.869081475734,32390.0,227540.0,4950.0,260841.0,7,12208.045052759982,22752.85003523976,68666.0,162756.0,59965.0,188321.0,7,12208.04505275998,22752.85003523975,149348.0,330721.0,130925.0,405514.0,13,13317.569406585224,23655.48750655105,90734.0,255357.0,62487.0,304525.0,13,13317.569406585226,23655.487506551042,181738.0,500644.0,135875.0,627228.0,986193.0,1712879.0,1155794.0,2080477.0,753965.8344474874,68429.83733294638
ZMB,1,Zambia,Lusaka,2,4154.03416215517,7520.830240718022,9782.0,19949.0,2976.0,13626.0,2,4154.034162155171,7520.830240718023,15788.0,34605.0,4566.0,22537.0,11,9748.452781239463,15404.33894596068,50868.0,91678.0,42145.0,129053.0,11,9748.452781239464,15404.338945960684,80229.0,181055.0,79398.0,263284.0,13,13902.486943394635,17548.56791102118,60651.0,96261.0,45121.0,131964.0,13,13902.48694339463,17548.567911021175,96017.0,188645.0,83964.0,266476.0,1174268.0,3100632.0,1416588.0,3692452.0,753965.8344474874,23579.20602466907
ZMB,1,Zambia,Copperbelt,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4660.4753792635565,7156.272137987239,10340.0,20075.0,2017.0,8375.0,2,4660.475379263556,7156.272137987239,16164.0,32053.0,4115.0,15973.0,2,4660.475379263556,7156.272137987239,10340.0,20075.0,2017.0,8375.0,2,4660.4753792635565,7156.272137987239,16164.0,32053.0,4115.0,15973.0,1321810.0,2223357.0,1568076.0,2652059.0,753965.8344474874,31231.03051488147
ZMB,1,Zambia,Northern,4,5397.979407236294,13012.0636393577,28942.0,87480.0,8769.0,97818.0,4,5397.979407236295,13012.063639357699,51042.0,159502.0,19748.0,187953.0,5,5288.366120707613,13612.535718803641,41970.0,91972.0,46632.0,71955.0,5,5288.366120707613,13612.535718803641,61719.0,140579.0,76621.0,130488.0,9,10686.34552794391,18701.681048981744,70913.0,125485.0,55401.0,111081.0,9,10686.345527943908,18701.681048981744,112760.0,213408.0,96369.0,219485.0,690322.0,1352837.0,816811.0,1617847.0,753965.8344474874,77880.43817652976
ZMB,1,Zambia,Western,3,7790.816082411661,15650.14734923022,14434.0,34698.0,8755.0,35228.0,5,7801.141901760673,17712.819636407243,19949.0,60231.0,13368.0,87106.0,5,42603.32684373624,56461.03620035516,208773.0,301543.0,238218.0,348809.0,5,42594.415649009214,56460.53327655929,315977.0,454406.0,367630.0,544052.0,8,50394.1429261479,62027.92775320766,223206.0,313982.0,246974.0,359812.0,10,50395.55755076989,62027.927753207645,335926.0,473411.0,380998.0,565737.0,647866.0,943047.0,767507.0,1144100.0,753965.8344474874,127753.05224975011
