system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_0000000000000000005f_00000000000000000642,555.4862001296501,Addis Ababa,1,1133487.7713960141,Ethiopia,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2555627.367571535,0.0,0.0,5457363.264322668,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_00000000000000000643,94831.2834121004,Afar,1,1133487.7713960141,Ethiopia,36544.09929910054,36544.09929910055,27987.387949766297,27987.387949766307,11,16,483128.6146487883,643493.1580129623,1283641.548716888,753170.8713471161,1023576.5603947295,2054411.6652266476,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_00000000000000000644,155879.98745503847,Amhara,1,1133487.7713960141,Ethiopia,9016.183269836873,12462.205751280333,1870.1526896500916,4771.77481903517,6,10,100296.06192096691,551548.8325550649,1.635016453283419E7,142665.74896841793,977400.940376985,2.4900890597036704E7,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_00000000000000000645,50205.198081659844,Beneshangul Gumu,1,1133487.7713960141,Ethiopia,5483.431559407413,17051.440111879812,1954.636841766289,7658.243905712537,2,6,12563.77380056564,53063.71286265625,705397.4981731414,30245.766173472854,265898.7573729034,1266356.543023682,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_00000000000000000646,1044.8438704681444,Dire Dawa,1,1133487.7713960141,Ethiopia,0.0,0.0,0.0,0.0,0,0,0.0,0.0,311944.3936745522,0.0,0.0,519255.366227743,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_00000000000000000647,30737.152995948698,Gambela,1,1133487.7713960141,Ethiopia,16937.71021887444,16937.71021887444,10674.39720852837,10674.397208528371,4,4,50835.425618571644,126330.22789086678,246892.1430709618,120582.2792728232,319235.3816511214,647990.6546486137,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_00000000000000000648,364.3274089970414,Hareri,1,1133487.7713960141,Ethiopia,165.64837471840968,165.64837471840968,2.506071775988054,2.506071775988054,1,1,3.7649080082372417,3437.8279044284463,162542.9183824039,34.251650888027214,17504.459783950704,279007.6918765188,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_00000000000000000649,324529.6174308167,Oromia,1,1133487.7713960141,Ethiopia,42430.12787511008,109601.32105138313,18811.10119060735,67832.87595094074,20,39,377156.86104879004,2534789.821198762,2.402286487135878E7,4684852.500607722,1.1400534717279732E7,4.419263515966378E7,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_0000000000000000064a,108833.00618525548,SNNPR,1,1133487.7713960141,Ethiopia,41745.68263894108,51703.869243492576,24451.95611854553,27366.76390184324,13,19,460866.66376609786,1587613.5604220305,1.3286995026300192E7,1028160.4331055379,4230167.845336285,2.3885170953914803E7,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_0000000000000000064b,314043.6181404326,Somali,1,1133487.7713960141,Ethiopia,47353.40144869253,59434.72094497154,32652.39820698891,44079.7673978361,7,9,636299.0197367269,1048944.8627946908,3975616.684029907,1370119.249657464,1958298.4451132193,6790900.652303757,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005f_0000000000000000064c,51921.037421226116,Tigray,1,1133487.7713960141,Ethiopia,0.0,3953.377913661536,0.0,1848.8601251560845,0,1,0.0,0.0,3977457.9857454216,10070.291876645882,129167.37386960405,6882095.284271388,ETH,"{""type"":""MultiPoint"",""coordinates"":[]}"
