system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000068_000000000000000006af,10391.21941815285,Western North Region,1,239771.52602241922,Ghana,10336.177977828387,10336.177977828389,4894.618763522964,4894.6187635229635,33,33,57812.93229759107,666996.6527018283,667089.2558097056,86556.23271988315,848394.5895218912,848629.6197672447,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b0,5067.851919188252,Ahafo Region,1,239771.52602241922,Ghana,4998.1461117305125,4998.1461117305125,1404.9921765260312,1404.9921765260312,19,19,1237.7265799204545,385206.7377041788,391347.83385756396,1907.2904066281394,564843.1366922584,573931.056423819,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b1,23246.162329363564,Bono East Region,1,239771.52602241922,Ghana,7299.40380562536,7299.403805625359,3148.618246330813,3148.6182463308123,5,5,20749.114126828284,282753.11468042166,720049.7481009831,28647.638117262635,400388.0905993835,1101109.4576975591,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b2,35230.03894687094,Savannah Region,1,239771.52602241922,Ghana,15790.986751952008,15790.98675195201,7448.155073293666,7448.155073293667,9,9,8344.667041094948,155016.87550785247,399631.4501295471,11738.920337055773,244240.0862992143,625856.3383373439,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b3,9278.700814038655,North East Region,1,239771.52602241922,Ghana,3107.7033642653855,3434.1808484408575,482.34153489637913,490.9482148506645,10,11,16395.415382488423,130106.51170912935,351785.3532884793,23754.53655218451,231038.69520000042,618909.5482602236,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b4,11075.7989434083,Oti Region,1,239771.52602241922,Ghana,4708.686741777934,5016.29093052989,547.5383896768628,918.2936412169649,9,10,1296.7188303228468,258309.4126913439,496246.4042702437,6252.113245378245,366798.17908126843,746491.1483076643,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b5,13914.29284515669,Western Region,1,239771.52602241922,Ghana,12557.718535316018,12557.71853531602,3204.7593583170656,3204.7593583170656,32,32,2208.999878109473,1038045.4396881899,1334188.6381870105,4455.3483667693345,1804220.296343615,2271834.72096875,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b6,18761.122107757586,Eastern Region,1,239771.52602241922,Ghana,10877.056665818003,10877.056665818001,1807.2826969046619,1807.2826969046619,47,47,14743.225751485017,1356201.6780168824,2148844.122568872,20772.074428935506,1917834.036242778,3096363.845299172,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b7,24683.118963242756,Northern Region,1,239771.52602241922,Ghana,6216.861629723742,6216.861629723742,821.2968470058548,821.2968470058547,8,8,5191.779261239804,587310.124922913,1144344.523870401,9729.928304783069,1239527.427317949,2206637.67752379,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_000000000000000006b8,10055.782159155475,Central Region,1,239771.52602241922,Ghana,7369.898510227783,7369.898510227783,1053.379185196349,1053.379185196349,30,30,1604.1220176485367,1029994.3419817962,1725750.085948907,2886.9339462970383,1648988.433107733,2764508.905341761,GHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
