system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000003_00000000000000000772,64169.24900236169,Turkana,1,588702.6178187904,Kenya,5320.02770255419,6342.699707939948,1156.7455192749871,1260.9693020728373,8,9,2752.549322363734,43265.55786590582,628090.9753542516,4462.941626297741,81673.21078492649,1126239.6034383925,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000773,76406.77294698605,Marsabit,1,588702.6178187904,Kenya,11817.09397183252,15162.361509053813,3734.434287848457,3841.1358529066147,9,10,18418.311505372585,72829.44920254702,241595.73818014783,31295.2773050146,189221.02361540712,324879.79419460514,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000774,26204.258129469734,Mandera,1,588702.6178187904,Kenya,1891.5758271156308,2418.7124478031283,886.1541091242813,912.1721854537367,2,3,10611.734137684107,33154.34030706088,496684.2958206061,82832.37667182625,315069.8349710626,2393400.7532998296,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000775,56953.79146954926,Wajir,1,588702.6178187904,Kenya,413.16776060547454,1304.1006841312117,0.139000134765625,52.11603155100701,1,2,67.60143226385117,46298.4858376584,358276.92883044144,52386.79388867453,360828.0531504767,1549732.8033834181,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000776,9121.454431336972,West Pokot,1,588702.6178187904,Kenya,3044.6092489159546,4580.840877843863,376.47544027240576,426.4389931652902,8,9,13886.505565361378,196552.34102546377,387007.240063926,22119.457577717938,479699.014885672,690855.0636682875,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000777,21173.292104861393,Samburu,1,588702.6178187904,Kenya,12178.722896934376,12178.722896934372,3501.0572071601096,3501.0572071601096,11,11,21961.667404185686,131764.32778578845,170518.8349145396,38276.48914138384,236970.0309877196,305534.79103168653,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000778,25462.65243737949,Isiolo,1,588702.6178187904,Kenya,3913.4279918849215,3913.427991884921,1042.4834799021073,1042.4834799021073,11,11,5132.961075293113,72647.75423610152,130074.02803659928,5808.018180738727,95313.79408763727,212826.84929062394,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000779,10845.011938181686,Baringo,1,588702.6178187904,Kenya,4478.991973715212,5488.582588140411,876.17488434445,1044.9183689111078,34,37,24680.316465543074,254894.72974743525,409134.02329233114,38091.387888992955,488167.98869384005,730244.1394620113,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000077a,3031.112815821104,Elgeyo-Marakwet,1,588702.6178187904,Kenya,2986.1705796087676,2986.170579608768,1095.0112858987818,1095.0112858987818,23,23,31920.91314420044,282265.8345432964,282876.9172739421,57178.883162102866,505339.2911147064,506100.8875731786,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000077b,2490.422134960791,Trans Nzoia,1,588702.6178187904,Kenya,2094.5723050657775,2094.5723050657775,439.0288651068307,439.0288651068307,10,10,14882.006470634395,536295.8458193627,617159.649718901,23271.523743177506,954770.0638648962,1109228.787770337,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000077c,3024.713098516568,Bungoma,1,588702.6178187904,Kenya,1624.2454967778751,1624.2454967778754,668.0340429717057,668.0340429717057,6,6,17958.29087054411,472964.99423420767,1142084.2613626062,24400.78378926917,677069.2829149965,1679570.150857272,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000077d,44993.36860987506,Garissa,1,588702.6178187904,Kenya,7155.834399589162,12603.910989953281,3353.1240369692027,7795.211377033229,5,7,13232.053928451453,32241.634248172482,298741.75271752564,104434.04166150966,274209.95977621456,1463012.3645332213,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000077e,3361.887715701266,Uasin Gishu,1,588702.6178187904,Kenya,1968.787744864318,1968.7877448643183,272.4011003811605,272.4011003811605,11,11,13481.163316239505,478973.42934754904,681858.0911696118,19165.95257679307,897020.7621319648,1292780.0699258232,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000077f,3002.198590384596,Kakamega,1,588702.6178187904,Kenya,1909.80172282219,1909.8017228221902,347.14007039404964,347.14007039404964,6,6,19992.400016404834,820888.8838612747,1373555.847263343,23065.7712788851,1209637.3763985112,2025280.412688261,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000780,9727.596268402436,Laikipia,1,588702.6178187904,Kenya,6473.78222545534,8026.503033095611,1864.1703272934992,2314.5211443189346,20,23,34224.413307630326,241941.3777761216,299511.49300289666,69119.36309261662,467051.01020653377,534409.7051336943,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000781,1809.5080474787305,Busia,1,588702.6178187904,Kenya,384.4214545836797,384.4214545836797,7.350439470703092,7.350439470703092,4,4,662.2085821181536,84339.1871929402,612451.177746446,1235.1155730253085,123463.01086316556,904774.3558259405,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000782,6930.898686036005,Meru,1,588702.6178187904,Kenya,6620.6232449412555,6620.623244941255,2983.3958955736693,2983.395895573669,20,20,21029.86465044948,1131456.170431619,1180641.5258430138,31277.92825981903,1519983.7750490282,1586420.105378538,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000783,2882.761581037859,Nandi,1,588702.6178187904,Kenya,2445.2960643421943,2445.2960643421943,518.9936540008426,518.9936540008426,8,8,20114.08921093132,506477.0130415364,571407.7947513699,33183.750089872294,901013.8258922494,1019222.4498775209,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000784,3520.032909340806,Siaya,1,588702.6178187904,Kenya,0.0,624.8220800820254,0.0,43.6259633701161,0,1,0.0,0.0,727470.6623955477,906.0600885283202,165576.93048534996,986234.1417626591,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000785,7478.990930098872,Nakuru,1,588702.6178187904,Kenya,6757.80658840304,7055.9029412266445,1996.2523971302328,2043.4845410889784,25,28,132597.70859883982,1127397.7872713462,1212455.2910957052,301391.16870821005,2354665.53272241,2401227.8526719357,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000786,561.8590677978109,Vihiga,1,588702.6178187904,Kenya,513.7358387671951,513.7358387671951,49.484561029326585,49.484561029326585,3,3,6177.64665349811,415276.7039455733,461829.48133002175,11196.675558337438,604131.1053154409,671601.2700931398,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000787,3287.8926617764378,Nyandarua,1,588702.6178187904,Kenya,2953.317971622405,3023.365342161463,798.7889070366199,814.7611956450188,13,15,36193.447423396945,482080.3341270007,544281.7601883821,41379.75741172426,640146.0383919082,689809.2639087837,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000788,2682.319325005425,Tharaka,1,588702.6178187904,Kenya,2580.457725814803,2580.4577258148024,518.4118505185377,518.4118505185377,15,15,1023.2038767876478,309039.0800288258,318964.5918111782,1719.0263156907354,411322.30883296515,423756.2723889833,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000789,2111.082138426184,Kericho,1,588702.6178187904,Kenya,1353.9482148618613,1353.9482148618613,410.0571077953266,410.05710779532654,7,7,4047.87499624425,261699.96590902796,441219.8967118133,4646.479344453629,474133.5660600059,791566.131611473,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000078a,2687.6309745120507,Kisumu,1,588702.6178187904,Kenya,905.6570261867244,905.6570261867242,5.351042211351135,5.351042211351135,3,3,212.0192725993693,434829.2545697683,839085.9237830342,400.7099880458878,660677.0496843413,1205743.5168815965,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000078b,3348.5343542401224,Nyeri,1,588702.6178187904,Kenya,3076.731197277804,3076.7311972778034,1593.4206937615368,1593.420693761537,13,13,8489.743262370153,506402.65200300416,623950.1185267832,11944.755306092264,622189.7829504781,765866.4362766333,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000078c,37991.03428014729,Tana River,1,588702.6178187904,Kenya,9688.344794536997,21394.620352661866,4988.73973210248,8157.0186093107895,7,14,11429.078900153832,72993.21075928869,176956.2798107315,26518.22451366693,200977.73283425023,280648.3357895073,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000078d,30693.457920247645,Kitui,1,588702.6178187904,Kenya,17031.51511177801,17582.835486483127,8950.972796471733,8965.458482744196,20,21,2811.1766441199125,308068.2973065368,885717.0729897034,3950.965708981844,422867.9641150339,1168104.9286610098,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000078e,1483.9594895289683,Kirinyaga,1,588702.6178187904,Kenya,790.5591706311811,790.5591706311811,360.96914501893946,360.96914501893946,5,5,571.0459622405469,219735.34648873837,476319.73212744377,1125.7274564501884,268787.5481377987,582116.6747237821,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000078f,2839.5936101484085,Embu,1,588702.6178187904,Kenya,1402.074475911922,1623.104177191795,289.5833400677999,292.41415630705774,7,8,1585.345091806793,306096.35622127843,455495.11315590865,3304.927286126898,632909.7647034223,759883.2455068073,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000790,4756.462498280604,Homa Bay,1,588702.6178187904,Kenya,1944.8118978818625,2969.84476588833,176.90698740234257,254.1530455439432,3,8,4395.489857835695,288270.87443803437,833659.5323054378,12707.401924693957,692644.0895168555,1131918.7634975642,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000791,2831.5932663266663,Bomet,1,588702.6178187904,Kenya,1827.5510015694836,1827.5510015694833,646.4343285528315,646.4343285528315,3,3,18852.122853820692,338178.14741128334,675915.0111658574,31760.17186236555,609773.7608053293,1212948.130092299,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000792,888.2296874752083,Nyamira,1,588702.6178187904,Kenya,0.0,0.0,0.0,0.0,0,0,0.0,0.0,515109.94034169515,0.0,0.0,691796.5534873842,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000793,17973.959989430372,Narok,1,588702.6178187904,Kenya,8567.948226521159,9572.100887782635,3027.936333382539,3834.3150010821937,11,18,16640.37593264078,263882.6320814402,648102.8846624123,47292.943096025025,517552.64108974993,1155810.6655329838,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000794,1311.410230493356,Kisii,1,588702.6178187904,Kenya,0.0,0.0,0.0,0.0,0,0,0.0,0.0,989129.6352750775,0.0,0.0,1349816.5518983963,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000795,2552.895747737038,Murang'a,1,588702.6178187904,Kenya,688.1743844127528,688.1743844127528,313.39793826577545,313.39793826577545,3,3,438.9611099313506,146102.27140472445,850167.3701712713,980.1369407990026,180703.95158466656,1040627.4771956245,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000796,3163.1909679977844,Migori,1,588702.6178187904,Kenya,0.0,0.0,0.0,0.0,0,0,0.0,0.0,806397.5308225716,0.0,0.0,1130514.7107410892,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000797,2585.1730332455727,Kiambu,1,588702.6178187904,Kenya,1829.2239313599903,1829.2239313599903,401.4440457172767,401.4440457172767,10,10,15894.39471810946,1152188.357357194,1484200.0389871642,20769.5070596569,1546849.485728495,1971546.1340076458,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000798,6249.082085002815,Machakos,1,588702.6178187904,Kenya,1697.3686491716085,2431.207447407874,33.73628667286307,253.37894076976968,6,9,658.4446819279269,259385.88384512605,961906.5898424418,2135.2149327949237,439950.4743076323,1287271.160655543,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_00000000000000000799,21916.402103335364,Kajiado,1,588702.6178187904,Kenya,9804.215312797127,10057.392811394659,1416.8852740824454,1545.0353945529514,14,21,11932.2219571303,359970.5443562453,513043.81125614495,24629.040809850132,658196.3439168594,925131.7480404257,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000079a,708.3308205742499,Nairobi,1,588702.6178187904,Kenya,602.2703470778258,602.2703470778258,143.89703220873668,144.1772926744459,7,8,5134.142941066888,2322775.620580297,2346172.715663327,12995.757776558577,4936320.903808854,4986972.269435728,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000079b,8022.692897356016,Makueni,1,588702.6178187904,Kenya,5453.246026616562,5453.246026616561,1543.2668487871588,1543.2668487871586,35,35,18336.10303739403,590593.2235897091,770277.4384780909,26900.794823406482,785421.8821962723,1018392.0684307342,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000079c,6122.867506750346,Lamu,1,588702.6178187904,Kenya,3913.57077124324,5762.132132175615,1037.9721628780353,1859.72524554356,5,9,1655.6312118980925,50667.66088087657,54705.060866277025,2442.999828648545,84908.57082826113,86773.6710984666,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000079d,12548.593859822156,Kilifi,1,588702.6178187904,Kenya,3382.829110060877,3382.829110060877,456.81663800372627,456.81663800372627,13,13,7629.3370226225215,594862.3346779624,869889.0207864281,11069.024467678859,934314.0245128117,1366973.3159718234,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000079e,17220.34431657967,Taita Taveta,1,588702.6178187904,Kenya,15658.626822200033,15670.031635572086,10801.718129633071,11021.462172870377,32,33,6276.141538266721,197348.91931589617,231393.14860258572,7261.179440224942,312992.8604202112,362766.527836511,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0000000000000000079f,8266.381669434788,Kwale,1,588702.6178187904,Kenya,3288.537931312652,3288.5379313126514,343.16564958368735,343.16564958368735,17,17,7519.913334256458,399935.67568742513,507483.6379873186,10727.640920505943,634579.1645445173,798871.213093952,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_000000000000000007a0,223.07888058707206,Mombasa,1,588702.6178187904,Kenya,213.6243649551197,213.6243649551197,14.537879665207674,14.537879665207674,1,1,77443.39432522586,732282.7101634555,741783.2429163423,134685.05752062507,1350264.7796490318,1367443.2365158985,KEN,"{""type"":""MultiPoint"",""coordinates"":[]}"
