system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000089_00000000000000000378,33549.293388452395,Ayeyarwady,1,668912.0387440788,Burma,1041.0616795649173,2540.794201839843,132.52326355336754,165.9422188599917,1,3,49.28567290306091,56858.54107430992,5246636.162987819,918.340726652274,127043.28656861643,6227851.040985764,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_00000000000000000379,36064.55881955695,Chin,1,668912.0387440788,Burma,0.0,7698.427515325969,0.0,1631.4202561298741,0,3,0.0,0.0,360268.6605269655,398.0111895278096,213676.42650333626,519767.71971777594,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_0000000000000000037a,93800.78693124875,Saigang,1,668912.0387440788,Burma,10854.149767437086,20202.717519314312,4068.7434452555062,10650.853856642349,4,7,34480.60841418671,302002.6863047021,4122040.650264917,71816.92789110837,509284.80841949664,5679849.381321575,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_0000000000000000037b,94745.26865351101,Kachin,1,668912.0387440788,Burma,7872.727506119279,45418.76981594515,4331.480596039972,26508.904016076478,2,11,800.7100708335638,30332.796649772674,1244368.4098069847,69342.59939304026,361046.21257164574,2325500.2905973895,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_0000000000000000037c,11781.517415230772,Kayah,1,668912.0387440788,Burma,1109.543797360143,1561.5104694623078,4.4171770820159315,5.153220215268842,2,3,0.0,3288.285050049424,213059.05193571703,0.0,3773.0487758945674,312880.6570318601,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_0000000000000000037d,30360.186853018033,Kayin,1,668912.0387440788,Burma,4834.829696694714,6690.578545937937,407.97867393115496,676.9371708406628,8,12,1549.8338432371324,97509.96239032334,1132443.271422471,1792.8265678778,479537.9218755332,1597101.3278191888,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_0000000000000000037e,44975.05769608593,Magway,1,668912.0387440788,Burma,3323.166204818988,3768.318627389244,491.8166728777885,494.2801737059135,3,4,4316.4008977059275,389236.7053853646,3649575.1130712167,4942.6222981680185,476129.6283388417,3873011.4220320527,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_0000000000000000037f,38102.68399600749,Mandalay,1,668912.0387440788,Burma,3289.3768470786504,4752.985370016976,239.4900190020131,266.197326161955,5,7,25008.30042350431,1125814.0252456965,1.187178676061437E7,37392.04923065929,1461356.7338758332,7350999.546297804,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_00000000000000000380,10721.821612016452,Mon,1,668912.0387440788,Burma,694.5165291512695,2922.9073410148985,24.031445743156443,201.5811783802025,2,8,1605.6375821977854,230056.0572434388,1960495.9217275176,13147.10892632779,306613.0361394273,1923849.3157748738,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_00000000000000000381,34174.47946605426,Rakhine,1,668912.0387440788,Burma,0.0,3097.6374193615848,0.0,1699.8156029963086,0,1,0.0,0.0,2070909.1608775132,0.0,28157.075936950016,1826861.1349177978,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_00000000000000000382,39687.66298307626,Tanitharyi,1,668912.0387440788,Burma,4729.058150988313,8071.875965682208,187.4230601498449,1795.646512394649,9,12,0.6518983230871314,9844.920150999107,903746.354995933,1321.3518719802958,71793.06835511852,1301040.2511873825,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_00000000000000000383,38769.66662771303,Bago,1,668912.0387440788,Burma,961.0766811357656,4936.331712544004,102.90410049316395,1114.215474724155,1,6,9.771385192871094,130798.29578661732,3838679.690897238,1812.2220782719698,204370.67897157447,5055001.311536274,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_00000000000000000384,9725.794412930032,Yangon,1,668912.0387440788,Burma,518.0181169902205,518.0181169902205,6.474711886718739,6.474711886718739,1,1,128.98551105335355,533366.9899909236,5088029.642360487,176.0140015669167,946517.2325593587,8254634.631543797,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000089_00000000000000000385,158489.37107276055,Shan,1,668912.0387440788,Burma,7386.296999779511,8894.830401721398,857.358179320453,1201.419213947305,9,12,43200.783534363225,587160.9002210929,3607575.716336829,91695.35843530281,1169799.9192501374,6849641.013404177,MMR,"{""type"":""MultiPoint"",""coordinates"":[]}"
