system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000017_000000000000000008af,111311.07066539576,Dornogovi,1,1560758.717565239,Mongolia,14311.414443707485,17354.453835463773,7553.3438280486425,8202.408162858672,5,8,759.6374201224897,1716.9971846388435,53986.90195012949,1081.7555797211278,2900.981932572966,77370.28686177326,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000000000000000008b0,140272.54290217112,Govi-Altai,1,1560758.717565239,Mongolia,55195.23922269797,64010.5058678832,42030.88641062059,46640.35073170769,9,12,4507.116526257247,10689.204616748728,65619.05024760144,4546.49059340544,11909.819074736908,51348.51190612784,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000000000000000008b1,116580.14705864243,Bayankhongor,1,1560758.717565239,Mongolia,34027.00816847812,43279.22592729648,23699.522608173334,27678.679639552396,4,9,2223.020386714693,12022.317436415906,87795.80962426448,2567.118684033962,16052.135629276843,78190.51319777542,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000000000000000008b2,163660.20727558513,Ömnögovi,1,1560758.717565239,Mongolia,47324.61093599138,56363.526412910986,34218.86686556721,43169.266677412714,5,6,3172.4475277856322,22077.82586051997,47726.84517290337,6255.6443008877795,43024.038032071614,87987.25378392145,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000000000000000008b3,62854.43747451286,Övörkhangai,1,1560758.717565239,Mongolia,8201.543247096863,9164.734881047692,3110.930109541514,3595.1373045280816,6,8,394.9643533397466,25506.563548922073,115041.32899482723,911.5989891188219,23398.53969546687,104359.56210815602,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000000000000000008b4,47896.41199803624,Bayan-Ölgii,1,1560758.717565239,Mongolia,17521.39619593168,23775.42873868451,8963.967499044931,12652.447592236173,8,11,1813.0578177273273,15610.707725029904,94443.18693181024,2011.8333446532488,20680.456840908155,92323.01983958653,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002ea,69551.88918482422,Uvs,1,1560758.717565239,Mongolia,27533.39621997965,31423.670306991156,14146.239951374171,16048.98056220147,10,15,2255.493188545108,23203.819956529725,92940.84149923056,6066.853461019432,23658.385708702528,62483.10380571304,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002eb,75881.16284863258,Khovd,1,1560758.717565239,Mongolia,34616.9635769179,46777.36726142532,24262.437323563212,30635.111449355787,7,10,4376.595140003424,14582.689891226182,89486.32223287228,4949.7617921576875,23509.63386656642,69287.6711706996,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002ec,81990.66259381277,Zavkhan,1,1560758.717565239,Mongolia,11644.100479961686,20485.884812933215,6966.0767038105205,10268.046393048042,4,8,2250.0440021951626,2476.94908552447,92919.01147596011,2105.738964857561,5295.015920193358,54524.563672178905,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002ed,48252.09868167138,Bulgan,1,1560758.717565239,Mongolia,633.9818924819356,13841.104806175557,55.73096083447338,7447.093467259099,1,5,0.0,191.54452773928642,61705.78196131901,357.4775688443333,3689.2166402357775,50916.89975832668,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002ee,4752.126821210105,Ulaanbaatar,1,1560758.717565239,Mongolia,2047.7918309538243,2538.8251997847033,646.9359083330868,692.9475175293746,2,4,9357.788939708844,666548.2102356007,785234.425894479,28270.24379559979,1509702.1609320915,1706387.5596657684,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002ef,5305.936602464095,Govisumber,1,1560758.717565239,Mongolia,0.0,305.1663379870224,0.0,28.994906894858758,0,1,0.0,0.0,12618.373377891598,16.111890971660614,390.25620254687965,15990.688975993544,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002f0,81838.99311084197,Sükhbaatar,1,1560758.717565239,Mongolia,10293.74725071811,16270.116523110742,5281.176369007941,8246.089409733077,4,8,712.8730034828186,5998.495804343373,57518.33998753361,689.4259867314249,5891.374382239068,53124.041502402164,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002f1,726.979696422394,Orkhon,1,1560758.717565239,Mongolia,0.0,0.0,0.0,0.0,0,0,0.0,0.0,75903.08904664824,0.0,0.0,117651.23334010846,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002f2,54786.474806635226,Arkhangai,1,1560758.717565239,Mongolia,12878.38843235836,15285.452815672383,5723.222367633615,6511.850376251222,7,10,6173.858156719138,34951.22650255491,100261.99730391729,5908.606948847144,35718.75692004371,84082.56442697151,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002f3,73216.75260836857,Dundgovi,1,1560758.717565239,Mongolia,3573.4518085747122,10685.841762387827,1830.7111163808854,4220.268113490245,1,4,589.0632817558944,851.0566292218864,53206.45285148183,532.4990750104189,3569.8459025081247,33532.19660761204,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002f4,72743.5076264065,Töv,1,1560758.717565239,Mongolia,15191.832233305347,15361.291832394963,10375.386648265217,10375.763228046915,7,8,1125.866335887462,23840.689193866343,102184.35529011331,917.6886199996807,21444.041322355166,81820.70440749674,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_000100000000000002f5,128152.1289912435,Dornod,1,1560758.717565239,Mongolia,25892.527805330672,40137.432138572156,12867.050494036042,23525.04930707451,9,14,615.7102082055062,8984.393006364278,76660.281514358,720.3627307359129,10133.52555005888,74528.72859060681,MNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
