system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_0000000000000000008d_000000000000000003bc,21018.594355494868,Cross River,1,912651.0484426153,Nigeria,14849.23699293749,14856.37692102436,6044.368040131611,6098.975812423037,19,20,43804.376311375454,938930.0581716214,2291164.666231935,73898.89223531494,1595722.618852696,3679344.323372125,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003bd,7649.596857933486,Abuja Federal Capital Territory,1,912651.0484426153,Nigeria,4188.2298298826445,4188.229829882644,270.87604937261455,270.87604937261455,21,21,51711.50099192806,752026.9218183327,991739.4815460674,224822.1129606487,2170681.790013043,2898993.617317434,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003be,16758.80677793606,Ogun,1,912651.0484426153,Nigeria,9506.924942897136,9506.924942897136,2727.8909087742954,2727.8909087742954,18,18,59731.9280919324,1786955.9653925493,3517562.2068188135,112707.5343032798,2949476.2980534066,6141305.851884707,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003bf,27805.93650045925,Oyo,1,912651.0484426153,Nigeria,17247.79118365621,17591.310803317047,6013.493353529197,6013.767961147727,26,27,69253.84449215478,3051457.1236663354,4838460.895937196,156091.7220836108,4986071.894030899,8202653.5656497935,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003c0,30952.90750284617,Sokoto,1,912651.0484426153,Nigeria,24088.30506054896,24088.305060548966,7901.260117735763,7901.2601177357665,36,36,25819.002076545934,1655502.1946886554,3231079.088973492,62604.332572920386,2877425.957754488,5433507.73468698,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003c1,34414.94993371927,Zamfara,1,912651.0484426153,Nigeria,22785.53042193057,23000.993008004672,8781.874303428689,8787.000076189099,22,23,47428.875146731574,1362420.129704638,2900904.8268091828,102035.7644562052,2328470.1339334524,4882490.534949964,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003c2,3080.315961891635,Lagos,1,912651.0484426153,Nigeria,661.132358243344,661.132358243344,28.905470583494214,28.905470583494214,2,2,11049.810010705676,3203885.436821406,7814307.541711759,30611.966806591903,4590592.576650179,1.1291514195256228E7,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003c3,6806.5481269949805,Akwa Ibom,1,912651.0484426153,Nigeria,1583.6454568006152,1583.6454568006152,300.0880397466109,300.08803974661095,4,4,36325.590129280856,584086.978255966,3513759.655591817,62030.28332872515,992585.2273402705,6525554.142248452,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003c4,9272.889917671135,Bayelsa,1,912651.0484426153,Nigeria,3756.5764251780106,5459.9172681982045,576.2637772021031,1079.0245078402527,5,9,11809.119664654136,731113.6907186225,1465772.8401893207,56227.47001164469,1802188.8354332878,2561126.627039004,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008d_000000000000000003c5,15069.98538480501,Ondo,1,912651.0484426153,Nigeria,10442.192800522656,10442.192800522655,3153.9059926608998,3153.9059926608998,24,24,45127.84081920924,1012729.1157466765,3126086.5426768535,95441.69500299658,1691374.3308567468,5178624.975807084,NGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
