system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00010000000000000008_0001000000000000002b,9248.588224003852,Autonomous Region of Bougainville,1,462754.0709668797,Papua New Guinea,918.4069193594644,918.4069193594644,3.9866517763901674,3.9866517763901674,1,1,549.6726657840624,25054.093412211034,157550.21251377475,973.7863336480423,47658.14018795082,265567.64258136664,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000002c,29655.168433963405,Central Province,1,462754.0709668797,Papua New Guinea,2658.847254637096,2898.681703521672,110.63546891210936,112.67899299397594,5,6,136.5817806944251,30141.006763710924,174531.67016684747,202.1005256175995,52530.22431471542,274272.0426206718,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000002d,6156.07439859219,Chimbu (Simbu) Province,1,462754.0709668797,Papua New Guinea,2160.4426357616358,2160.442635761635,914.3152975805858,914.3152975805858,2,2,748.2590349063278,9282.434635196627,272873.6204511166,1815.5601258983215,22157.524925928315,601915.6512839382,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000002e,15223.478735447543,East New Britain Province,1,462754.0709668797,Papua New Guinea,1122.1874345740405,1772.6246274542534,42.39509309626614,90.06736461689243,2,3,44.99631668627262,4256.837812652833,206365.0406744617,86.79130563887895,7448.888133913921,301716.0189524362,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000002f,43511.353969861026,East Sepik Province,1,462754.0709668797,Papua New Guinea,6133.657603126262,6133.657603126263,2346.934366239377,2346.9343662393776,2,2,1085.406902089715,10392.626418479664,343856.13222585997,1842.3591384887695,16568.926957632077,527921.6326006238,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000030,11195.00561332523,Eastern Highlands Province,1,462754.0709668797,Papua New Guinea,1825.0369393761678,1825.0369393761675,532.9946327552698,532.9946327552698,2,2,2883.9146569883997,110624.1133630022,459696.1949216611,5357.48219907985,187453.95821005013,780084.2739135919,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000031,11770.821269433623,Enga Province,1,462754.0709668797,Papua New Guinea,0.0,0.0,0.0,0.0,0,0,0.0,0.0,312950.84257384355,0.0,0.0,675766.9174166888,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000032,34377.205624906404,Gulf Province,1,462754.0709668797,Papua New Guinea,3645.604178622451,3764.722356609562,1345.126506237839,1345.720972674301,2,3,691.0025683415724,3076.4030334553445,100184.21112372866,1303.954110373323,4539.537410992252,128762.62994881014,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000033,9805.5115191203,Hela Province,1,462754.0709668797,Papua New Guinea,0.0,0.0,0.0,0.0,0,0,0.0,0.0,197640.3371407231,0.0,0.0,620099.652103237,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000034,4886.556150594118,Jiwaka Province,1,462754.0709668797,Papua New Guinea,83.74551564262805,83.74551564262805,0.04620230492493872,0.04620230492493872,1,1,0.0,1115.5684787333012,199281.54506404395,0.0,2550.122438311577,589570.448636444,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000035,28991.513776854885,Madang Province,1,462754.0709668797,Papua New Guinea,1196.805558419989,2042.5353037952325,581.2152542636828,626.0806641777796,4,6,5089.193562537081,67317.06040357208,353658.93583298026,7857.950176025912,146218.48711088137,595662.8351990401,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000036,1965.7513492684848,Manus Province,1,462754.0709668797,Papua New Guinea,297.6099317612192,297.6099317612192,30.06986155708898,30.06986155708898,1,1,765.9442452740801,18370.272132647573,27587.207581900566,1120.6717238651552,24830.384161513954,36671.32147817358,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000037,13607.598050091132,Milne Bay Province,1,462754.0709668797,Papua New Guinea,1583.472580083075,1583.4725800830747,264.54493939222556,264.54493939222556,3,3,546.0820910036564,34906.01760295056,169283.24589683634,728.3021695837379,59549.701692547955,267971.23511953384,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000038,33843.106295785794,Morobe Province,1,462754.0709668797,Papua New Guinea,2697.454520633265,5787.300834541786,314.1278201881646,1063.9118812041586,5,6,1296.8812416550575,50983.55094263437,547405.2316295389,3402.2647899694744,103922.74644120317,758916.8121563894,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000039,254.44563484581906,National Capital District,1,462754.0709668797,Papua New Guinea,0.0,0.0,0.0,0.0,0,0,0.0,0.0,258834.34448781057,0.0,0.0,469830.0403149909,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000003a,9232.72441656857,New Ireland Province,1,462754.0709668797,Papua New Guinea,196.01012027901297,196.01012027901297,194.87475903354357,194.87475903354357,1,1,11105.79551792269,11134.568383987607,76706.86823089357,21378.66693194596,21424.826709615263,133173.66920644982,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000003b,22688.0844223702,Northern (Oro) Province,1,462754.0709668797,Papua New Guinea,419.5908362863346,5080.525052721356,1.6403014697265605,2146.763232766204,1,2,115.87028106302023,37298.02111510703,135935.46183795205,12415.44842044264,118163.01225890726,224355.033283678,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000003c,15888.877587794334,Southern Highlands Province,1,462754.0709668797,Papua New Guinea,2626.64917610215,5187.647082765489,364.84445847558266,1056.2259948984347,3,6,16762.46580406651,108528.7368966639,382223.3359332509,30726.488249845803,197962.83349769935,725451.9181337396,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000003d,20243.31673682529,West New Britain Province,1,462754.0709668797,Papua New Guinea,1502.506028988261,1502.506028988261,199.64855022234903,199.64855022234903,2,2,701.7302802202164,26426.43099382659,165544.5432087801,1550.126533570798,45775.30746594195,274774.53448401875,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000003e,35982.65088765484,West Sepik (Sandaun) Province,1,462754.0709668797,Papua New Guinea,0.0,0.0,0.0,0.0,0,0,0.0,0.0,177068.7222971717,0.0,0.0,254872.54733633666,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_0001000000000000003f,4265.572348905602,Western Highlands Province,1,462754.0709668797,Papua New Guinea,279.12511456172933,279.12511456172933,44.175893391601406,44.175893391601406,1,1,0.0,654.1863816678524,269690.18551024457,0.0,1022.5842322260141,485764.54580189596,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000008_00010000000000000040,97643.05084849306,Western Province,1,462754.0709668797,Papua New Guinea,8416.592569972878,8943.660975382672,6070.175535761975,6165.836263960243,3,4,20322.069670322755,23252.520860027096,153362.0074697026,23874.262247033286,28402.360776793623,205389.18474629582,PNG,"{""type"":""MultiPoint"",""coordinates"":[]}"
