system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000055_000000000000000005b6,214863.36977820512,Tibesti,1,1274257.2866945176,Chad,0.0,0.0,0.0,0.0,0,0,0.0,0.0,12000.654667189046,0.0,0.0,63313.69655268578,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005b7,150850.7293985079,Borkou,1,1274257.2866945176,Chad,44099.17432718644,44099.17432718645,36354.95726993683,36354.95726993684,1,1,1693.550469942391,2165.252616002498,44942.9858234933,7525.018061429262,9498.74287363247,233477.64835904582,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005b8,123697.55948518177,Ennedi-Ouest,1,1274257.2866945176,Chad,4091.348627913829,18429.181571050125,1749.5646728217948,11840.467400996231,1,3,423.7248833104968,11270.156456790864,27784.743302170176,16702.55068951822,55741.78918383992,147233.69068922757,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005b9,54184.2828596033,Wadi Fira,1,1274257.2866945176,Chad,9236.611030576323,9236.611030576323,7206.561718150216,7206.5617181502175,1,1,56.29942013323307,652.3252127841115,319827.9633763364,66.05545723438263,5342.601867452264,1200070.7124825926,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005ba,68036.96601533101,Salamat,1,1274257.2866945176,Chad,32946.51775291713,33470.444323014206,27368.555136906118,27981.398265596094,5,6,91116.11012898617,220803.6888884319,237442.52459933938,189856.46332889746,387994.87043374125,425735.0319699823,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005bb,36404.944774311334,Sila,1,1274257.2866945176,Chad,0.0,0.0,0.0,0.0,0,0,0.0,0.0,222943.62330263964,0.0,0.0,544201.4244047968,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005bc,30175.335454249856,Ouaddaï,1,1274257.2866945176,Chad,0.0,0.0,0.0,0.0,0,0,0.0,0.0,498228.6132377335,0.0,0.0,1170964.2637311635,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005bd,61274.6981362362,Guéra,1,1274257.2866945176,Chad,14268.522152964359,24696.50268890152,10040.14795951341,17318.00979276712,3,4,9384.301492813054,128333.68808919097,404084.597269748,43004.698513019895,339943.5411570668,793052.8739751196,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005be,90754.79720761241,Batha,1,1274257.2866945176,Chad,44463.48442183748,44463.484421837464,38378.55854037952,38378.55854037952,2,2,37880.44874737039,63998.46859103051,374462.5561998947,50106.35591771081,109821.37883280464,702244.5233869406,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005bf,30424.68309393442,Hadjer-Lamis,1,1274257.2866945176,Chad,0.0,890.0105868682671,0.0,5.696043637584251,0,2,0.0,0.0,441692.99397782265,508.38579019592237,46954.28279794138,771697.0984615985,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005c0,56514.95925186961,Bahr el Gazel,1,1274257.2866945176,Chad,5668.704173380368,5668.704173380368,3210.9179334625946,3210.917933462594,1,1,65.77616262435913,806.6989204287529,174289.57813952677,91.39142435789108,1126.6695209741592,427009.0664958132,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005c1,66942.27420694994,Kanem,1,1274257.2866945176,Chad,0.0,0.0,0.0,0.0,0,0,0.0,0.0,225654.17001218392,0.0,0.0,553162.8339468399,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005c2,46348.97001057931,Chari-Baguirmi,1,1274257.2866945176,Chad,3007.447741143582,3137.131095186377,1304.5792927767848,1347.4409604283292,1,2,7838.834585629796,27919.153511452205,365238.9738534555,27399.84645932228,141756.90998438248,704232.1015224878,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005c3,19904.929487317124,Lac,1,1274257.2866945176,Chad,0.0,1232.4497318128597,0.0,7.425736565085025,0,2,0.0,0.0,329988.18889712135,3.8558724597388623,6681.793150517731,628423.659043425,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005c4,9135.063828645722,Logone Occidental,1,1274257.2866945176,Chad,0.0,0.0,0.0,0.0,0,0,0.0,0.0,563212.2311892211,0.0,0.0,923502.6933597752,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005c5,23814.772644801647,Logone Oriental,1,1274257.2866945176,Chad,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600635.4142035318,0.0,0.0,1181505.3332296507,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_000000000000000005c6,17421.77307755612,Mandoul,1,1274257.2866945176,Chad,302.34280947365005,302.34280947365005,1.2275011240464146,1.2275011240464146,1,1,0.0,4173.66019978188,485004.55993650516,0.0,7938.06202749908,878734.180074942,TCD,"{""type"":""MultiPoint"",""coordinates"":[]}"
