system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000080_000000000000000002cf,536.2084149794819,San?a?,1,454897.3988753085,Yemen,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1630899.2968464582,0.0,0.0,3347680.340075713,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d0,11811.370409956293,San?a? Governorate,1,454897.3988753085,Yemen,0.0,0.0,0.0,0.0,0,0,0.0,0.0,652566.3584264073,0.0,0.0,1121855.5077127498,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d1,12682.911490533583,Lahij Governorate,1,454897.3988753085,Yemen,932.667564898268,932.6675648982682,124.78998249902315,124.78998249902315,1,1,4990.026834607124,71984.14155652426,692836.3908222265,7553.696027755737,111074.80465108946,1176371.1401975998,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d2,724.1703253098481,?Adan Governorate,1,454897.3988753085,Yemen,0.0,469.7399591105369,0.0,16.24875605100723,0,4,0.0,0.0,521580.0728525223,2466.869325758056,1067063.0747108588,1067454.9392618572,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d3,13176.485890490483,Al Hudaydah Governorate,1,454897.3988753085,Yemen,0.0,1345.8173637941206,0.0,72.99671875871985,0,3,0.0,0.0,2051916.2540347332,2177.0160924687107,271342.2811775511,3539327.482683805,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d4,10019.196096599788,Ta'izz Governorate,1,454897.3988753085,Yemen,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2302509.8960675215,0.0,0.0,3907343.8860849785,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d5,38975.36043077427,Shabwah Governorate,1,454897.3988753085,Yemen,0.0,0.0,0.0,0.0,0,0,0.0,0.0,451342.9276318177,0.0,0.0,744576.9092722292,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d6,163222.60370909126,Hadhramaut,1,454897.3988753085,Yemen,0.0,0.0,0.0,0.0,0,0,0.0,0.0,936668.0843410423,0.0,0.0,1617345.051371265,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d7,16377.335794401255,Abyan Governorate,1,454897.3988753085,Yemen,0.0,0.0,0.0,0.0,0,0,0.0,0.0,417716.32052551064,0.0,0.0,704102.3396592367,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000080_000000000000000002d8,39660.87415757747,Al Jawf Governorate,1,454897.3988753085,Yemen,0.0,0.0,0.0,0.0,0,0,0.0,0.0,430650.530184398,0.0,0.0,699361.9628406526,YEM,"{""type"":""MultiPoint"",""coordinates"":[]}"
