system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_0000000000000000007e_000000000000000002bb,51849.70326672157,Eastern,1,753965.8344473313,Zambia,46197.85786317301,46197.857863173,23218.99363711217,23218.993637112166,80,80,121530.94884267732,1051714.2311074352,1263447.711304994,254520.96112070343,1912756.8809334806,2261491.0440401295,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002bc,86898.26834151328,Muchinga,1,753965.8344473313,Zambia,64486.646163434736,64486.646163434714,44301.98068628496,44301.980686284944,43,43,97809.368952541,360011.3189881568,509307.5080132497,191336.03395303377,711750.7779955296,974086.0390591788,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002bd,125513.24324822519,North-Western,1,753965.8344473313,Zambia,90000.91213181522,90000.91213181522,47838.4030158475,47839.68534082026,69,70,27509.72344851612,405865.7234256599,510117.7827392228,60841.415956300465,758358.4696744765,930922.6252415794,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002be,49956.74252699879,Luapula,1,753965.8344473313,Zambia,30668.21720281593,30668.217202815933,9881.847292679236,9881.847292679238,34,34,19475.434842841365,471418.2464328165,785568.7924627188,35290.47222051003,801166.5900728073,1617666.02141484,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002bf,110704.84421929036,Central,1,753965.8344473313,Zambia,79748.94535407043,79748.94535407046,48577.28283373302,48592.79116556182,67,68,114204.59307508926,754220.570724392,1091624.6706963433,234835.6085150903,1343210.8287670263,1952097.6675876542,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002c0,68429.83733294638,Southern,1,753965.8344473313,Zambia,42018.238464636364,42923.42310916481,17094.412359989034,17112.38458740971,49,59,91005.11822036382,673373.7626954023,1155794.4427069535,185233.67041280394,1295215.7125813237,2080476.878209872,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002c1,23579.20602466907,Lusaka,1,753965.8344473313,Zambia,20080.282563394638,20086.6147711466,14267.13158293925,14274.584172954354,25,28,65907.15846479518,1170501.3681912923,1416588.3711650176,146384.2829103147,2882948.7891993336,3692452.419742644,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002c2,31231.03051488147,Copperbelt,1,753965.8344473313,Zambia,23728.112992784714,23728.11299278472,10489.658213665754,10489.658213665753,54,54,157031.1253057122,1458763.8498462029,1568075.9436115823,291612.9991371176,2470502.6980319805,2652059.4577364638,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002c3,77880.43817652976,Northern,1,753965.8344473313,Zambia,44765.39767858088,44765.39767858087,15622.563384262081,15623.340485833018,70,71,84383.53016187466,539738.7409880832,816811.1545602623,168983.99598085694,1084583.80195911,1617847.457185841,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007e_000000000000000002c4,127753.05224975011,Western,1,753965.8344473313,Zambia,94262.45704748754,98978.9494184133,55586.99709637674,61990.64716531496,127,131,260535.48966791347,666813.8844856912,767507.1553610398,437857.1675242328,1036881.4816337295,1144099.502000031,ZMB,"{""type"":""MultiPoint"",""coordinates"":[]}"
