system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000049_000000000000000004de,91956.37410265265,Upper Uele,1,2338175.4780696416,"Congo, Dem Rep of the",33271.74321454211,33271.7432145421,21200.963759076974,21200.963759076974,13,13,104750.17152950123,253446.3511878375,822022.5611117473,213126.37835148646,540030.3228538393,1827037.345260664,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004df,63424.218198722636,Ituri,1,2338175.4780696416,"Congo, Dem Rep of the",18053.811514058594,18322.59606061153,12139.459556960293,12148.936165205752,11,12,33710.566529056676,220024.2645532435,2416944.1002443,82607.43366346348,451646.1995064276,5353518.3114329595,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e0,195408.4849962162,Tshopo,1,2338175.4780696416,"Congo, Dem Rep of the",13830.053815776972,27616.936710440543,7220.032839301969,15149.111021101075,3,7,30857.908292310836,96241.3360455773,1358626.8539420285,79897.53596892928,234535.01403160556,3022874.6961129843,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e1,149475.9388759889,Lower Uele,1,2338175.4780696416,"Congo, Dem Rep of the",58674.789881584686,58674.789881584686,46730.62412834022,46730.62412834022,4,4,51853.010359405176,96319.37305370756,593816.5234604055,109075.3425771907,209843.94748201442,1309462.79125897,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e2,56342.37154568073,Mongala,1,2338175.4780696416,"Congo, Dem Rep of the",0.0,4422.336210646919,0.0,2536.874629977814,0,2,0.0,0.0,927420.4779173064,7839.110813119559,25790.781825838687,1965514.456460821,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e3,54585.48701064531,Nord-Ubangi,1,2338175.4780696416,"Congo, Dem Rep of the",9718.279861801055,9718.279861801055,5763.201560613458,5763.201560613458,1,1,10926.402751133312,32072.679185665445,643561.7424058387,21554.303456140682,72764.89342530398,1349886.8007137666,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e4,138777.21842383602,Tshuapa,1,2338175.4780696416,"Congo, Dem Rep of the",36305.82305004622,45814.24361630004,24033.563111142914,29063.002993805338,3,7,31289.52753350239,62550.38961236731,690335.1822510869,72287.48670661589,154815.65654571587,1449438.8408933561,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e5,105519.16475548816,Équateur,1,2338175.4780696416,"Congo, Dem Rep of the",0.0,39728.45803527387,0.0,30023.525261874674,0,4,0.0,0.0,1016995.8983891736,646085.1593370455,1040788.1546460404,2135224.70238825,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e6,125448.23719628784,Haut-Katanga,1,2338175.4780696416,"Congo, Dem Rep of the",36399.65958601877,44328.779254262765,18882.865905993578,26620.196577157363,33,34,157094.5961799026,485582.0168189034,1610281.7810952882,1037065.747379859,2834049.832881576,9251157.250798354,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_000000000000000004e7,109839.91648706494,Haut-Lomami,1,2338175.4780696416,"Congo, Dem Rep of the",14302.836895720668,23254.898578370947,9068.519907643156,17303.71890114292,2,3,79917.61948983741,166023.99407318738,1199102.070660255,1722734.6317677666,2796669.4858410917,6864013.490014235,COD,"{""type"":""MultiPoint"",""coordinates"":[]}"
