system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000037_0000000000000000017c,40.77750520792744,Abyei PCA,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,187.52936493823057,0.0,0.0,179.13894037902367,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_0000000000000000017d,27226.749018429447,Gezira,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2655006.0311972685,0.0,0.0,3830133.0082063405,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_0000000000000000017e,38013.77061005157,Blue Nile,1,1853169.8839430003,Sudan,788.8694227978829,788.8694227978829,68.7407878721145,68.74078787211448,1,1,419.56844934545006,4980.650888320469,550566.8627413702,813.2341521675535,7585.539347692329,1050137.6774512865,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_0000000000000000017f,31148.605887653735,Central Darfur,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,431627.85750581353,0.0,0.0,427528.8950810955,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_00000000000000000180,50866.259765498566,East Darfur,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,770019.1042579991,0.0,0.0,1823180.5265465635,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_00000000000000000181,59790.16913129665,Gedaref,1,1853169.8839430003,Sudan,4121.077965289626,4121.077965289626,2584.157145064738,2584.157145064738,1,1,33854.63126999662,58278.69194886946,1064957.3792847062,34446.38615748051,65627.70809947113,1320237.2294558943,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_00000000000000000182,48979.07541198956,Kassala,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1261746.2125207593,0.0,0.0,2070751.1300470144,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_00000000000000000183,21290.318016135705,Khartoum,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3652944.080227169,0.0,0.0,6280911.058073266,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_00000000000000000184,318406.84659520525,North Darfur,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1321136.9879007041,0.0,0.0,2954244.395021667,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_00000000000000000185,186843.99585600247,North Kordofan,1,1853169.8839430003,Sudan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1409587.7818892982,0.0,0.0,2422704.6352258823,SDN,"{""type"":""MultiPoint"",""coordinates"":[]}"
