iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
MAR,1,Laâyoune-Sakia El Hamra,70788906B89532291078161,GHSL,All_2020_Fixed,2020,1,0,4,390245.75,516.9267578125,2619.81494140625,0,0,37.5213508605957,101.63803100585938,1551.7265625,1561.0657958984375,0,0,17.276071548461914,206.19395446777344
MAR,1,Tangier-Tetouan-Al Hoceima,70788906B66040098455254,GHSL,All_2020_Fixed,2020,2,0,24,4020813,32050.640625,366495.15625,0,0,38179.84765625,2568694.25,875.48016357421875,2140.19384765625,0,0,485.1482238769531,5015.3447265625
MAR,1,Oriental,70788906B40056535803135,GHSL,All_2020_Fixed,2020,0,0,11,2499798,0,0,0,0,5287.48291015625,457892.96875,0,0,0,0,389.0686950683594,3380.26416015625
MAR,1,Drâa-Tafilalet,70788906B26242154300952,GHSL,All_2020_Fixed,2020,5,0,19,1756446.875,9809.326171875,79843.3125,0,0,245469.265625,602312,1585.23486328125,3813.48974609375,0,0,2439.643310546875,16397.376953125
MAR,1,Souss-Massa,70788906B1820144472977,GHSL,All_2020_Fixed,2020,3,0,15,2980975,26510.75,1273576.375,0,0,9884.4775390625,390616.84375,1294.505615234375,2653.85400390625,0,0,1061.897216796875,6985.791015625
MAR,1,Guelmim-Oued Noun,70788906B64069740334949,GHSL,All_2020_Fixed,2020,0,0,12,423542.96875,0,0,0,0,1102.342529296875,132061.71875,0,0,0,0,3083.89111328125,8054.0537109375
MAR,1,Casablanca-Settat,70788906B33851053053385,GHSL,All_2020_Fixed,2020,0,0,10,7582820,0,0,0,0,13343.583984375,1254017.875,0,0,0,0,152.56089782714844,2682.1650390625
MAR,1,Marrakech-Safi,70788906B60308563647099,GHSL,All_2020_Fixed,2020,1,0,21,4957820,8730.935546875,70901.5546875,0,0,8485.814453125,1348087.25,567.54656982421875,1032.1627197265625,0,0,406.9537353515625,4384.560546875
MAR,1,Dakhla-Oued Ed-Dahab,70788906B40522022577718,GHSL,All_2020_Fixed,2020,0,0,0,179312.109375,0,0,0,0,0,0,0,0,0,0,0,0
MAR,1,Rabat-Salé-Kenitra,70788906B15955360211262,GHSL,All_2020_Fixed,2020,0,0,19,5059692,0,0,0,0,15003.2880859375,2753074.25,0,0,0,0,128.2875213623047,3086.64892578125
MAR,1,Fez-Meknes,70788906B83815134303720,GHSL,All_2020_Fixed,2020,3,0,18,4619897,7273.7197265625,434990.21875,0,0,10606.0927734375,1023071.5625,1534.4234619140625,3713.411376953125,0,0,312.35943603515625,4934.00048828125
MAR,1,Béni Mellal-Khénifra,70788906B63032885328780,GHSL,All_2020_Fixed,2020,3,0,21,2720236.25,1445.87744140625,25282.900390625,0,0,16285.111328125,713392.5625,464.75494384765625,1226.0899658203125,0,0,811.7335205078125,9754.529296875
