iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
NIC,1,Rio San Juan,94367503B51750357600402,GHSL,All_2020_Fixed,2020,3,6,1,146263.53125,4176.552734375,23450.103515625,2348.744140625,28611.888671875,11128.1748046875,12897.888671875,2140.818359375,1894.9664306640625,282.33831787109375,346.9819641113281,451.8233337402344,1261.767822265625
NIC,1,Boaco,94367503B94735481042460,GHSL,All_2020_Fixed,2020,1,5,2,172823.921875,0,0,2223.32861328125,109742.2734375,0,379.4301452636719,0,16.342086791992188,165.00067138671875,1844.337646484375,0,19.26445960998535
NIC,1,Chontales,94367503B5776780049527,GHSL,All_2020_Fixed,2020,0,3,0,168672.78125,0,0,702.56488037109375,80109.109375,0,0,0,0,190.627685546875,1100.119873046875,0,0
NIC,1,Managua,94367503B81766766698586,GHSL,All_2020_Fixed,2020,1,7,2,1681362.75,48.85958480834961,128303.546875,1074.5341796875,1372613.5,0,22327.775390625,5.874269962310791,141.7618408203125,29.920616149902344,1069.611328125,0,184.41650390625
NIC,1,Leon,94367503B39053627120026,GHSL,All_2020_Fixed,2020,0,8,0,384897.375,0,0,1023.7928466796875,106527.1015625,0,0,0,0,441.8573303222656,2245.7470703125,0,0
NIC,1,Chinandega,94367503B84000172489696,GHSL,All_2020_Fixed,2020,0,9,0,423609.71875,0,0,10725.7724609375,259059.4375,0,0,0,0,1187.3101806640625,1859.826171875,0,0
NIC,1,Madriz,94367503B56642323258301,GHSL,All_2020_Fixed,2020,1,3,0,177654.90625,9.650284767150879,19213.0546875,1934.9722900390625,65713.4921875,0,0,1.6353070735931396,264.14837646484375,56.90011978149414,327.5185546875,0,0
NIC,1,Estelí,94367503B38089883333909,GHSL,All_2020_Fixed,2020,0,6,1,246704.0625,0,0,7278.27099609375,211906.171875,0,0,0,0,471.39227294921875,1569.42724609375,0,0
NIC,1,Nueva Segovia,94367503B21824249781169,GHSL,All_2020_Fixed,2020,0,2,0,297340.3125,0,0,5499.01611328125,118172.171875,0,0,0,0,325.2781982421875,888.64434814453125,0,0
NIC,1,Matagalpa (Departemento),94367503B41972548719200,GHSL,All_2020_Fixed,2020,0,14,1,622559.4375,0,0,18528.478515625,429241.21875,8.382683753967285,15321.767578125,0,0,525.33746337890625,3535.21875,7.971444606781006,349.4002990722656
NIC,1,North Carribean Coast Autonomous Region,94367503B67681727137385,GHSL,All_2020_Fixed,2020,2,12,0,582311.125,120483.1015625,27594.53125,8309.173828125,96583.0234375,0,0,3745.262451171875,2910.138671875,3178.15576171875,4912.8095703125,0,0
NIC,1,South Atlantic Autonomous Region,94367503B33867790321270,GHSL,All_2020_Fixed,2020,1,9,1,388091.65625,164.57235717773438,2230.69580078125,31550.935546875,135687,1.836405873298645,6924.94140625,1236.216796875,725.9810791015625,5465.88720703125,5266.76904296875,7.476318836212158,309.6692810058594
NIC,1,Jinotega (Departamento),94367503B48061873039178,GHSL,All_2020_Fixed,2020,1,11,1,511946.4375,4986.30810546875,4805.966796875,38637.26171875,322863.90625,31.54606819152832,30338.283203125,441.734375,685.54144287109375,3379.062255859375,2820.281494140625,3.0239577293395996,272.38287353515625
NIC,1,Carazo,94367503B26309730772905,GHSL,All_2020_Fixed,2020,1,5,0,192995.875,0,25826.96875,113.58901977539062,11392.072265625,0,0,0,43.01655960083008,42.943599700927734,219.2146453857422,0,0
NIC,1,Granada,94367503B26829213243408,GHSL,All_2020_Fixed,2020,2,5,1,187043.21875,132.1250762939453,9641.767578125,2596.259521484375,171425.828125,0,0,118.62560272216797,535.9189453125,128.71788024902344,851.64117431640625,0,0.013999181799590588
NIC,1,Masaya,94367503B55220527661789,GHSL,All_2020_Fixed,2020,1,4,1,376333.5625,512.42889404296875,352996.5625,35.19430160522461,21770.169921875,0,122.63251495361328,48.84870910644531,400.2650146484375,21.607776641845703,157.75006103515625,0,2.3772034645080566
NIC,1,Rivas,94367503B70144399425035,GHSL,All_2020_Fixed,2020,3,6,0,180625.390625,0.047262758016586304,13464.41796875,479.6666564941406,32925.44921875,0,0,32.706207275390625,780.337890625,55.348960876464844,773.10345458984375,0,0
