iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
PNG,1,Autonomous Region of Bougainville,602756B50041453479655,GHSL,All_2020_Fixed,2020,0,0,0,288009.9375,0,0,0,0,0,0,0,0,0,0,0,0
PNG,1,Central Province,602756B93864696482497,GHSL,All_2020_Fixed,2020,0,0,6,278808.4375,0,0,0,0,163.9135284423828,46563.0390625,0,0,0,0,105.95125579833984,2344.31103515625
PNG,1,Chimbu (Simbu) Province,602756B7407698878652,GHSL,All_2020_Fixed,2020,0,0,2,601922.25,0,0,0,0,1813.4423828125,10601.5009765625,0,0,0,0,906.9967041015625,1086.65087890625
PNG,1,East New Britain Province,602756B6474807440256,GHSL,All_2020_Fixed,2020,0,0,5,320574.125,0,0,0,0,213.30262756347656,7438.34521484375,0,0,0,0,85.401580810546875,1478.3140869140625
PNG,1,East Sepik Province,602756B46774983793805,GHSL,All_2020_Fixed,2020,0,0,2,540890.625,0,0,0,0,1262.779296875,9617.15625,0,0,0,0,2324.893798828125,3088.256103515625
PNG,1,Eastern Highlands Province,602756B92248307115505,GHSL,All_2020_Fixed,2020,0,0,2,779909.25,0,0,0,0,5303.54296875,163369.28125,0,0,0,0,529.162841796875,1093.9893798828125
PNG,1,Enga Province,602756B18903489245073,GHSL,All_2020_Fixed,2020,0,0,1,675505.8125,0,0,0,0,0,65.528106689453125,0,0,0,0,0,118.03053283691406
PNG,1,Gulf Province,602756B85114156067179,GHSL,All_2020_Fixed,2020,0,0,3,128103.9765625,0,0,0,0,1256.6046142578125,2897.77197265625,0,0,0,0,1334.98779296875,2065.683837890625
PNG,1,Hela Province,602756B92146969266961,GHSL,All_2020_Fixed,2020,0,0,4,619963.875,0,0,0,0,0,0,0,0,0,0,0,125.23786926269531
PNG,1,Jiwaka Province,602756B83114616808260,GHSL,All_2020_Fixed,2020,0,0,2,588924.9375,0,0,0,0,0,8321.6875,0,0,0,0,0.020932959392666817,292.27093505859375
PNG,1,Madang Province,602756B93477627156279,GHSL,All_2020_Fixed,2020,0,1,10,604951.25,0,0,142.93421936035156,5355.1904296875,8660.4970703125,96129.0078125,0,0,42.65643310546875,519.04449462890625,599.5159912109375,967.84149169921875
PNG,1,Manus Province,602756B50944045415739,GHSL,All_2020_Fixed,2020,0,1,0,44821.57421875,0,0,1069.3865966796875,24618.486328125,0,0,0,0,33.047706604003906,264.5718688964844,0,0
PNG,1,Milne Bay Province,602756B70880514631076,GHSL,All_2020_Fixed,2020,0,0,4,306071.75,0,0,0,0,669.09320068359375,58328.98046875,0,0,0,0,257.9985656738281,1320.310302734375
PNG,1,Morobe Province,602756B21024922409346,GHSL,All_2020_Fixed,2020,0,1,5,770616.4375,0,0,1554.2830810546875,26284.08203125,2193.065185546875,66322.6015625,0,0,731.46368408203125,2119.08349609375,310.0761413574219,2030.611572265625
PNG,1,National Capital District,602756B89852769449867,GHSL,All_2020_Fixed,2020,0,0,3,481573.78125,0,0,0,0,0,15177.4755859375,0,0,0,0,0,68.99339294433594
PNG,1,New Ireland Province,602756B43496843486474,GHSL,All_2020_Fixed,2020,0,0,1,170227.421875,0,0,0,0,25228.654296875,1464.7706298828125,0,0,0,0,198.05319213867188,7.989737510681152
PNG,1,Northern (Oro) Province,602756B63375710548767,GHSL,All_2020_Fixed,2020,0,0,2,225650.375,0,0,0,0,12304.00390625,78909.078125,0,0,0,0,2133.234130859375,2451.4716796875
PNG,1,Southern Highlands Province,602756B57671102759024,GHSL,All_2020_Fixed,2020,0,0,7,724336.375,0,0,0,0,29815.2734375,140010.03125,0,0,0,0,1037.6905517578125,3516.119384765625
PNG,1,West New Britain Province,602756B15436761522512,GHSL,All_2020_Fixed,2020,0,0,3,279799.6875,0,0,0,0,1420.243896484375,29790.9609375,0,0,0,0,194.7895965576172,1069.75830078125
PNG,1,West Sepik (Sandaun) Province,602756B26590069038156,GHSL,All_2020_Fixed,2020,0,0,0,266490.3125,0,0,0,0,0,0,0,0,0,0,0,0
PNG,1,Western Highlands Province,602756B97103947509748,GHSL,All_2020_Fixed,2020,0,0,1,486153.0625,0,0,0,0,0,718.1993408203125,0,0,0,0,41.998756408691406,193.98458862304688
PNG,1,Western Province,602756B48983107143165,GHSL,All_2020_Fixed,2020,0,0,3,207191.75,0,0,0,0,5302.6875,3383.100341796875,0,0,0,0,6099.6240234375,1921.2767333984375
