iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
LBR,1,Bomi,1627179B80972729563959,WP,All_2020_Fixed,2020,0,0,1,93665.828125,0,0,0,0,10627.3095703125,17215.22265625,0,0,0,0,207.79629516601562,285.9754333496094
LBR,1,Bong,1627179B61083292869492,WP,All_2020_Fixed,2020,0,0,0,381027.28125,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1,Gbarpolu,1627179B68944354302681,WP,All_2020_Fixed,2020,0,0,1,109261.6875,0,0,0,0,1904.765625,3936.31884765625,0,0,0,0,456.2315979003906,563.3050537109375
LBR,1,Grand Bassa,1627179B88241484252267,WP,All_2020_Fixed,2020,0,0,0,256598.609375,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1,Grand Cape Mount,1627179B74258959251724,WP,All_2020_Fixed,2020,0,0,2,159472.609375,0,0,0,0,39130.4375,44345.73828125,0,0,0,0,1087.44775390625,1377.712890625
LBR,1,Grand Gedeh,1627179B37296174914995,WP,All_2020_Fixed,2020,0,0,1,174941.296875,0,0,0,0,663.89935302734375,7213.27734375,0,0,0,0,67.39928436279297,326.19354248046875
LBR,1,Grand Kru,1627179B73218899246114,WP,All_2020_Fixed,2020,0,0,0,55285.484375,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1,Lofa,1627179B56799731812869,WP,All_2020_Fixed,2020,0,0,0,322933.65625,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1,Margibi,1627179B42027709959095,WP,All_2020_Fixed,2020,0,0,0,260924.234375,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1,Maryland,1627179B42926997018975,WP,All_2020_Fixed,2020,0,0,0,183299.6875,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1,Montserrado,1627179B44982627598129,WP,All_2020_Fixed,2020,0,0,1,1482008.75,0,0,0,0,8774.25,62941.125,0,0,0,0,41.126094818115234,212.08865356445312
LBR,1,Nimba,1627179B84371361469065,WP,All_2020_Fixed,2020,0,0,1,551989.4375,0,0,0,0,4936.68505859375,32227.359375,0,0,0,0,95.784881591796875,591.96881103515625
LBR,1,River Gee,1627179B79218106656993,WP,All_2020_Fixed,2020,0,0,1,87164.4609375,0,0,0,0,529.01483154296875,2682.18603515625,0,0,0,0,56.86469650268555,143.0289764404297
LBR,1,Rivercess,1627179B71095179953326,WP,All_2020_Fixed,2020,0,0,0,97102.8984375,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1,Sinoe,1627179B77023488056889,WP,All_2020_Fixed,2020,0,0,1,127667.875,0,0,0,0,5866.89111328125,15396.05859375,0,0,0,0,1426.5694580078125,1550.0325927734375
