iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
MMR,1,Ayeyarwady,20573499B9779674920937,WP,All_2020_Fixed,2020,0,3,1,5525984,0,0,6706.89599609375,89903.921875,5.439047813415527,42044.80078125,0,0,140.34814453125,1910.616455078125,6.2300543785095215,355.5386047363281
MMR,1,Chin,20573499B58864057590207,WP,All_2020_Fixed,2020,2,1,0,468793.875,13920.7392578125,55960.9921875,1109.7169189453125,9955.3125,0,0,1451.6025390625,4767.24951171875,128.769775390625,793.10003662109375,0,0
MMR,1,Saigang,20573499B8199738503087,WP,All_2020_Fixed,2020,1,7,0,5098517,10495.1923828125,42502.73046875,93625.3828125,279017.125,0,0,1415.7542724609375,1694.5166015625,9175.005859375,6853.76171875,0,0
MMR,1,Kachin,20573499B79934184351821,WP,All_2020_Fixed,2020,3,7,1,1760939.125,12891.9375,44674.1953125,152225.328125,258424.1875,0,4682.44091796875,5974.42626953125,4844.75439453125,17189.201171875,11620.0732421875,0,197.90032958984375
MMR,1,Kayah,20573499B20332088310808,WP,All_2020_Fixed,2020,0,1,0,280646.34375,0,0,0,23003.787109375,0,0,0,0,0,214.02540588378906,0,0
MMR,1,Kayin,20573499B82081528957960,WP,All_2020_Fixed,2020,2,2,2,1445098.625,41.963748931884766,45771.54296875,7828.76318359375,39613.88671875,2978.485595703125,115337.9296875,0.47458240389823914,350.841796875,391.3111572265625,1693.3453369140625,264.12091064453125,914.73419189453125
MMR,1,Magway,20573499B51748932062429,WP,All_2020_Fixed,2020,3,4,0,3435649.75,36.22759246826172,14066.685546875,19312.541015625,264808.25,0,0,3.301820755004883,704.1854248046875,476.4677734375,2456.569091796875,0,0
MMR,1,Mandalay,20573499B45980987355836,WP,All_2020_Fixed,2020,1,6,0,6067546,6004.396484375,123859.8671875,28516.962890625,1509114.125,0,0,97.80476379394531,804.459228515625,152.8685760498047,3251.1982421875,0,0
MMR,1,Mon,20573499B93796524737308,WP,All_2020_Fixed,2020,2,2,4,1720890.125,6322.90576171875,51507.71484375,3291.2890625,96135.734375,7500.4365234375,110088.8203125,136.6753387451172,782.48309326171875,22.230798721313477,657.21978759765625,137.31204223632812,1090.7703857421875
MMR,1,Rakhine,20573499B29373908448635,WP,All_2020_Fixed,2020,0,1,0,1639289.625,0,0,10727.607421875,19684.974609375,0,0,0,0,1694.4779052734375,1247.3204345703125,0,0
MMR,1,Tanitharyi,20573499B47967485654923,WP,All_2020_Fixed,2020,2,1,0,1304151.25,11403.1806640625,41447.296875,249.00328063964844,307.8565979003906,0,0,1832.428466796875,1679.6839599609375,13.837706565856934,23.913007736206055,0,0
MMR,1,Bago,20573499B19694912925518,WP,All_2020_Fixed,2020,1,3,2,4566062.5,60.60258483886719,4839.93017578125,16085.607421875,200298.78125,52.071510314941406,33852.51171875,0.7418876886367798,241.91873168945312,1090.17138671875,2806.03125,9.77681827545166,418.99420166015625
MMR,1,Yangon,20573499B24734669936209,WP,All_2020_Fixed,2020,0,1,0,7938445,0,0,4206.83740234375,677158.1875,0,0,0,0,5.839454174041748,418.5046081542969,0,0
MMR,1,Shan,20573499B82952573339616,WP,All_2020_Fixed,2020,0,8,0,6162085,0,0,86056.890625,698004.875,0,0,0,0,1166.4351806640625,4967.9130859375,0,0
