iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
BFA,1,Centre,92566538B14190085014946,GHSL,All_2020_Fixed,2020,0,0,4,3312326.5,0,0,0,0,15725.4375,2748754.75,0,0,0,0,373.7328796386719,1054.0230712890625
BFA,1,Boucle du Mouhoun,92566538B5930876876994,GHSL,All_2020_Fixed,2020,1,1,23,1912521.25,390.775390625,107644,6604.658203125,122866.4375,3081.968994140625,213931.03125,618.17559814453125,941.14630126953125,654.50732421875,2186.760009765625,748.93585205078125,3773.540283203125
BFA,1,Cascades,92566538B65696039363280,GHSL,All_2020_Fixed,2020,0,1,16,1014349,0,0,95.76566314697266,23591.705078125,3986.689453125,495890.125,0,0,1207.8092041015625,1013.1107788085938,1025.123046875,5547.30908203125
BFA,1,Centre-Est,92566538B37033565003987,GHSL,All_2020_Fixed,2020,1,1,10,1665072.125,0,12.195356369018555,0,5170.8330078125,11467.2099609375,293855.21875,0,10.459612846374512,3.7373806117102504e-4,461.1622009277344,428.74066162109375,2749.410400390625
BFA,1,Centre-Nord,92566538B59117792838125,GHSL,All_2020_Fixed,2020,0,0,10,1705910,0,0,0,0,34972.6484375,356777.8125,0,0,0,0,328.02685546875,3439.85791015625
BFA,1,Centre-Ouest,92566538B57875752774417,GHSL,All_2020_Fixed,2020,2,1,13,1672398.375,11.571401596069336,25892.267578125,2796.6015625,88762.1484375,6050.9150390625,96690.1640625,426.68963623046875,872.74493408203125,634.83843994140625,1143.771240234375,662.9639892578125,1962.6339111328125
BFA,1,Centre-Sud,92566538B49759193106183,GHSL,All_2020_Fixed,2020,1,0,10,841780.625,110.48980712890625,111611.640625,0,0,24009.9296875,201129.03125,1271.7232666015625,2191.828369140625,0,0,1606.5594482421875,2761.71630859375
BFA,1,Est,92566538B57532963969301,GHSL,All_2020_Fixed,2020,2,2,13,1960626.375,778.4918212890625,106372.3828125,31822.56640625,67451.4140625,3046.266845703125,144687.421875,4508.009765625,4142.45849609375,2374.73779296875,1694.5867919921875,812.4638671875,2709.707275390625
BFA,1,Hauts-Bassins,92566538B19127906733451,GHSL,All_2020_Fixed,2020,1,0,25,2597453,0.38214847445487976,2749.905029296875,0,0,4178.89208984375,1535506.875,6.319469928741455,354.5497131347656,0,0,1693.1712646484375,7041.783203125
BFA,1,Nord,92566538B60283727543208,GHSL,All_2020_Fixed,2020,0,0,5,1572274.125,0,0,0,0,5329.63916015625,93091.078125,0,0,0,0,127.33150482177734,1634.375
BFA,1,Plateau Central,92566538B74906977122081,GHSL,All_2020_Fixed,2020,0,0,11,912072.125,0,0,0,0,16579.669921875,148854.578125,0,0,0,0,448.0502014160156,2099.062255859375
BFA,1,Sahel,92566538B81581720767285,GHSL,All_2020_Fixed,2020,0,1,5,1456079.125,0,0,566385.4375,271151.4375,669.00714111328125,27792.09375,0,0,18179.595703125,3228.8330078125,15.24720287322998,652.71234130859375
BFA,1,Sud-Ouest,92566538B26761698110708,GHSL,All_2020_Fixed,2020,0,2,7,877455.0625,0,0,15929.1953125,107466.0859375,22787.970703125,66126.46875,0,0,471.1358337402344,1184.8779296875,914.402099609375,1510.933837890625
