iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
CAF,1,Mbomou,63714938B78522502559544,WP,All_2020_Fixed,2020,0,1,1,222124.625,0,0,944.61859130859375,1077.645263671875,27901.466796875,26953.576171875,0,0,2996.806884765625,1794.9908447265625,12002.0625,5489.23876953125
CAF,1,Sangha-Mbaéré,63714938B76474956810594,WP,All_2020_Fixed,2020,1,1,2,138572.90625,1097.179931640625,5818.99658203125,5968.40234375,9954.9345703125,1684.505126953125,1590.29296875,1205.65869140625,1181.857177734375,2320.70703125,1605.99853515625,1167.869140625,609.85693359375
CAF,1,Mambéré-Kadéï,63714938B93412376758102,WP,All_2020_Fixed,2020,0,0,0,494934.25,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Lobaye,63714938B21760912511834,WP,All_2020_Fixed,2020,0,0,3,332981.90625,0,0,0,0,5678.7607421875,19413.173828125,0,0,0,0,970.2723388671875,1184.2772216796875
CAF,1,Nana-Mambéré,63714938B83899487779446,WP,All_2020_Fixed,2020,0,0,1,314497.75,0,0,0,0,4090.538818359375,24482.87890625,0,0,0,0,464.86370849609375,1340.8985595703125
CAF,1,Ombella-M'Poko,63714938B70915793391768,WP,All_2020_Fixed,2020,0,0,1,383238.84375,0,0,0,0,29297.818359375,68525.359375,0,0,0,0,278.76885986328125,774.4854736328125
CAF,1,Ouham-Pendé,63714938B19002536101711,WP,All_2020_Fixed,2020,0,0,0,596709.75,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Ouham,63714938B89906779781300,WP,All_2020_Fixed,2020,1,2,0,503267.625,0,300.4490051269531,6398.39111328125,14932.919921875,0,0,0,82.94377136230469,2407.1962890625,3593.9765625,0,0
CAF,1,Nana-Grébizi,63714938B97127275381956,WP,All_2020_Fixed,2020,1,2,1,161753.25,229.35220336914062,2057.788330078125,2705.353515625,2119.664306640625,62133.890625,55903.98828125,170.6094512939453,1782.0791015625,2631.723876953125,1694.253662109375,4661.47216796875,2042.97412109375
CAF,1,Kémo,63714938B4314817363012,WP,All_2020_Fixed,2020,0,0,1,160749.484375,0,0,0,0,117.82774353027344,944.10272216796875,0,0,0,0,69.1302719116211,462.5107727050781
CAF,1,Vakaga,63714938B35477763827744,WP,All_2020_Fixed,2020,2,3,1,71224.5703125,2712.13916015625,7050.046875,5217.1708984375,13589.9912109375,0,15.716526985168457,1561.2491455078125,4591.1328125,8430.1064453125,5087.322265625,0,7.242693901062012
CAF,1,Bamingui-Bangoran,63714938B6521805151082,WP,All_2020_Fixed,2020,3,5,2,58727.234375,15205.2353515625,8062.06787109375,1957.9912109375,4651.89501953125,3348.759765625,1149.458984375,29732.283203125,6214.5283203125,2259.443603515625,2021.2735595703125,7292.75244140625,1174.583251953125
CAF,1,Ouaka,63714938B18739157330103,WP,All_2020_Fixed,2020,0,0,2,377282.375,0,0,0,0,1037.3988037109375,735.327392578125,0,0,0,0,1130.015380859375,1298.40771484375
CAF,1,Basse-Kotto,63714938B99123991024226,WP,All_2020_Fixed,2020,0,0,0,328223.28125,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Haute-Kotto,63714938B17486447780615,WP,All_2020_Fixed,2020,1,2,3,123919.484375,53.849796295166016,402.3492431640625,2019.4893798828125,6843.51220703125,288.4209289550781,334.3099060058594,375.7946472167969,1912.9044189453125,2221.187744140625,1201.8856201171875,1833.994384765625,2027.8260498046875
CAF,1,Haut-Mbomou,63714938B95555008029378,WP,All_2020_Fixed,2020,0,1,0,77126.6796875,0,0,557.83697509765625,905.51898193359375,0,0,0,0,10650.86328125,3618.990966796875,0,0
CAF,1,Bangui,63714938B39161688438046,WP,All_2020_Fixed,2020,0,0,1,970173.1875,0,0,0,0,0,538313.4375,0,0,0,0,0,63.90392303466797
