iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
COD,1,Upper Uele,28894549B55881681467015,GHSL,All_2020_Fixed,2020,2,3,2,1620949.5,1429.7724609375,14012.8916015625,103896.9140625,143011.203125,0,0,6869.5498046875,4890.3583984375,11523.572265625,6818.173828125,0,0
COD,1,Ituri,28894549B71118016098951,GHSL,All_2020_Fixed,2020,2,0,3,4847623,7694.64794921875,72544.515625,0,0,0,10.777602195739746,12093.64453125,4215.72705078125,0,0,0,0.36042630672454834
COD,1,Tshopo,28894549B99726016901645,GHSL,All_2020_Fixed,2020,2,1,3,2759941.75,34873.10546875,96012.625,0,851.8194580078125,13.689276695251465,1278.138916015625,7018.376953125,3964.78125,3.1147546768188477,936.32794189453125,6424.65625,3862.94775390625
COD,1,Lower Uele,28894549B47695765788779,GHSL,All_2020_Fixed,2020,2,2,0,1156827.25,3631.517822265625,21142.705078125,46492.16015625,95450.671875,0,0,10556.201171875,6019.939453125,30358.04296875,9091.896484375,0,0
COD,1,Mongala,28894549B51646896581942,GHSL,All_2020_Fixed,2020,0,0,2,1762083.25,0,0,0,0,31.877870559692383,3899.78466796875,0,0,0,0,2528.466552734375,1551.0596923828125
COD,1,Nord-Ubangi,28894549B30663222433478,GHSL,All_2020_Fixed,2020,0,0,1,1201616.75,0,0,0,0,2802.290771484375,14092.0146484375,0,0,0,0,5745.42529296875,3093.265380859375
COD,1,Tshuapa,28894549B79800095019512,GHSL,All_2020_Fixed,2020,1,0,6,1299620,743.97235107421875,67873.890625,0,0,5562.43017578125,33832.1171875,19841.798828125,8288.00390625,0,0,3859.222412109375,8549.294921875
COD,1,Équateur,28894549B37294008176905,GHSL,All_2020_Fixed,2020,0,0,3,1933997.25,0,0,0,0,729081.75,238133.625,0,0,0,0,29422.681640625,6990.4677734375
COD,1,Haut-Katanga,28894549B50925261891635,GHSL,All_2020_Fixed,2020,2,1,1,7267622,134804.234375,212403.34375,36874.484375,8097.31640625,181499.40625,629001.5,13657.060546875,8585.4755859375,1427.143310546875,151.10836791992188,666.998046875,1241.333740234375
COD,1,Haut-Lomami,28894549B30623489313038,GHSL,All_2020_Fixed,2020,1,0,0,5965361,177288.5625,147153.796875,0,0,0,0,7155.72607421875,3365.8193359375,0,0,0,0
COD,1,Kongo-Central,28894549B38138050967839,GHSL,All_2020_Fixed,2020,0,1,3,3916257,0,0,248.2184600830078,230.8238525390625,69307.0390625,280263.59375,0,0,22.29559898376465,79.17908477783203,802.3699951171875,2030.6339111328125
COD,1,Kwango,28894549B46890622863620,GHSL,All_2020_Fixed,2020,0,2,0,1822239.5,0,0,36423.703125,10514.8681640625,0,0,0,0,987.936767578125,1549.16162109375,0,0
COD,1,Sankuru,28894549B87845660721216,GHSL,All_2020_Fixed,2020,1,0,3,165545.21875,4.005096435546875,210.45387268066406,0,0,17057.29296875,3730.33447265625,1398.824951171875,1258.7808837890625,0,0,26708.783203125,4181.091796875
COD,1,Sud-Ubangi,28894549B79448475719999,GHSL,All_2020_Fixed,2020,0,0,1,2336359.5,0,0,0,0,22360.70703125,13504.9296875,0,0,0,0,1656.2418212890625,876.41278076171875
COD,1,Tanganyika,28894549B79924508589254,GHSL,All_2020_Fixed,2020,0,0,1,4093933.75,0,0,0,0,4051.81005859375,12572.5595703125,0,0,0,0,2299.252197265625,2658.1669921875
COD,1,Kasai,28894549B67590087528803,GHSL,All_2020_Fixed,2020,1,1,1,4832973.5,2687.91357421875,18098.40234375,41.33997344970703,22869.984375,0,0,7765.0400390625,1735.5499267578125,7.503243446350098,561.26556396484375,0,53.933624267578125
COD,1,Kasai-Oriental,28894549B87743923989415,GHSL,All_2020_Fixed,2020,0,0,0,4351723.5,0,0,0,0,0,0,0,0,0,0,0,0
COD,1,Maniema,28894549B38684068732321,GHSL,All_2020_Fixed,2020,2,1,4,2372169,730.18353271484375,8212.96875,7305.54833984375,9759.4287109375,15.836536407470703,2679.617431640625,5205.4794921875,2106.87451171875,3071.585693359375,2222.48583984375,2881.427490234375,4649.94921875
COD,1,North Kivu,28894549B19306184040235,GHSL,All_2020_Fixed,2020,3,1,5,7200256,69631.3125,4216019,24756.779296875,12529.462890625,4644.97314453125,117633.828125,9411.607421875,10322.87890625,158.0192413330078,72.1843032836914,1870.0977783203125,4208.69580078125
