iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
AFG,1,Kandahar,12653393B40111500734429,GHSL,Confirmed_2000,2000,0,0,0,776254,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Kandahar,12653393B40111500734429,GHSL,Confirmed_2020,2020,0,0,0,1786833.25,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Kandahar,12653393B40111500734429,GHSL,Unknown_Year,2020,0,0,0,1786833.25,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Zabul,12653393B56617740339660,GHSL,Confirmed_2000,2000,0,0,0,226637.515625,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Zabul,12653393B56617740339660,GHSL,Confirmed_2020,2020,0,0,0,413159.75,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Zabul,12653393B56617740339660,GHSL,Unknown_Year,2020,0,0,0,413159.75,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Uruzgan,12653393B46006342616872,GHSL,Confirmed_2000,2000,0,0,0,255314.375,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Uruzgan,12653393B46006342616872,GHSL,Confirmed_2020,2020,0,0,0,507615.625,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Uruzgan,12653393B46006342616872,GHSL,Unknown_Year,2020,0,0,0,507615.625,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Daykundi,12653393B78791504725813,GHSL,Confirmed_2000,2000,0,0,0,331806.71875,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Daykundi,12653393B78791504725813,GHSL,Confirmed_2020,2020,0,0,0,662666.1875,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Daykundi,12653393B78791504725813,GHSL,Unknown_Year,2020,0,0,0,662666.1875,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Ghanzi,12653393B29313712249365,GHSL,Confirmed_2000,2000,0,0,0,1581277.25,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Ghanzi,12653393B29313712249365,GHSL,Confirmed_2020,2020,0,1,0,1214867.5,0,0,916.677978515625,18425,0,0,0,0,375.2190246582031,1346.8504638671875,0,0
AFG,1,Ghanzi,12653393B29313712249365,GHSL,Unknown_Year,2020,0,0,0,1214867.5,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Paktika,12653393B93572570471663,GHSL,Confirmed_2000,2000,0,0,0,325080.125,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Paktika,12653393B93572570471663,GHSL,Confirmed_2020,2020,0,0,0,609191.875,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Paktika,12653393B93572570471663,GHSL,Unknown_Year,2020,0,0,0,609191.875,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Khost,12653393B66876919073955,GHSL,Confirmed_2000,2000,0,0,0,292627.90625,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Khost,12653393B66876919073955,GHSL,Confirmed_2020,2020,0,0,0,1073096,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,Khost,12653393B66876919073955,GHSL,Unknown_Year,2020,0,0,0,1073096,0,0,0,0,0,0,0,0,0,0,0,0
