iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
BFA,1,Centre,92566538B14190085014946,WP,Confirmed_2000,2000,0,0,2,1191283.125,0,0,0,0,26124.796875,706360.625,0,0,0,0,304.11541748046875,709.07659912109375
BFA,1,Centre,92566538B14190085014946,WP,Confirmed_2020,2020,0,0,4,4203111,0,0,0,0,103181.0234375,3376203.25,0,0,0,0,373.7328796386719,1054.0230712890625
BFA,1,Centre,92566538B14190085014946,WP,Unknown_Year,2020,0,0,0,4203111,0,0,0,0,0,0,0,0,0,0,0,0
BFA,1,Boucle du Mouhoun,92566538B5930876876994,WP,Confirmed_2000,2000,1,0,21,1274088.5,12642.138671875,49759.49609375,0,0,32784.31640625,182945.203125,618.17559814453125,941.14630126953125,0,0,1135.305908203125,4606.79248046875
BFA,1,Boucle du Mouhoun,92566538B5930876876994,WP,Confirmed_2020,2020,1,1,23,1936466.25,13215.4248046875,77908.0625,24141.8359375,116929,36534.4296875,242402.25,618.17559814453125,941.14630126953125,654.50732421875,2186.760009765625,748.93585205078125,3773.540283203125
BFA,1,Boucle du Mouhoun,92566538B5930876876994,WP,Unknown_Year,2020,0,0,0,1936466.25,0,0,0,0,0,0,0,0,0,0,0,0
BFA,1,Cascades,92566538B65696039363280,WP,Confirmed_2000,2000,0,0,13,398860.53125,0,0,0,0,14092.86328125,145731.4375,0,0,0,0,1013.8978881835938,5127.97900390625
BFA,1,Cascades,92566538B65696039363280,WP,Confirmed_2020,2020,0,1,16,1138958.25,0,0,33509.703125,40894.87890625,49704.95703125,439375.34375,0,0,1207.8092041015625,1013.1107788085938,1025.123046875,5547.30908203125
BFA,1,Cascades,92566538B65696039363280,WP,Unknown_Year,2020,0,0,0,1138958.25,0,0,0,0,0,0,0,0,0,0,0,0
BFA,1,Centre-Est,92566538B37033565003987,WP,Confirmed_2000,2000,1,1,4,952411.625,0,368.0450134277344,0.004083853214979172,10212.8349609375,2193.210693359375,72507.9765625,0,10.459612846374512,3.7373806117102504e-4,461.1622009277344,32.07706069946289,1013.0127563476562
