iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
BOL,1,Beni,26024454B17172096462676,GHSL,Confirmed_2000,2000,0,3,16,382087.71875,0,0,931.814697265625,7676.271484375,70357.078125,157528.578125,0,0,1466.645263671875,4008.03369140625,33046.37890625,16795.02734375
BOL,1,Beni,26024454B17172096462676,GHSL,Confirmed_2020,2020,0,3,18,458304,0,0,1186.3497314453125,7917.24755859375,89559.7734375,219668.25,0,0,1466.645263671875,4008.03369140625,39367.5390625,20657.205078125
BOL,1,Beni,26024454B17172096462676,GHSL,Unknown_Year,2020,0,0,3,458304,0,0,0,0,120344.09375,10544.8818359375,0,0,0,0,2371.59130859375,4968.76611328125
BOL,1,Chuquisaca,26024454B30905576957948,GHSL,Confirmed_2000,2000,0,0,3,560738.0625,0,0,0,0,198835.515625,31968.083984375,0,0,0,0,677.70111083984375,1906.739013671875
BOL,1,Chuquisaca,26024454B30905576957948,GHSL,Confirmed_2020,2020,0,0,13,637060.125,0,0,0,0,295919.34375,70496.1484375,0,0,0,0,3927.31982421875,7324.72509765625
BOL,1,Chuquisaca,26024454B30905576957948,GHSL,Unknown_Year,2020,0,1,1,637060.125,0,0,0,28.009273529052734,0,830.3096923828125,0,0,0,528.3310546875,0,113.13410186767578
BOL,1,Cochabamba,26024454B59884138823050,GHSL,Confirmed_2000,2000,0,0,15,1510580.5,0,0,0,0,84623.09375,1016221.125,0,0,0,0,13783.6220703125,12241.2392578125
BOL,1,Cochabamba,26024454B59884138823050,GHSL,Confirmed_2020,2020,0,0,26,2090438.875,0,0,0,0,585715.5625,1171168.25,0,0,0,0,16160.025390625,13374.244140625
BOL,1,Cochabamba,26024454B59884138823050,GHSL,Unknown_Year,2020,0,0,1,2090438.875,0,0,0,0,0,134.2222900390625,0,0,0,0,0,403.2681579589844
BOL,1,La Paz,26024454B78392246351569,GHSL,Confirmed_2000,2000,0,2,38,2441476.5,0,0,514.618408203125,13415.78515625,34305.10546875,1379507.75,0,0,2313.094970703125,3306.5654296875,26013.818359375,12292.638671875
BOL,1,La Paz,26024454B78392246351569,GHSL,Confirmed_2020,2020,0,2,42,3138128.25,0,0,1199.5191650390625,26464.947265625,52238.00390625,1724795.25,0,0,2313.094970703125,3306.5654296875,26466.26953125,13199.7470703125
BOL,1,La Paz,26024454B78392246351569,GHSL,Unknown_Year,2020,0,0,7,3138128.25,0,0,0,0,80852.0390625,1818643.625,0,0,0,0,23.34674835205078,1109.808349609375
BOL,1,Oruro,26024454B78289653685394,GHSL,Confirmed_2000,2000,0,0,4,411264.125,0,0,0,0,199891.875,26502.681640625,0,0,0,0,1331.72900390625,2025.093505859375
BOL,1,Oruro,26024454B78289653685394,GHSL,Confirmed_2020,2020,0,0,5,610154.1875,0,0,0,0,312028.53125,72775.5078125,0,0,0,0,1384.462890625,4818.19677734375
BOL,1,Oruro,26024454B78289653685394,GHSL,Unknown_Year,2020,0,0,0,610154.1875,0,0,0,0,0,0,0,0,0,0,0,0
BOL,1,Pando,26024454B66401228554177,GHSL,Confirmed_2000,2000,0,0,3,53329.1953125,0,0,0,0,1332.583984375,4484.283203125,0,0,0,0,7409.69189453125,4120.8671875
BOL,1,Pando,26024454B66401228554177,GHSL,Confirmed_2020,2020,0,0,4,183595.703125,0,0,0,0,3628.943115234375,22089.865234375,0,0,0,0,8125.3046875,4781.48095703125
BOL,1,Pando,26024454B66401228554177,GHSL,Unknown_Year,2020,0,0,1,183595.703125,0,0,0,0,70074.3125,4051.694580078125,0,0,0,0,43.397491455078125,231.08583068847656
BOL,1,Potosí,26024454B37550803023778,GHSL,Confirmed_2000,2000,0,0,6,746654.1875,0,0,0,0,5248.859375,10970.953125,0,0,0,0,8669.9443359375,5279.35888671875
BOL,1,Potosí,26024454B37550803023778,GHSL,Confirmed_2020,2020,0,0,6,929595.5,0,0,0,0,6030.302734375,12878.7236328125,0,0,0,0,8669.9443359375,5279.35888671875
BOL,1,Potosí,26024454B37550803023778,GHSL,Unknown_Year,2020,0,0,0,929595.5,0,0,0,0,0,0,0,0,0,0,0,0
BOL,1,Santa Cruz,26024454B26939592883549,GHSL,Confirmed_2000,2000,0,0,19,2075258.5,0,0,0,0,7379.732421875,521996.0625,0,0,0,0,114129.375,32184.3046875
BOL,1,Santa Cruz,26024454B26939592883549,GHSL,Confirmed_2020,2020,0,0,38,3306542,0,0,0,0,31742.76953125,1012733.625,0,0,0,0,124936.1484375,44311.234375
BOL,1,Santa Cruz,26024454B26939592883549,GHSL,Unknown_Year,2020,0,0,6,3306542,0,0,0,0,1766888.25,339360.0625,0,0,0,0,9061.294921875,8836.712890625
BOL,1,Tarija,26024454B43037921046937,GHSL,Confirmed_2000,2000,0,0,6,437915.75,0,0,0,0,11451.9052734375,322500.125,0,0,0,0,4897.51611328125,8267.3681640625
BOL,1,Tarija,26024454B43037921046937,GHSL,Confirmed_2020,2020,0,0,8,616584.6875,0,0,0,0,240250.375,278531.875,0,0,0,0,5059.71826171875,9009.462890625
BOL,1,Tarija,26024454B43037921046937,GHSL,Unknown_Year,2020,0,1,2,616584.6875,0,0,105.90421295166016,57.66722106933594,626.17242431640625,4909.91162109375,0,0,1311.4765625,782.66937255859375,111.72803497314453,950.17938232421875
