iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
CAF,1,Mbomou,63714938B78522502559544,WP,Confirmed_2000,2000,0,1,0,151799.28125,0,0,897.81793212890625,1019.9989624023438,0,0,0,0,2996.806884765625,1794.9908447265625,0,0
CAF,1,Mbomou,63714938B78522502559544,WP,Confirmed_2020,2020,0,1,0,222124.625,0,0,944.61859130859375,1077.645263671875,0,0,0,0,2996.806884765625,1794.9908447265625,0,0
CAF,1,Mbomou,63714938B78522502559544,WP,Unknown_Year,2020,0,0,1,222124.625,0,0,0,0,27901.466796875,26953.576171875,0,0,0,0,12002.0625,5489.23876953125
CAF,1,Sangha-Mbaéré,63714938B76474956810594,WP,Confirmed_2000,2000,1,1,1,94818.6484375,830.1361083984375,3262.762939453125,4522.74560546875,6574.95849609375,152.02342224121094,1111.939697265625,1205.65869140625,1181.857177734375,2320.70703125,1605.99853515625,178.79913330078125,582.54864501953125
CAF,1,Sangha-Mbaéré,63714938B76474956810594,WP,Confirmed_2020,2020,1,1,1,138572.90625,1097.179931640625,5818.99658203125,5968.40234375,9954.9345703125,167.63938903808594,2119.1513671875,1205.65869140625,1181.857177734375,2320.70703125,1605.99853515625,178.79913330078125,582.54864501953125
CAF,1,Sangha-Mbaéré,63714938B76474956810594,WP,Unknown_Year,2020,0,0,1,138572.90625,0,0,0,0,1516.8629150390625,1757.9322509765625,0,0,0,0,989.06939697265625,788.65606689453125
CAF,1,Mambéré-Kadéï,63714938B93412376758102,WP,Confirmed_2000,2000,0,0,0,336933.21875,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Mambéré-Kadéï,63714938B93412376758102,WP,Confirmed_2020,2020,0,0,0,494934.25,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Mambéré-Kadéï,63714938B93412376758102,WP,Unknown_Year,2020,0,0,0,494934.25,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Lobaye,63714938B21760912511834,WP,Confirmed_2000,2000,0,0,2,227235.828125,0,0,0,0,1927.5294189453125,10712.802734375,0,0,0,0,618.70245361328125,1121.4195556640625
CAF,1,Lobaye,63714938B21760912511834,WP,Confirmed_2020,2020,0,0,2,332981.90625,0,0,0,0,1772.2203369140625,13485.9580078125,0,0,0,0,618.70245361328125,1121.4195556640625
CAF,1,Lobaye,63714938B21760912511834,WP,Unknown_Year,2020,0,0,1,332981.90625,0,0,0,0,3908.50244140625,18135.580078125,0,0,0,0,351.8433532714844,1533.7547607421875
CAF,1,Nana-Mambéré,63714938B83899487779446,WP,Confirmed_2000,2000,0,0,0,215635.59375,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Nana-Mambéré,63714938B83899487779446,WP,Confirmed_2020,2020,0,0,0,314497.75,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Nana-Mambéré,63714938B83899487779446,WP,Unknown_Year,2020,0,0,1,314497.75,0,0,0,0,4090.538818359375,24482.87890625,0,0,0,0,464.86370849609375,1340.8985595703125
CAF,1,Ombella-M'Poko,63714938B70915793391768,WP,Confirmed_2000,2000,0,0,1,264348.8125,0,0,0,0,20979.017578125,48409.265625,0,0,0,0,278.76885986328125,774.4854736328125
CAF,1,Ombella-M'Poko,63714938B70915793391768,WP,Confirmed_2020,2020,0,0,1,383238.84375,0,0,0,0,29297.818359375,68525.359375,0,0,0,0,278.76885986328125,774.4854736328125
CAF,1,Ombella-M'Poko,63714938B70915793391768,WP,Unknown_Year,2020,0,0,0,383238.84375,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Ouham-Pendé,63714938B19002536101711,WP,Confirmed_2000,2000,0,0,0,407686.25,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Ouham-Pendé,63714938B19002536101711,WP,Confirmed_2020,2020,0,0,0,596709.75,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Ouham-Pendé,63714938B19002536101711,WP,Unknown_Year,2020,0,0,0,596709.75,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Ouham,63714938B89906779781300,WP,Confirmed_2000,2000,1,2,0,343512.625,0,396.1842346191406,4608.00244140625,10692.3662109375,0,0,0,82.94377136230469,2407.1962890625,3593.9765625,0,0
CAF,1,Ouham,63714938B89906779781300,WP,Confirmed_2020,2020,1,2,0,503267.625,0,300.4490051269531,6398.39111328125,14932.919921875,0,0,0,82.94377136230469,2407.1962890625,3593.9765625,0,0
CAF,1,Ouham,63714938B89906779781300,WP,Unknown_Year,2020,0,0,0,503267.625,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Nana-Grébizi,63714938B97127275381956,WP,Confirmed_2000,2000,1,2,0,110813.8828125,230.54922485351562,1765.375244140625,1838.2811279296875,1385.090087890625,0,0,170.6094512939453,1782.0791015625,2631.723876953125,1694.253662109375,0,0
CAF,1,Nana-Grébizi,63714938B97127275381956,WP,Confirmed_2020,2020,1,2,0,161753.25,229.35220336914062,2057.788330078125,2705.353515625,2119.664306640625,0,0,170.6094512939453,1782.0791015625,2631.723876953125,1694.253662109375,0,0
CAF,1,Nana-Grébizi,63714938B97127275381956,WP,Unknown_Year,2020,0,0,1,161753.25,0,0,0,0,62133.890625,55903.98828125,0,0,0,0,4661.47216796875,2042.97412109375
CAF,1,Kémo,63714938B4314817363012,WP,Confirmed_2000,2000,0,0,0,109900.7890625,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Kémo,63714938B4314817363012,WP,Confirmed_2020,2020,0,0,0,160749.484375,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Kémo,63714938B4314817363012,WP,Unknown_Year,2020,0,0,1,160749.484375,0,0,0,0,117.82774353027344,944.10272216796875,0,0,0,0,69.1302719116211,462.5107727050781
CAF,1,Vakaga,63714938B35477763827744,WP,Confirmed_2000,2000,2,3,1,49079.28125,2418.73388671875,4613.9443359375,3741.17041015625,8990.7333984375,0,8.517314910888672,1561.2491455078125,4591.1328125,8430.1064453125,5087.322265625,0,7.242693901062012
CAF,1,Vakaga,63714938B35477763827744,WP,Confirmed_2020,2020,2,3,1,71224.5703125,2712.13916015625,7050.046875,5217.1708984375,13589.9912109375,0,15.716526985168457,1561.2491455078125,4591.1328125,8430.1064453125,5087.322265625,0,7.242693901062012
CAF,1,Vakaga,63714938B35477763827744,WP,Unknown_Year,2020,0,0,0,71224.5703125,0,0,0,0,0,0,0,0,0,0,0,0
CAF,1,Bamingui-Bangoran,63714938B6521805151082,WP,Confirmed_2000,2000,3,5,1,39885.43359375,14076.455078125,6250.43505859375,1160.5068359375,2510.219970703125,0,7.610087871551514,29732.283203125,6214.5283203125,2259.443603515625,2021.2735595703125,0,6.764040946960449
