iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
CIV,1,Bas-Sassandra,83157122B96959932745266,GHSL,Confirmed_2000,2000,0,1,1,1634982,0,0,2685.69970703125,59560.46484375,175.3146514892578,77280.9140625,0,0,154.37281799316406,454.5599670410156,1992.6343994140625,2341.56591796875
CIV,1,Bas-Sassandra,83157122B96959932745266,GHSL,Confirmed_2020,2020,0,1,1,2693312.25,0,0,2503.2705078125,91172.953125,234.28208923339844,115933.0703125,0,0,154.37281799316406,454.5599670410156,1992.6343994140625,2341.56591796875
CIV,1,Bas-Sassandra,83157122B96959932745266,GHSL,Unknown_Year,2020,0,0,18,2693312.25,0,0,0,0,435255.40625,1081918.625,0,0,0,0,7223.0166015625,9853.673828125
CIV,1,Denguele,83157122B12160353323799,GHSL,Confirmed_2000,2000,0,0,0,220946.34375,0,0,0,0,0,0,0,0,0,0,0,0
CIV,1,Denguele,83157122B12160353323799,GHSL,Confirmed_2020,2020,0,0,0,331477.65625,0,0,0,0,0,0,0,0,0,0,0,0
CIV,1,Denguele,83157122B12160353323799,GHSL,Unknown_Year,2020,0,0,29,331477.65625,0,0,0,0,5924.8984375,214352.609375,0,0,0,0,2341.00830078125,11176.662109375
CIV,1,District Autonome D'Abidjan,83157122B76853064397847,GHSL,Confirmed_2000,2000,1,0,0,3418297.25,7478.45947265625,2638884.25,0,0,0,0,34.40004348754883,550.92987060546875,0,0,0,0
CIV,1,District Autonome D'Abidjan,83157122B76853064397847,GHSL,Confirmed_2020,2020,1,1,0,5735353.5,21510.615234375,4434337,210.2991180419922,672405.875,0,0,34.40004348754883,550.92987060546875,1.4823609590530396,225.1586151123047,0,0
CIV,1,District Autonome D'Abidjan,83157122B76853064397847,GHSL,Unknown_Year,2020,0,0,11,5735353.5,0,0,0,0,7340.1708984375,3355149.75,0,0,0,0,197.92124938964844,1499.9207763671875
CIV,1,District Autonome De Yamoussoukro,83157122B30232425959699,GHSL,Confirmed_2000,2000,0,1,0,272641.75,0,0,6.241548538208008,18603.701171875,0,0,0,0,166.4972686767578,438.1658630371094,0,0
CIV,1,District Autonome De Yamoussoukro,83157122B30232425959699,GHSL,Confirmed_2020,2020,0,1,0,408742.6875,0,0,10.369596481323242,32363.66796875,0,0,0,0,166.4972686767578,438.1658630371094,0,0
CIV,1,District Autonome De Yamoussoukro,83157122B30232425959699,GHSL,Unknown_Year,2020,0,0,3,408742.6875,0,0,0,0,0.1643475890159607,24685.564453125,0,0,0,0,1.4371182918548584,373.9361877441406
