iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
COD,1,Upper Uele,28894549B55881681467015,WP,Confirmed_2000,2000,2,3,2,949943.9375,18350.3203125,32077.845703125,89172.125,94592.078125,0,0,6869.5498046875,4890.3583984375,11523.572265625,6818.173828125,0,0
COD,1,Upper Uele,28894549B55881681467015,WP,Confirmed_2020,2020,2,3,2,2112105,39775.203125,68896.2265625,181872.328125,193940.828125,0,0,6869.5498046875,4890.3583984375,11523.572265625,6818.173828125,0,0
COD,1,Upper Uele,28894549B55881681467015,WP,Unknown_Year,2020,0,0,0,2112105,0,0,0,0,0,0,0,0,0,0,0,0
COD,1,Ituri,28894549B71118016098951,WP,Confirmed_2000,2000,2,0,3,2803082.75,37216.45703125,40862.75390625,0,0,0,15.31447696685791,12093.64453125,4215.72705078125,0,0,0,0.36042630672454834
COD,1,Ituri,28894549B71118016098951,WP,Confirmed_2020,2020,2,0,3,6210567,91968.515625,72488.53125,0,0,0,29.55982208251953,12093.64453125,4215.72705078125,0,0,0,0.36042630672454834
COD,1,Ituri,28894549B71118016098951,WP,Unknown_Year,2020,0,0,0,6210567,0,0,0,0,0,0,0,0,0,0,0,0
COD,1,Tshopo,28894549B99726016901645,WP,Confirmed_2000,2000,1,1,0,1557824.25,3549.05908203125,2007.403076171875,7.267347812652588,1877.235107421875,0,0,4787.29443359375,1739.2742919921875,3.1147546768188477,936.32794189453125,0,0
COD,1,Tshopo,28894549B99726016901645,WP,Confirmed_2020,2020,1,1,3,3471917,6642.44873046875,3632.89599609375,14.703962326049805,4329.74072265625,6960.81298828125,5630.26953125,4787.29443359375,1739.2742919921875,3.1147546768188477,936.32794189453125,6424.65625,3862.94775390625
COD,1,Tshopo,28894549B99726016901645,WP,Unknown_Year,2020,1,0,0,3471917,71436.796875,150325.8125,0,0,0,0,2231.082275390625,2225.5068359375,0,0,0,0
COD,1,Lower Uele,28894549B47695765788779,WP,Confirmed_2000,2000,1,2,0,675490.5,9262.4306640625,11542.6533203125,39623.75390625,29929.23828125,0,0,6463.1982421875,4027.327880859375,32278.888671875,10689.654296875,0,0
