iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
EGY,1,North Sinai Governorate,46179711B72666466596415,WP,Confirmed_2000,2000,2,2,0,281632.3125,2258.72412109375,32269.927734375,4019.465087890625,14208.869140625,0,0,77.42335510253906,453.5151672363281,121.25951385498047,506.8858642578125,0,0
EGY,1,North Sinai Governorate,46179711B72666466596415,WP,Confirmed_2020,2020,2,2,0,457147.78125,1867.9736328125,47720.8125,6453.1953125,24985.755859375,0,0,77.42335510253906,453.5151672363281,121.25951385498047,506.8858642578125,0,0
EGY,1,North Sinai Governorate,46179711B72666466596415,WP,Unknown_Year,2020,0,0,0,457147.78125,0,0,0,0,0,0,0,0,0,0,0,0
EGY,1,South Sinai Governorate,46179711B69358139854301,WP,Confirmed_2000,2000,2,3,0,138551.171875,9489.7041015625,61225.16015625,10564.8642578125,12849.8203125,0,0,2829.92041015625,3103.3720703125,5154.67578125,2567.0224609375,0,0
EGY,1,South Sinai Governorate,46179711B69358139854301,WP,Confirmed_2020,2020,2,3,0,167490.65625,11136.7021484375,76092.546875,10087.0517578125,14208.294921875,0,0,2829.92041015625,3103.3720703125,5154.67578125,2567.0224609375,0,0
EGY,1,South Sinai Governorate,46179711B69358139854301,WP,Unknown_Year,2020,0,0,0,167490.65625,0,0,0,0,0,0,0,0,0,0,0,0
EGY,1,Aswan Governorate,46179711B96058986091554,WP,Confirmed_2000,2000,0,2,0,1047081.1875,0,0,0,251408.390625,0,0,0,0,4788.587890625,2046.3509521484375,0,0
EGY,1,Aswan Governorate,46179711B96058986091554,WP,Confirmed_2020,2020,0,2,0,1504541,0,0,0,347817.8125,0,0,0,0,4788.587890625,2046.3509521484375,0,0
EGY,1,Aswan Governorate,46179711B96058986091554,WP,Unknown_Year,2020,0,0,0,1504541,0,0,0,0,0,0,0,0,0,0,0,0
EGY,1,Red Sea Governorate,46179711B94144647788557,WP,Confirmed_2000,2000,0,1,0,250225.265625,0,0,128.72561645507812,266.1838684082031,0,0,0,0,17842.3359375,2941.50830078125,0,0
EGY,1,Red Sea Governorate,46179711B94144647788557,WP,Confirmed_2020,2020,1,1,2,351350.125,1491.5810546875,999.65325927734375,136.46714782714844,307.28076171875,0,0,4822.73583984375,2820.188232421875,17842.3359375,2941.50830078125,0,0
EGY,1,Red Sea Governorate,46179711B94144647788557,WP,Unknown_Year,2020,0,0,0,351350.125,0,0,0,0,0,0,0,0,0,0,0,0
EGY,1,Matrouh Governorate,46179711B33216026370082,WP,Confirmed_2000,2000,0,1,0,313960.375,0,0,16723.298828125,28444.640625,0,0,0,0,636.18634033203125,963.317626953125,0,0
EGY,1,Matrouh Governorate,46179711B33216026370082,WP,Confirmed_2020,2020,0,2,2,563427.375,0,0,49562.9921875,55014.625,1175.578369140625,14138.0634765625,0,0,8329.9521484375,7023.134765625,184.81283569335938,1613.4539794921875
EGY,1,Matrouh Governorate,46179711B33216026370082,WP,Unknown_Year,2020,0,0,0,563427.375,0,0,0,0,0,0,0,0,0,0,0,0
