iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
SLV,1,Departamento de Cuscatlán,98794003B76410579323989,WP,Confirmed_2000,2000,0,0,0,201796.71875,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de Cuscatlán,98794003B76410579323989,WP,Confirmed_2020,2020,0,0,8,296729.6875,0,0,0,0,23020.546875,226681.96875,0,0,0,0,162.92169189453125,492.1943054199219
SLV,1,Departamento de Cuscatlán,98794003B76410579323989,WP,Unknown_Year,2020,0,0,0,296729.6875,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de Usulután,98794003B42513633485886,WP,Confirmed_2000,2000,0,0,2,320870.34375,0,0,0,0,39.579505920410156,16423.07421875,0,0,0,0,0.6419429779052734,150.47076416015625
SLV,1,Departamento de Usulután,98794003B42513633485886,WP,Confirmed_2020,2020,0,8,37,373480.84375,0,0,327.4231872558594,175488.46875,24963.39453125,115493.4140625,0,0,4.835973739624023,780.65228271484375,438.9194641113281,573.13531494140625
SLV,1,Departamento de Usulután,98794003B42513633485886,WP,Unknown_Year,2020,0,0,0,373480.84375,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,La Libertad,98794003B3671241590115,WP,Confirmed_2000,2000,0,0,0,581722.125,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,La Libertad,98794003B3671241590115,WP,Confirmed_2020,2020,2,6,15,851091.375,886.9287109375,382151.3125,92.61966705322266,216185.859375,645.80340576171875,173416.609375,1.9245916604995728,267.2026672363281,0.9930205941200256,478.6121826171875,6.599798679351807,607.67431640625
SLV,1,La Libertad,98794003B3671241590115,WP,Unknown_Year,2020,0,0,0,851091.375,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de Ahuachapán,98794003B28533173695218,WP,Confirmed_2000,2000,0,0,0,288702.90625,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de Ahuachapán,98794003B28533173695218,WP,Confirmed_2020,2020,1,1,10,382705.0625,1285.1285400390625,85860.6875,0,26195.44140625,7321.3857421875,245069.25,12.621561050415039,423.2610778808594,0,141.0500946044922,48.61674118041992,499.6448669433594
SLV,1,Departamento de Ahuachapán,98794003B28533173695218,WP,Unknown_Year,2020,0,0,0,382705.0625,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de Sonsonate,98794003B56835012218806,WP,Confirmed_2000,2000,0,0,0,394943.03125,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de Sonsonate,98794003B56835012218806,WP,Confirmed_2020,2020,2,3,15,531432,3207.57568359375,358137.1875,0,3556.318115234375,1389.4923095703125,99610.4140625,20.196914672851562,494.80731201171875,0,37.38959884643555,9.950739860534668,502.1494140625
SLV,1,Departamento de Sonsonate,98794003B56835012218806,WP,Unknown_Year,2020,0,0,0,531432,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,San Vicente,98794003B61781922911400,WP,Confirmed_2000,2000,0,0,0,152344.296875,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,San Vicente,98794003B61781922911400,WP,Confirmed_2020,2020,0,2,16,182988.6875,0,0,0,12911.625,9124.345703125,151412.75,0,0,0,180.3695068359375,112.57853698730469,770.2132568359375
SLV,1,San Vicente,98794003B61781922911400,WP,Unknown_Year,2020,0,0,0,182988.6875,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de San Miguel,98794003B50968784291710,WP,Confirmed_2000,2000,0,0,2,420158.5625,0,0,0,0,983.51776123046875,51986.2890625,0,0,0,0,14.957335472106934,335.0498352050781
SLV,1,Departamento de San Miguel,98794003B50968784291710,WP,Confirmed_2020,2020,0,8,21,482044.375,0,0,205.384521484375,118772.7890625,4126.62841796875,126592.296875,0,0,2.6089048385620117,664.6102294921875,63.25251770019531,468.24896240234375
SLV,1,Departamento de San Miguel,98794003B50968784291710,WP,Unknown_Year,2020,0,0,0,482044.375,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de La Unión,98794003B34340758390936,WP,Confirmed_2000,2000,0,0,0,240077.65625,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de La Unión,98794003B34340758390936,WP,Confirmed_2020,2020,0,1,7,224234.40625,0,0,1308.8951416015625,64880.65625,1347.1473388671875,49885.046875,0,0,8.94852066040039,325.4629211425781,19.6749267578125,646.850830078125
SLV,1,Departamento de La Unión,98794003B34340758390936,WP,Unknown_Year,2020,0,0,0,224234.40625,0,0,0,0,0,0,0,0,0,0,0,0
SLV,1,Departamento de Morazán,98794003B29271110155916,WP,Confirmed_2000,2000,0,0,0,167024.9375,0,0,0,0,0,0,0,0,0,0,0,0
