iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
SWZ,1,Manzini,75366066B3567364273406,GHSL,Confirmed_2000,2000,3,0,0,309885.96875,43.010196685791016,47506.62890625,0,0,0,0,14.595577239990234,403.6534729003906,0,0,0,0
SWZ,1,Manzini,75366066B3567364273406,GHSL,Confirmed_2020,2020,3,1,0,389697.0625,73.94034576416016,51508.4375,28.11334991455078,21157.458984375,0,0,14.595577239990234,403.6534729003906,15.762920379638672,387.35791015625,0,0
SWZ,1,Manzini,75366066B3567364273406,GHSL,Unknown_Year,2020,0,0,0,389697.0625,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Lubombo,75366066B12234306804593,GHSL,Confirmed_2000,2000,2,0,0,207704.984375,1003.5029907226562,53118.84765625,0,0,0,0,261.96600341796875,1370.413330078125,0,0,0,0
SWZ,1,Lubombo,75366066B12234306804593,GHSL,Confirmed_2020,2020,2,1,2,239968.421875,562.1507568359375,60991.44140625,0,3390.026123046875,29.371652603149414,18624.66015625,261.96600341796875,1370.413330078125,0,103.80436706542969,9.5199737548828125,568.092529296875
SWZ,1,Lubombo,75366066B12234306804593,GHSL,Unknown_Year,2020,0,0,0,239968.421875,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Shiselweni,75366066B21527038718027,GHSL,Confirmed_2000,2000,0,0,0,224798.78125,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Shiselweni,75366066B21527038718027,GHSL,Confirmed_2020,2020,0,0,0,216427.53125,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Shiselweni,75366066B21527038718027,GHSL,Unknown_Year,2020,0,0,0,216427.53125,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Hhohho,75366066B25905390127614,GHSL,Confirmed_2000,2000,3,0,1,285693.6875,621.2117919921875,142634.328125,0,0,3.4686052799224854,8413.5654296875,201.2158660888672,949.7952880859375,0,0,0.34596842527389526,225.2365264892578
SWZ,1,Hhohho,75366066B25905390127614,GHSL,Confirmed_2020,2020,3,1,4,334170.71875,244.80572509765625,159781.421875,24.387243270874023,21831.517578125,4.157668590545654,37431.85546875,201.2158660888672,949.7952880859375,1.4042925834655762,342.0662841796875,0.5311275720596313,497.65179443359375
SWZ,1,Hhohho,75366066B25905390127614,GHSL,Unknown_Year,2020,0,0,0,334170.71875,0,0,0,0,0,0,0,0,0,0,0,0
