iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
SWZ,1,Manzini,75366066B3567364273406,WP,Confirmed_2000,2000,3,0,0,295960.25,665.8297119140625,43314.26171875,0,0,0,0,14.595577239990234,403.6534729003906,0,0,0,0
SWZ,1,Manzini,75366066B3567364273406,WP,Confirmed_2020,2020,3,1,0,363585.0625,684.729248046875,52798.02734375,276.26739501953125,22704.3359375,0,0,14.595577239990234,403.6534729003906,15.762920379638672,387.35791015625,0,0
SWZ,1,Manzini,75366066B3567364273406,WP,Unknown_Year,2020,0,0,0,363585.0625,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Lubombo,75366066B12234306804593,WP,Confirmed_2000,2000,2,0,0,199691.265625,5234.55078125,47241.4375,0,0,0,0,261.96600341796875,1370.413330078125,0,0,0,0
SWZ,1,Lubombo,75366066B12234306804593,WP,Confirmed_2020,2020,2,1,2,218278.078125,5485.384765625,51356.74609375,0,3337.8349609375,106.52261352539062,18561.3125,261.96600341796875,1370.413330078125,0,103.80436706542969,9.5199737548828125,568.092529296875
SWZ,1,Lubombo,75366066B12234306804593,WP,Unknown_Year,2020,0,0,0,218278.078125,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Shiselweni,75366066B21527038718027,WP,Confirmed_2000,2000,0,0,0,213066.359375,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Shiselweni,75366066B21527038718027,WP,Confirmed_2020,2020,0,0,0,195744.078125,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Shiselweni,75366066B21527038718027,WP,Unknown_Year,2020,0,0,0,195744.078125,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,1,Hhohho,75366066B25905390127614,WP,Confirmed_2000,2000,3,0,1,268342.0625,6348.37353515625,127635.5859375,0,0,9.436971664428711,9080.126953125,201.2158660888672,949.7952880859375,0,0,0.34596842527389526,225.2365264892578
SWZ,1,Hhohho,75366066B25905390127614,WP,Confirmed_2020,2020,3,1,4,312403.5,6454.6328125,149552.40625,164.24618530273438,22642.62109375,9.927675247192383,32261.95703125,201.2158660888672,949.7952880859375,1.4042925834655762,342.0662841796875,0.5311275720596313,497.65179443359375
SWZ,1,Hhohho,75366066B25905390127614,WP,Unknown_Year,2020,0,0,0,312403.5,0,0,0,0,0,0,0,0,0,0,0,0
