system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_0000000000000000003a_000000000000000003f2,53386.64919622767,Kandahar,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,896988.4232237113,0.0,0.0,1908592.984387414,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003f3,17549.38497873034,Zabul,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,225082.73401199238,0.0,0.0,409662.22759518295,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003f4,10797.800613895613,Uruzgan,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,254503.94530170716,0.0,0.0,507386.31115963426,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003f5,17984.57212789529,Daykundi,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,333776.1184565817,0.0,0.0,666384.9353442907,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003f6,22851.647328984873,Ghanzi,1,642028.0962309028,Afghanistan,0.0,1822.9608714111423,0.0,383.7240865927822,0,1,0.0,0.0,1608161.1368878104,0.0,35910.728435993195,1284339.1325154386,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003f7,18963.564970881216,Paktika,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,310555.86574404826,0.0,0.0,595301.848420713,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003f8,3912.093296879729,Khost,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,287081.36878824164,0.0,0.0,1053191.7017965019,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003f9,5488.688742674485,Paktia,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,377634.6634056104,0.0,0.0,810702.8645580712,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003fa,4848.484308940371,Logar,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,285682.47510451206,0.0,0.0,619845.6864713157,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003fb,9811.77386265179,Wardak,1,642028.0962309028,Afghanistan,0.0,672.5120762608187,0.0,98.4681179012091,0,1,0.0,0.0,301674.49157627375,0.0,8085.486549936557,723409.2454324511,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003fc,4527.672119296467,Kabul,1,642028.0962309028,Afghanistan,0.0,411.6054798007766,0.0,2.104803300781247,0,1,0.0,0.0,3120451.1076803585,4897.891867604107,4528679.436121447,6006456.81978232,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003fd,7228.000799795345,Nangarhar,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,998464.9995637108,0.0,0.0,2276142.3576625315,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003fe,3701.9386045073466,Laghman,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,275848.5181842507,0.0,0.0,683500.2257984375,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_000000000000000003ff,2228.2367306988244,Kapisa,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,310871.0336095311,0.0,0.0,567812.8249492855,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000400,5861.620872076837,Parwan,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,585761.3020525802,0.0,0.0,990370.3460785681,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000401,2917.8275238686006,Panjshir,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,75609.23350924253,0.0,0.0,127497.59878902398,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000402,5212.84500072199,Kunar,1,642028.0962309028,Afghanistan,0.0,376.0378717543286,0.0,36.95218793140168,0,1,0.0,0.0,302783.3463979033,1544.8556703031063,21539.75627403405,692922.3583446651,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000403,8591.557559626364,Nuristan,1,642028.0962309028,Afghanistan,0.0,5994.470205245797,0.0,4044.967606543014,0,1,0.0,0.0,89497.58838465711,70046.89585807687,123253.48414469778,188399.00800045062,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000404,17466.74563555686,Baghlan,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,680991.9866955694,0.0,0.0,1231050.1644470654,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000405,17569.39146495033,Bamyan,1,642028.0962309028,Afghanistan,0.0,8666.64631589966,0.0,5057.449888639733,0,3,0.0,0.0,317768.3420012411,100258.69646203518,291987.2331513519,675510.528724527,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000406,11044.997033036612,Samangan,1,642028.0962309028,Afghanistan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,271760.5989588108,0.0,0.0,538441.915830528,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000407,8006.674677360578,Kunduz,1,642028.0962309028,Afghanistan,629.5526887126291,1559.892019982151,39.927514836726104,538.5189501480459,1,2,1.0627005100250244,20385.20542771279,933782.988909217,81130.63235663805,297785.3998724063,1213682.0713493528,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003a_00000000000000000408,12102.252772619515,Takhar,1,642028.0962309028,Afghanistan,345.6214181533172,1446.035481423143,11.269149350658676,570.9409024092438,1,2,1231.0408749019837,52308.2251259416,634370.7375760785,121632.66038435188,273869.2822911504,1479206.563847295,AFG,"{""type"":""MultiPoint"",""coordinates"":[]}"
