system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_0000000000000000003e_0000000000000000045b,20710.104615745415,Bengo,1,1251702.7880560276,Angola,0.0,0.0,0.0,0.0,0,0,0.0,0.0,434822.2241825245,0.0,0.0,446896.5967037603,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_0000000000000000045c,39627.860550559155,Benguela,1,1251702.7880560276,Angola,2918.365875359696,2918.365875359696,545.170412571295,545.170412571295,2,2,1249.7749087940902,28503.563401721316,1803962.1875140478,2251.948592953384,43569.356723096906,2434389.795925213,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_0000000000000000045d,72327.0985489837,Bié,1,1251702.7880560276,Angola,6039.196273695422,6039.196273695424,1908.9930921178134,1908.9930921178134,1,1,14449.410570737558,44103.70840078782,1545861.4614569424,7090.566648865794,33753.3087895403,1666582.160865479,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_0000000000000000045e,7040.516297776408,Cabinda,1,1251702.7880560276,Angola,0.0,2945.824478637857,0.0,2013.2731517110763,0,1,0.0,0.0,182518.70844188362,71978.17489698232,96599.04794321812,1259243.6134397986,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_0000000000000000045f,77553.23707662501,Cunene,1,1251702.7880560276,Angola,8758.71245317118,11194.318643938428,5837.648754601847,5904.512042211326,1,5,19494.936405010598,38114.83397516422,410853.9550000602,66853.66929117477,135775.6024548143,1439358.864563988,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000460,33260.92380753065,Huambo,1,1251702.7880560276,Angola,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2053541.7327240051,0.0,0.0,2055103.1116285238,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000461,78968.75242954504,Huíla,1,1251702.7880560276,Angola,13164.393259144284,13164.393259144283,7005.459797144135,7005.459797144136,2,2,1661.8968762191853,19337.440627966327,884957.5544675051,9581.0797569869,104861.32329073481,3710772.409691268,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000462,200155.01112454687,Cuando Cubango,1,1251702.7880560276,Angola,3204.6757483080505,82191.6811212687,81.49316694242879,64809.66167832982,3,10,1642.1928457951576,16821.38776600729,608155.7317463823,72434.35735181916,98578.65285831163,488018.42434485577,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000463,20354.924704730678,Cuanza Norte,1,1251702.7880560276,Angola,0.0,0.0,0.0,0.0,0,0,0.0,0.0,679733.2682274656,0.0,0.0,365935.8762156863,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000464,55470.103404808964,Cuanza Sul,1,1251702.7880560276,Angola,1456.1307611708878,1456.1307611708876,77.73841372970656,77.73841372970656,2,2,60.077941316694904,2751.5016176900003,1355267.3280656664,32.397200275391484,3295.131699614521,2085743.1943453576,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000465,19805.24637540599,Luanda,1,1251702.7880560276,Angola,12296.477277177966,12296.477277177968,9195.422856750187,9195.422856750187,1,1,3321.0479806400717,18938.648358993578,1115218.2814220027,29316.739555994165,238284.30996098375,1.0256815542142034E7,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000466,99434.36781256816,Lunda Norte,1,1251702.7880560276,Angola,0.0,0.0,0.0,0.0,0,0,0.0,0.0,485261.8588142566,0.0,0.0,1023553.108008445,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000467,80844.52586232545,Lunda Sul,1,1251702.7880560276,Angola,0.0,0.0,0.0,0.0,0,0,0.0,0.0,406239.5382230208,0.0,0.0,598731.9154222264,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000468,88798.67272119364,Malanje,1,1251702.7880560276,Angola,14338.729553602576,14913.52453169572,8732.930210223152,8739.236312214369,2,3,22127.92806870736,52905.126282638455,741666.4031116423,19211.628509150123,72835.02732377843,1442811.8501187277,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_00000000000000000469,200728.64996486637,Moxico,1,1251702.7880560276,Angola,24909.35803385677,25285.145956024888,14588.644521331733,14621.048970462587,4,5,2970.5705439938215,11170.736019854317,172089.17376748833,39767.47305699048,101464.9051047471,1378691.3809075276,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_0000000000000000046a,58121.12044633569,Namibe,1,1251702.7880560276,Angola,25052.594121242153,25056.7519686716,19807.496530694967,19840.634893994367,3,8,1663.736875353896,178522.10060588236,230817.9412805066,18770.758478041906,507508.9784715383,728597.6545344586,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_0000000000000000046b,62176.641836317656,Uíge,1,1251702.7880560276,Angola,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3056931.4430625527,0.0,0.0,1068182.2212607388,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003e_0000000000000000046c,36527.26097373933,Zaire,1,1251702.7880560276,Angola,0.0,0.0,0.0,0.0,0,0,0.0,0.0,201060.94005501285,0.0,0.0,917489.7766860287,AGO,"{""type"":""MultiPoint"",""coordinates"":[]}"
