system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00010000000000000032_000100000000000002a2,16290.898861728248,Gracias a Dios,1,112453.5607758351,Honduras,7798.923430382849,7798.992920000886,5603.474925516867,5604.087903210449,4,6,13753.018345202247,34329.49505488105,62630.74417981839,17500.36544004997,43471.39097637134,95609.9743490381,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002a3,215.31246640793216,Bay Islands,1,112453.5607758351,Honduras,56.39555775672869,214.5488268161106,31.236057410470305,64.40534892315804,2,7,11.864011545041029,2747.9218733070743,30744.92103967126,16080.175283849656,68879.2255186766,68879.2255186766,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002a4,4424.251204925432,Choluteca,1,112453.5607758351,Honduras,1982.995169410593,2644.1657529137847,340.7320698096457,534.6803774284974,8,11,10099.028122772717,267714.6781604947,400949.80583815504,15293.27641813258,343864.96887843835,458115.7642140322,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002a5,8250.79955700431,Colón,1,112453.5607758351,Honduras,2931.219413577554,5494.308820340733,1959.4544475444186,2651.483050700277,3,9,2640.8726506460603,12825.415824270647,251389.75494686805,6372.1522089385935,227624.28350290682,346967.8072303033,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002a6,7425.679475912613,El Paraíso,1,112453.5607758351,Honduras,3173.981735402292,3173.981735402293,471.3422169789734,471.3422169789734,5,5,40555.63068500746,190496.20484448923,356164.9382167317,54678.23418936307,274621.30232848594,501016.91456664517,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002a7,24133.034207961555,Olancho,1,112453.5607758351,Honduras,13421.781255151283,16105.48356692892,7456.332150528335,8260.949105637048,8,13,27504.613875738494,210220.31137040877,428420.668658035,39319.92565344257,341026.5598990193,579791.7721084745,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002a8,1597.4598891648945,Valle,1,112453.5607758351,Honduras,905.8560854399623,905.8560854399623,256.36339369951156,256.3633936995115,4,4,2084.410007661937,85963.01233104366,154746.9846573549,2526.7787622172964,106224.22519139314,184613.22290610924,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002a9,4375.147615925043,Atlántida,1,112453.5607758351,Honduras,3635.2082214187726,4112.4283181271285,1712.9642935992526,2018.1036397085165,7,10,29105.592430250177,300996.67079639,348576.0943620998,138330.3726948864,543958.7864190962,565991.0819971083,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002aa,5064.316670982277,Comayagua,1,112453.5607758351,Honduras,2931.119667363873,2996.0872777701125,610.7196258928622,611.7874711243074,5,6,25326.454727217366,258257.71627151963,353298.1109767462,38831.51906497264,445671.4970649406,581983.9445117727,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000000032_000100000000000002ab,3266.7522271664775,Copán,1,112453.5607758351,Honduras,1664.2454254219033,1664.2454254219033,151.3910240919398,151.3910240919398,4,4,5026.459503351802,157772.70866951993,296341.9125743182,5854.309179738943,209569.41901957974,424717.7484929133,HND,"{""type"":""MultiPoint"",""coordinates"":[]}"
