system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_0000000000000000000d_00000000000000000818,15502.992305344354,Xaignabouli,1,230464.19073960616,Laos,4823.850948123212,5679.662505457016,1798.3991572272485,1807.2511755971898,4,6,4024.971526811365,104653.96824570463,329295.5455677356,5395.600687991362,146482.73442137064,427231.8725848684,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_00000000000000000819,9569.433103276322,Attapeu,1,230464.19073960616,Laos,4308.876616377838,4818.888951307028,1717.4921269760894,1722.8451735218002,2,3,3224.0293063113463,10745.231072124629,104237.6812745208,5408.5135334937095,28494.914967158827,173089.99322403542,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0000000000000000081a,6960.14979787213,Bokeo,1,230464.19073960616,Laos,206.86164244519688,2611.425545062485,0.02323009220281863,997.4373670181261,1,2,0.0018366804309919767,2616.064079486389,137710.4111634456,6393.2117244494075,39733.06035271729,216674.01744387872,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0000000000000000081b,15755.389149472172,Bolikhamsai,1,230464.19073960616,Laos,4070.138847623802,6866.9189453701865,1639.4415316339876,2246.127010546743,1,3,2208.5380847554143,48601.86286702973,202103.42503911234,4041.9865750070257,174059.23941931874,381441.81863367633,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0000000000000000081c,14979.173733549822,Champasak,1,230464.19073960616,Laos,1900.3789445278676,5111.425358150381,377.2083661990432,428.12277017760476,4,9,1413.8264059867765,62346.90035911546,579833.3210700585,2147.7723579466406,236067.61796031182,855169.4517182888,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0000000000000000081d,17702.011874843854,Houaphan,1,230464.19073960616,Laos,2394.829191460115,10632.010724917733,700.3922624433231,4660.039622599788,1,5,3179.528695423156,35011.23021676838,298929.8507255263,22984.177621355524,110430.37225618314,299681.48183645564,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0000000000000000081e,16902.785437359023,Khammouane,1,230464.19073960616,Laos,5428.507715455083,12095.872438572002,2447.765987972511,7118.6790197295795,2,8,26633.356917285233,135618.56348412443,316605.72755311185,51657.82416324458,258863.05629695632,481627.43876715517,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0000000000000000081f,9693.868009371763,Luang Namtha,1,230464.19073960616,Laos,5418.460907107041,6515.930191279427,2215.295754011771,2680.6552356909615,2,3,7284.051299441189,89126.9487789011,141309.416047161,14229.212617127621,157590.80574584327,224897.10502247745,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_00000000000000000820,20074.79813052578,Luang Prabang,1,230464.19073960616,Laos,0.0,3073.799081085688,0.0,807.0554105744128,0,2,0.0,0.0,408583.23977035994,1127.583989667089,43180.10204972991,514509.31830032973,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_00000000000000000821,11790.463893081094,Oudomxay,1,230464.19073960616,Laos,222.08562330594657,2193.514544998401,6.476406971583945,888.3827109841328,2,3,25.50490888436051,3379.9854962402105,248094.10775888542,19799.855923051255,101982.93826425241,392145.8466821182,LAO,"{""type"":""MultiPoint"",""coordinates"":[]}"
