system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000064_0000000000000000067c,78080.20528662781,Cabo Delgado,1,788499.6729755811,Mozambique,20383.63611280647,27433.6116103516,12727.526110297136,17838.07926219635,5,10,79964.13290025241,145378.15028897152,1462201.3838379562,175066.15780586228,535050.2968722186,2177400.596088656,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_0000000000000000067d,78131.84408992213,Nampula,1,788499.6729755811,Mozambique,8851.214115758417,12623.283333941881,3111.1936398213907,4269.510612537839,5,8,76708.60903293843,362575.58142101474,3421711.732496801,307659.7007270968,898736.6893984278,5876354.453517616,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_0000000000000000067e,129777.56692447717,Niassa,1,788499.6729755811,Mozambique,68949.7748193784,89416.89690008247,59654.40065809037,73179.86240711232,10,17,142060.46606555945,316588.82919447,923462.9074486673,308679.7098810091,796889.6592813752,2113884.0407620133,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_0000000000000000067f,75775.81214386487,Gaza,1,788499.6729755811,Mozambique,18053.855577402694,31478.017789497313,8198.745045831418,19268.396584470254,6,11,1793.2378652467046,38919.25313964269,1193753.972551974,31397.445575605907,153836.3827344397,1528029.1805685526,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_00000000000000000680,68648.46526462595,Inhambane,1,788499.6729755811,Mozambique,7569.114015383755,7569.114015383753,3524.492313558871,3524.492313558871,5,5,17111.865350835094,50539.20139776888,1255415.6399267477,21504.47167672948,63809.43025357688,1535167.2965684065,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_00000000000000000681,63008.89056668753,Manica,1,788499.6729755811,Mozambique,25662.822608588984,28450.684463308855,15712.113978654608,17861.868333429466,12,18,89359.4967019195,215558.61194026525,1172563.676909814,191125.16726850378,474364.51442217117,2383780.8607214373,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_00000000000000000682,23345.629406882534,Maputo,1,788499.6729755811,Mozambique,5831.723092746186,6617.681432989057,1209.2656841411667,2588.260394604086,8,11,658.7616177919595,52387.28680115244,2050138.8738713441,18153.085860301326,2402146.2864349135,3733293.6388046416,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_00000000000000000683,68145.41387457069,Sofala,1,788499.6729755811,Mozambique,39092.92859355162,44256.42912017924,22541.643322648844,29489.886953136276,17,19,77258.45944198314,381025.66153169755,1496830.9369799686,530770.2444231212,1003545.3239789961,2428041.455032229,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_00000000000000000684,101103.06560249666,Tete,1,788499.6729755811,Mozambique,50944.25047430571,51632.087918116194,34628.758560247785,38187.438198434334,9,15,127677.1218093676,276056.067632631,1390412.3939134716,324825.623269676,773888.9739223042,3441837.9088702565,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_00000000000000000685,102162.72931318426,Zambézia,1,788499.6729755811,Mozambique,13991.745077962169,36577.258124091706,5232.417688951917,25609.58752011831,5,9,27159.163927807287,188072.74474986264,3311808.0843449095,815560.704351518,1836296.4708078974,5809546.003549119,MOZ,"{""type"":""MultiPoint"",""coordinates"":[]}"
