system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000020_00000000000000000957,222637.4044119337,Adrar,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,74491.56188886426,0.0,0.0,63170.78865764228,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_00000000000000000958,36001.3836783691,Assaba,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,248711.54429330913,0.0,0.0,394218.46917996585,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_00000000000000000959,33311.33168647044,Brakna,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,271658.3964534979,0.0,0.0,379962.90519658837,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_0000000000000000095a,17049.24410062178,Dakhlet Nouadhibou,1,1040577.2528384039,Mauritania,6039.139960540643,6039.139960540643,4235.33548982848,4235.335489828481,3,3,640.412476974818,809.6575137884813,81119.04662184636,178.4398451468432,343.97655423926966,163847.56467676102,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_0000000000000000095b,13816.152492346568,Gorgol,1,1040577.2528384039,Mauritania,365.88302551925926,365.88302551925926,4.958579249203438,4.958579249203438,1,1,172.4253590191404,6207.541516209532,249532.93260488508,435.0541611119813,11533.142050169125,399223.268001166,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_0000000000000000095c,10746.996335574,Guidimaka,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,177935.72145394012,0.0,0.0,329175.2280081148,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_0000000000000000095d,186889.34214525297,Hodh ech Chargui,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,307103.97170632996,0.0,0.0,586091.4578562878,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_0000000000000000095e,50271.708289565635,Hodh el Gharbi,1,1040577.2528384039,Mauritania,302.7871802991518,302.7871802991518,6.345940252313124,6.345940252313124,1,1,26.016855455555167,7552.3582072279905,211395.17542209287,211.896181463085,11115.941482817001,337082.591789391,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_0000000000000000095f,44838.06789573416,Inchiri,1,1040577.2528384039,Mauritania,2687.5422288370173,2687.5422288370182,1232.6316881275018,1232.6316881275018,3,3,1636.4830148620786,2315.644479986358,15092.58090855376,557.7856293135704,693.6129715866617,27704.313140021382,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_00000000000000000960,1499.6467113236579,Nouakchott,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,619780.3630620929,0.0,0.0,1344102.5060805986,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_00000000000000000961,95176.98139368369,Tagant,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,85638.04171253527,0.0,0.0,89668.63603172221,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_00000000000000000962,259439.37285666927,Tiris Zemmour,1,1040577.2528384039,Mauritania,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44290.47599781413,0.0,0.0,63291.44942923914,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_00000000000000000963,69021.79029215244,Trarza,1,1040577.2528384039,Mauritania,1026.8681149997617,1026.8681149997617,627.0270151666316,627.0270151666316,3,3,7573.0039920623685,16077.909788781126,269943.8685782162,5261.098864773658,9879.443573925855,274941.9599838532,MRT,"{""type"":""MultiPoint"",""coordinates"":[]}"
