system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000026_00000000000000000043,11918.370686240762,ARMM,1,293575.34780938807,Philippines,5645.847382250576,6214.349966287799,1927.989321530286,1964.9834678964164,12,13,892150.4867362283,2041689.5609340142,4440388.633446053,455020.71278513066,1031852.8464975016,1862947.197629164,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_00000000000000000044,18252.547549889907,CAR,1,293575.34780938807,Philippines,4436.889084140898,4436.8890841408975,1487.8380570660418,1487.8380570660418,8,8,252954.43564234857,733641.9765300422,1270485.3650347737,427314.04101814,1162900.1916489038,2056765.3823685653,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_00000000000000000045,597.0858269496316,NCR,1,293575.34780938807,Philippines,323.71559541747024,519.9987796839486,5.571548947265642,6.412535887120869,2,4,179027.76310467935,7432874.185365057,1.1240231983022721E7,161674.22356339046,1.1701151051728982E7,1.3372669837853009E7,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_00000000000000000046,12203.232953641105,Ilocos Region,1,293575.34780938807,Philippines,3144.931726361936,5521.149879063333,270.03855308208375,358.4887454861046,10,18,72175.73306679014,1060674.697915104,3833611.870579305,104517.40396563135,2060414.4352006963,5580430.441149424,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_00000000000000000047,26344.661388845903,Cagayan Valley,1,293575.34780938807,Philippines,5672.751482957493,16314.885315175403,479.6110636117246,7391.008563260232,10,17,6161.276802277434,483195.9529647914,2519424.1717596217,117980.04268020304,1627143.1796081162,4009960.26463223,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_00000000000000000048,21279.497231961617,Central Luzon,1,293575.34780938807,Philippines,8407.89027553999,10016.290268391745,2223.9679113508923,2646.5627100809747,18,28,72208.52594438888,2557287.3803458055,8101607.402362122,140447.63837561998,4434024.513995052,1.1994844125158358E7,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_00000000000000000049,16419.56068000329,Calabarzon,1,293575.34780938807,Philippines,6862.913133623342,10424.793483692463,1287.9299228464706,2357.3812422749397,15,25,112525.46356630856,3712214.796848973,9575533.142985826,751461.5512572341,9346942.02802249,1.5894273800335146E7,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_0000000000000000004a,25719.617974073444,Mimaropa,1,293575.34780938807,Philippines,19086.163656251218,21943.808223301123,13554.887625648169,16259.167343052028,16,22,612523.0030043232,1100331.313563239,1856919.917239851,1305932.4827595854,2239710.5792258237,3190422.8637426044,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_0000000000000000004b,14510.920159911024,Zamboanga Peninsula,1,293575.34780938807,Philippines,1494.1452586161204,5187.913623901663,100.39392758362777,306.4408050344307,2,11,14180.957830547894,258365.63809693334,2564297.922661411,37857.120177092176,1769793.5574757897,3822178.0635097018,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_0000000000000000004c,17046.945096987387,Bicol Region,1,293575.34780938807,Philippines,4277.455861636269,11173.112395662423,106.23506375351182,1191.5429588124127,9,19,15197.44762021,1008758.2218552836,3957041.3088929653,281296.70642029337,4545337.143054851,6406800.907791973,PHL,"{""type"":""MultiPoint"",""coordinates"":[]}"
