system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_00000000000000000073_000000000000000001c2,117.17602088575838,Damascus,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1524966.145877012,0.0,0.0,1870950.8560456873,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001c3,19934.52501320422,Aleppo,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3650343.979229293,0.0,0.0,4749208.101484805,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001c4,26307.550366439085,Rural Damascus,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2028766.9391135955,0.0,0.0,2903563.9817381143,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001c5,42792.34617394404,Homs,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1358236.945950693,0.0,0.0,1801427.1544248955,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001c6,11091.61078273077,Hama,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1241397.324582779,0.0,0.0,1470149.4046027947,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001c7,2377.2245599551547,Lattakia,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,656282.2174539715,0.0,0.0,828466.1486064504,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001c8,5424.9171651123925,Idleb,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1183556.2510867293,0.0,0.0,1427712.4065224216,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001c9,23013.144909722567,Al-Hasakeh,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1142018.850177277,0.0,0.0,1385034.6061119232,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001ca,24691.91491429527,Deir-ez-Zor,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,901272.3005782061,0.0,0.0,1232712.8189299174,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001cb,1873.0135952893027,Tartous,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,534211.8899528016,0.0,0.0,561644.8803859872,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001cc,17629.58593173287,Ar-Raqqa,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,707098.7465822089,0.0,0.0,834008.6401368015,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001cd,3887.190931162068,Dar'a,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,782090.9282573647,0.0,0.0,999091.6230130764,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001ce,6355.383298205683,As-Sweida,1,187564.63504519133,Syria,0.0,0.0,0.0,0.0,0,0,0.0,0.0,294675.6566519296,0.0,0.0,345939.6872796787,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_000000000000000001cf,1723.2543908367702,Quneitra,1,187564.63504519133,Syria,390.26062982845536,1524.0790024357036,1.5708258954388812,127.83983097237291,7,42,33.99367575533688,19699.645091366445,92434.40368814826,242.30818520666594,129644.03310379368,147046.62841598195,SYR,"{""type"":""MultiPoint"",""coordinates"":[]}"
