system:index,adm1_area_km2,adm1_name,adm_level,country_area_km2,country_name,pa_area10km_2000_km2,pa_area10km_2020_km2,pa_area_2000_km2,pa_area_2020_km2,pa_count_2000,pa_count_2020,pop2000_in_pa,pop2000_in_pa10,pop2000_total,pop2020_in_pa,pop2020_in_pa10,pop2020_total,shapeGroup,.geo
1_0000000000000000008a_00000000000000000386,495.8665324001721,Puducherry,1,3157737.859349381,India,0.0,0.0,0.0,0.0,0,0,0.0,0.0,752486.5444264787,0.0,0.0,1261970.6365368664,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000387,307844.9787187548,Mah?r?shtra,1,3157737.859349381,India,0.0,5893.997036891002,0.0,1213.7637815244175,0,1,0.0,0.0,8.177061873664322E7,98846.27600538358,736329.933352232,1.1075149162912297E8,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000388,16619.609273422673,N?g?land,1,3157737.859349381,India,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1708753.6710422537,0.0,0.0,1776978.2467730313,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000389,16.25818596769488,Lakshadweep,1,3157737.859349381,India,0.0,0.0,0.0,0.0,0,0,0.0,0.0,27870.10436662038,0.0,0.0,32592.672414927743,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_0000000000000000038a,241472.11942001458,Uttar Pradesh,1,3157737.859349381,India,0.0,249.11694615306348,0.0,0.05739477693014706,0,1,0.0,0.0,1.4033723322563094E8,20.58136694571551,64856.84536054888,2.033336196300707E8,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_0000000000000000038b,130295.18938756279,Tamil N?du,1,3157737.859349381,India,0.0,7933.159367930235,0.0,1697.8562188011852,0,1,0.0,0.0,5.297046574043463E7,184102.5517850777,2497899.03629888,7.104638267396884E7,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_0000000000000000038c,135520.5037860263,Chhatt?sgarh,1,3157737.859349381,India,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7806078596806757E7,0.0,0.0,2.5920025769331776E7,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_0000000000000000038d,183709.5212838858,Gujar?t,1,3157737.859349381,India,3460.7797012795536,3460.779701279554,209.42589974331375,209.42589974331375,1,1,5152.118988144586,22825.570539259505,4.240703254293403E7,11780.87003414469,46335.022043288656,6.071034791475096E7,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_0000000000000000038e,1486.9931732461735,Delhi,1,3157737.859349381,India,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.1536540166587707E7,0.0,0.0,1.704696656630235E7,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_0000000000000000038f,10612.684819721175,Sikkim,1,3157737.859349381,India,2650.9760594589093,5368.423340796147,338.56312467508855,2084.531755348371,3,4,381.7063794041135,17739.61233702601,466506.2739078616,9191.763833431085,75131.52288357083,597810.3334684063,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000390,10812.354380209552,Tripura,1,3157737.859349381,India,371.72102794372705,556.8185705711419,6.677508398893229,9.393248749077063,1,2,1378.4724375086676,110577.57144266975,2951191.081997781,4311.120807569166,247436.2378469732,3983671.678937426,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000391,85894.71821859418,West Bengal,1,3157737.859349381,India,2084.249220097036,2298.891946846705,815.1443243733348,815.3643102236106,1,3,58889.757191376935,370128.4551585876,6.803428927322754E7,55233.067755500575,760953.818267723,8.845779020108888E7,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000392,155730.4981545435,Odisha,1,3157737.859349381,India,2784.351873566906,2784.351873566906,1245.907364988539,1245.907364988539,1,1,83763.98374081615,724273.4725329651,3.1361239792016815E7,99624.84719849136,979126.0686677946,4.082938797228507E7,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000393,94352.50947277623,Bih?r,1,3157737.859349381,India,993.6660895224285,993.6660895224285,8.327797084681372,8.327797084681373,3,3,137.37657163664701,94033.84331582683,7.009775251596025E7,452.24457548062003,185812.59505347974,1.1025705891906554E8,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000394,62579.69903383348,Lad?kh,1,3157737.859349381,India,0.0,0.0,0.0,0.0,0,0,0.0,0.0,203249.6912242517,0.0,0.0,272094.7112395928,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000008a_00000000000000000395,344016.57978586794,R?jasth?n,1,3157737.859349381,India,8595.904723294205,8595.904723294207,732.8903848847372,732.8903848847372,5,5,62026.57830573657,732493.9699780599,4.786319945124684E7,65649.16458788757,1005999.8204547493,7.057223585219443E7,IND,"{""type"":""MultiPoint"",""coordinates"":[]}"
