system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
32408957B94023193097291_0,32408957B94023193097291,1,Chittagong,203.11587524414062,1166.0555419921875,704.8251953125,2332.50830078125,0,0,2,2,0,BGD,93002.0625,883351.4375,45678.59375,357459.875,23678858,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B94023193097291_1,32408957B94023193097291,1,Chittagong,381.4042053222656,2454.73291015625,817.7381591796875,3668.514892578125,0,0,7,5,0,BGD,230880.53125,2480257.25,50906.359375,1333333,30653174,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B94023193097291_2,32408957B94023193097291,1,Chittagong,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,30653174,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B94023193097291_3,32408957B94023193097291,1,Chittagong,381.4042053222656,2454.73291015625,817.7381591796875,3668.514892578125,0,0,7,5,0,BGD,230880.53125,2480257.25,50906.359375,1333333,30653174,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_0,32408957B77718829177955,1,Dhaka,173.88320922851562,1124.4891357421875,0,0,0,0,2,0,0,BGD,133062.921875,1466286.5,0,0,30250428,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_1,32408957B77718829177955,1,Dhaka,173.88320922851562,1461.1856689453125,0,0,0,0,5,0,0,BGD,368453.0625,3773717.25,0,0,46298608,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_2,32408957B77718829177955,1,Dhaka,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,46298608,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_3,32408957B77718829177955,1,Dhaka,173.88320922851562,1461.1856689453125,0,0,0,0,5,0,0,BGD,368453.0625,3773717.25,0,0,46298608,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B83626866084602_0,32408957B83626866084602,1,Mymensingh,4.2881340980529785,339.4195861816406,0,0,0,0,1,0,0,BGD,1330.423583984375,234844.09375,0,0,10034504,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B83626866084602_1,32408957B83626866084602,1,Mymensingh,8.424025535583496,578.24090576171875,0,0,0,0,2,0,0,BGD,3287.9189453125,617812,0,0,12424701,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B83626866084602_2,32408957B83626866084602,1,Mymensingh,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,12424701,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B83626866084602_3,32408957B83626866084602,1,Mymensingh,8.424025535583496,578.24090576171875,0,0,0,0,2,0,0,BGD,3287.9189453125,617812,0,0,12424701,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B27409320841034_0,32408957B27409320841034,1,Rajshani,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,16944002,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B27409320841034_1,32408957B27409320841034,1,Rajshani,2.4467720985412598,1194.5845947265625,0,0,0,0,4,0,0,BGD,1325.60888671875,1443575.75,0,0,20593730,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B27409320841034_2,32408957B27409320841034,1,Rajshani,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,20593730,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B27409320841034_3,32408957B27409320841034,1,Rajshani,2.4467720985412598,1194.5845947265625,0,0,0,0,4,0,0,BGD,1325.60888671875,1443575.75,0,0,20593730,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77489436868882_0,32408957B77489436868882,1,Rangpur,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,14560039,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77489436868882_1,32408957B77489436868882,1,Rangpur,11.513465881347656,1379.434326171875,0,0,0,0,4,0,0,BGD,3962.301025390625,1552590,0,0,17962116,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77489436868882_2,32408957B77489436868882,1,Rangpur,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,17962116,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77489436868882_3,32408957B77489436868882,1,Rangpur,11.513465881347656,1379.434326171875,0,0,0,0,4,0,0,BGD,3962.301025390625,1552590,0,0,17962116,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
