system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
32408957B94023193097291_0,32408957B94023193097291,1,Chittagong,202.98011779785156,1151.8311767578125,678.10198974609375,2172.60693359375,0,0,2,2,0,BGD,113577.65625,942078,62489.85546875,285530.375,21967924,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B94023193097291_1,32408957B94023193097291,1,Chittagong,378.5167541503906,2367.871826171875,791.014892578125,3503.742431640625,0,0,7,5,0,BGD,292591.03125,2578642.5,96686.8828125,1268132.5,30098686,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B94023193097291_2,32408957B94023193097291,1,Chittagong,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,30098686,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B94023193097291_3,32408957B94023193097291,1,Chittagong,378.5167541503906,2367.871826171875,791.014892578125,3503.742431640625,0,0,7,5,0,BGD,292591.03125,2578642.5,96686.8828125,1268132.5,30098686,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_0,32408957B77718829177955,1,Dhaka,173.67288208007812,1075.4986572265625,0,0,0,0,2,0,0,BGD,170628.453125,1268822.25,0,0,28198006,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_1,32408957B77718829177955,1,Dhaka,173.67288208007812,1406.8084716796875,0,0,0,0,5,0,0,BGD,599350.3125,3442176.25,0,0,44840964,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_2,32408957B77718829177955,1,Dhaka,0,0,0,0,0,0,0,0,0,BGD,0,0,0,0,44840964,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B77718829177955_3,32408957B77718829177955,1,Dhaka,173.67288208007812,1406.8084716796875,0,0,0,0,5,0,0,BGD,599350.3125,3442176.25,0,0,44840964,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B83626866084602_0,32408957B83626866084602,1,Mymensingh,4.2881340980529785,339.32623291015625,0,0,0,0,1,0,0,BGD,3210.33154296875,297001.0625,0,0,9420985,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32408957B83626866084602_1,32408957B83626866084602,1,Mymensingh,8.424025535583496,578.12408447265625,0,0,0,0,2,0,0,BGD,6838.2607421875,650110.625,0,0,11698971,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
