system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
63714938B78522502559544_0,63714938B78522502559544,1,Mbomou,2996.71337890625,1794.6591796875,0,0,0,0,1,0,0,CAF,28.112071990966797,162.76351928710938,0,0,157560.515625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B78522502559544_1,63714938B78522502559544,1,Mbomou,2996.71337890625,1794.6591796875,0,0,0,0,1,0,0,CAF,40.92137145996094,187.18905639648438,0,0,220269.796875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B78522502559544_2,63714938B78522502559544,1,Mbomou,0,0,0,0,12000.27734375,5480.28369140625,0,0,1,CAF,0,0,0,0,220269.796875,18122.01171875,25535.01171875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B78522502559544_3,63714938B78522502559544,1,Mbomou,2996.71337890625,1794.6591796875,0,0,12000.27734375,5480.28369140625,1,0,1,CAF,40.92137145996094,187.18905639648438,0,0,220269.796875,18122.01171875,25535.01171875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_0,63714938B76474956810594,1,Sangha-Mbaéré,2298.579345703125,1599.040283203125,1195.7852783203125,1177.0670166015625,178.79913330078125,582.54864501953125,1,1,1,CAF,768.91790771484375,7562.99755859375,19.699125289916992,7214.18359375,98588.8828125,3.2186944484710693,1202.707763671875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_1,63714938B76474956810594,1,Sangha-Mbaéré,2298.579345703125,1599.040283203125,1195.7852783203125,1177.0670166015625,178.79913330078125,582.54864501953125,1,1,1,CAF,1745.9915771484375,10402.662109375,21.42853546142578,9578.40234375,138265.4375,3.056372880935669,1544.866455078125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_2,63714938B76474956810594,1,Sangha-Mbaéré,0,0,0,0,989.06939697265625,788.65606689453125,0,0,1,CAF,0,0,0,0,138265.4375,806.690673828125,1166.07275390625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_3,63714938B76474956810594,1,Sangha-Mbaéré,2298.579345703125,1599.040283203125,1195.7852783203125,1177.0670166015625,1167.869140625,609.85693359375,1,1,2,CAF,1745.9915771484375,10402.662109375,21.42853546142578,9578.40234375,138265.4375,809.74822998046875,1163.016357421875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_0,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,354299.65625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_1,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,494645.90625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_2,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,494645.90625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_3,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,494645.90625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B21760912511834_0,63714938B21760912511834,1,Lobaye,0,0,0,0,618.70245361328125,1120.1356201171875,0,0,2,CAF,0,0,0,0,235760.8125,58.23979949951172,2646.60546875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B21760912511834_1,63714938B21760912511834,1,Lobaye,0,0,0,0,618.70245361328125,1120.1356201171875,0,0,2,CAF,0,0,0,0,329807.3125,70.16446685791016,4215.6298828125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B21760912511834_2,63714938B21760912511834,1,Lobaye,0,0,0,0,351.8433532714844,1531.854736328125,0,0,1,CAF,0,0,0,0,329807.3125,5112.32568359375,6328.412109375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B21760912511834_3,63714938B21760912511834,1,Lobaye,0,0,0,0,970.2723388671875,1182.377197265625,0,0,3,CAF,0,0,0,0,329807.3125,5182.48876953125,7047.2119140625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B83899487779446_0,63714938B83899487779446,1,Nana-Mambéré,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,217861.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B83899487779446_1,63714938B83899487779446,1,Nana-Mambéré,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,298021.53125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B83899487779446_2,63714938B83899487779446,1,Nana-Mambéré,0,0,0,0,464.86370849609375,1340.8900146484375,0,0,1,CAF,0,0,0,0,298021.53125,4046.78515625,16287.2041015625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B83899487779446_3,63714938B83899487779446,1,Nana-Mambéré,0,0,0,0,464.86370849609375,1340.8900146484375,0,0,1,CAF,0,0,0,0,298021.53125,4046.78515625,16287.2041015625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B70915793391768_0,63714938B70915793391768,1,Ombella-M'Poko,0,0,0,0,278.7603454589844,763.97772216796875,0,0,1,CAF,0,0,0,0,167373.359375,3867.780029296875,16557.935546875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B70915793391768_1,63714938B70915793391768,1,Ombella-M'Poko,0,0,0,0,278.7603454589844,763.97772216796875,0,0,1,CAF,0,0,0,0,248016.859375,6736.88916015625,35638.33203125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B70915793391768_2,63714938B70915793391768,1,Ombella-M'Poko,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,248016.859375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B70915793391768_3,63714938B70915793391768,1,Ombella-M'Poko,0,0,0,0,278.7603454589844,763.97772216796875,0,0,1,CAF,0,0,0,0,248016.859375,6736.88916015625,35638.33203125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B19002536101711_0,63714938B19002536101711,1,Ouham-Pendé,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,419761.15625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B19002536101711_1,63714938B19002536101711,1,Ouham-Pendé,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,585490.1875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B19002536101711_2,63714938B19002536101711,1,Ouham-Pendé,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,585490.1875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B19002536101711_3,63714938B19002536101711,1,Ouham-Pendé,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,585490.1875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
