system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
63714938B78522502559544_0,63714938B78522502559544,1,Mbomou,2996.35400390625,1794.1004638671875,0,0,0,0,1,0,0,CAF,897.81793212890625,1019.9989624023438,0,0,151799.28125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B78522502559544_1,63714938B78522502559544,1,Mbomou,2996.35400390625,1794.1004638671875,0,0,0,0,1,0,0,CAF,944.61859130859375,1077.645263671875,0,0,222124.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B78522502559544_2,63714938B78522502559544,1,Mbomou,0,0,0,0,11998.8046875,5477.3466796875,0,0,1,CAF,0,0,0,0,222124.625,27901.466796875,26953.576171875,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B78522502559544_3,63714938B78522502559544,1,Mbomou,2996.35400390625,1794.1004638671875,0,0,11998.8046875,5477.3466796875,1,0,1,CAF,944.61859130859375,1077.645263671875,0,0,222124.625,27901.466796875,26953.576171875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_0,63714938B76474956810594,1,Sangha-Mbaéré,2282.44580078125,1516.070068359375,1188.410888671875,1155.9686279296875,178.79913330078125,582.1064453125,1,1,1,CAF,4522.74560546875,6574.98583984375,830.1361083984375,3262.762939453125,94818.6484375,152.02342224121094,1111.939697265625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_1,63714938B76474956810594,1,Sangha-Mbaéré,2282.44580078125,1516.070068359375,1188.410888671875,1155.9686279296875,178.79913330078125,582.1064453125,1,1,1,CAF,5968.40234375,9954.966796875,1097.179931640625,5818.99658203125,138572.90625,167.63938903808594,2119.1513671875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_2,63714938B76474956810594,1,Sangha-Mbaéré,0,0,0,0,987.98089599609375,777.30859375,0,0,1,CAF,0,0,0,0,138572.90625,1516.8629150390625,1757.9322509765625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B76474956810594_3,63714938B76474956810594,1,Sangha-Mbaéré,2282.44580078125,1516.070068359375,1188.410888671875,1155.9686279296875,1166.7806396484375,598.50946044921875,1,1,2,CAF,5968.40234375,9954.966796875,1097.179931640625,5818.99658203125,138572.90625,1684.505126953125,1590.29296875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_0,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,336933.21875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_1,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,494934.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_2,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,494934.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63714938B93412376758102_3,63714938B93412376758102,1,Mambéré-Kadéï,0,0,0,0,0,0,0,0,0,CAF,0,0,0,0,494934.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
