system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
83157122B96959932745266_0,83157122B96959932745266,1,Bas-Sassandra,38.07123565673828,222.9054412841797,2832.524658203125,2727.4921875,0,0.3442409634590149,1,1,1,CIV,904.201904296875,42006.51953125,846.9373779296875,163263.171875,1634982,0,11.65845012664795,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B96959932745266_1,83157122B96959932745266,1,Bas-Sassandra,38.07123565673828,222.9054412841797,2832.524658203125,2727.4921875,0,0.3442409634590149,1,1,1,CIV,785.2457275390625,60707.46484375,1014.5345458984375,253326.78125,2693312.25,0,10.968791007995605,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B96959932745266_2,83157122B96959932745266,1,Bas-Sassandra,0,0,0,0,7200.236328125,9626.080078125,0,0,18,CIV,0,0,0,0,2693312.25,435255.40625,1081918.625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B96959932745266_3,83157122B96959932745266,1,Bas-Sassandra,38.07123565673828,222.9054412841797,2832.524658203125,2727.4921875,6126.28173828125,7979.44482421875,1,1,19,CIV,785.2457275390625,60707.46484375,1014.5345458984375,253326.78125,2693312.25,379530.375,985501.0625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B12160353323799_0,83157122B12160353323799,1,Denguele,0,0,0,0,0,0,0,0,0,CIV,0,0,0,0,220946.34375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B12160353323799_1,83157122B12160353323799,1,Denguele,0,0,0,0,0,0,0,0,0,CIV,0,0,0,0,331477.65625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B12160353323799_2,83157122B12160353323799,1,Denguele,0,0,0,0,2340.974609375,11176.4677734375,0,0,29,CIV,0,0,0,0,331477.65625,5924.8984375,214352.609375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B12160353323799_3,83157122B12160353323799,1,Denguele,0,0,0,0,2340.974609375,11176.4677734375,0,0,29,CIV,0,0,0,0,331477.65625,5924.8984375,214352.609375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B76853064397847_0,83157122B76853064397847,1,District Autonome D'Abidjan,0,0,34.40004348754883,513.49755859375,0,0,0,1,0,CIV,0,0,7478.45947265625,2638884.25,3418297.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B76853064397847_1,83157122B76853064397847,1,District Autonome D'Abidjan,1.4811935424804688,169.56423950195312,34.40004348754883,513.49755859375,0,0,1,1,0,CIV,210.2991180419922,672405.875,21510.615234375,4434337,5735353.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B76853064397847_2,83157122B76853064397847,1,District Autonome D'Abidjan,0,0,0,0,197.52047729492188,1381.0782470703125,0,0,11,CIV,0,0,0,0,5735353.5,7340.1708984375,3355149.75,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B76853064397847_3,83157122B76853064397847,1,District Autonome D'Abidjan,1.4811935424804688,169.56423950195312,34.40004348754883,513.49755859375,173.75357055664062,886.65887451171875,1,1,11,CIV,210.2991180419922,672405.875,21510.615234375,4434337,5735353.5,5386.576171875,77427.1796875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B30232425959699_0,83157122B30232425959699,1,District Autonome De Yamoussoukro,166.23831176757812,437.7668762207031,0,0,0,0,1,0,0,CIV,6.241548538208008,18603.701171875,0,0,272641.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B30232425959699_1,83157122B30232425959699,1,District Autonome De Yamoussoukro,166.23831176757812,437.7668762207031,0,0,0,0,1,0,0,CIV,10.369596481323242,32363.66796875,0,0,408742.6875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B30232425959699_2,83157122B30232425959699,1,District Autonome De Yamoussoukro,0,0,0,0,1.300405502319336,371.47686767578125,0,0,3,CIV,0,0,0,0,408742.6875,0.1643475890159607,24685.564453125,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B30232425959699_3,83157122B30232425959699,1,District Autonome De Yamoussoukro,166.23831176757812,437.7668762207031,0,0,1.300405502319336,371.47686767578125,1,0,3,CIV,10.369596481323242,32363.66796875,0,0,408742.6875,0.1643475890159607,24685.564453125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
83157122B34711482467037_0,83157122B34711482467037,1,Goh-Djiboua,0,0,0,30.531585693359375,51.74122619628906,623.88458251953125,0,2,2,CIV,0,0,0,2073.218505859375,1147683.375,451.1161804199219,120494.484375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
