system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
27767025B11866847137657_0,27767025B11866847137657,1,Centre,0,0,2449.041748046875,1411.25927734375,0,0,0,1,0,CMR,0,0,2.7760379314422607,333.4018859863281,2557940.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B11866847137657_1,27767025B11866847137657,1,Centre,0,0,3423.109130859375,3054.075927734375,140.26551818847656,1162.5166015625,0,2,2,CMR,0,0,11.321102142333984,3036.373779296875,5846427.5,530.2344970703125,14612.4580078125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B11866847137657_2,27767025B11866847137657,1,Centre,0,0,0,0,0,0,0,0,0,CMR,0,0,0,0,5846427.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B11866847137657_3,27767025B11866847137657,1,Centre,0,0,3423.109130859375,3054.075927734375,140.26551818847656,1162.5166015625,0,2,2,CMR,0,0,11.321102142333984,3036.373779296875,5846427.5,530.2344970703125,14612.4580078125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_0,27767025B65184844379073,1,Far North,0,0,1489.76611328125,2894.34423828125,0,0,0,3,0,CMR,0,0,3132.7490234375,276875.375,2715481.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_1,27767025B65184844379073,1,Far North,1764.4957275390625,856.46722412109375,1489.76611328125,2894.34423828125,5608.52734375,1134.3419189453125,1,3,1,CMR,62122.81640625,119573.171875,5926.08203125,422490.71875,4380024,305704.125,90366.484375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_2,27767025B65184844379073,1,Far North,0,0,0,0,0,0,0,0,0,CMR,0,0,0,0,4380024,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_3,27767025B65184844379073,1,Far North,1764.4957275390625,856.46722412109375,1489.76611328125,2894.34423828125,5608.52734375,1134.3419189453125,1,3,1,CMR,62122.81640625,119573.171875,5926.08203125,422490.71875,4380024,305704.125,90366.484375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B7666404469333_0,27767025B7666404469333,1,North,0,0,7396.7685546875,6896.35546875,0,0,0,3,0,CMR,0,0,6134.78271484375,42809.69140625,1392156.5,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B7666404469333_1,27767025B7666404469333,1,North,0,0,7456.1923828125,7686.08544921875,0,0,0,4,0,CMR,0,0,10143.7392578125,125264.5625,2741340.75,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
