system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
35879248B70460974689380_0,35879248B70460974689380,1,Boa Vista,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,4101.60791015625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70460974689380_1,35879248B70460974689380,1,Boa Vista,0,0,0,0,10.27853012084961,439.95416259765625,0,0,2,CPV,0,0,0,0,21029.005859375,39.10694885253906,19696.958984375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70460974689380_2,35879248B70460974689380,1,Boa Vista,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,21029.005859375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70460974689380_3,35879248B70460974689380,1,Boa Vista,0,0,0,0,10.27853012084961,439.95416259765625,0,0,2,CPV,0,0,0,0,21029.005859375,39.10694885253906,19696.958984375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_0,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,6787.22998046875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_1,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,5866.01904296875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_2,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,5866.01904296875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_3,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,5866.01904296875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49116351933928_0,35879248B49116351933928,1,Maio,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,7083.9638671875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49116351933928_1,35879248B49116351933928,1,Maio,0,0,0,0,3.725080966949463,137.79974365234375,0,0,1,CPV,0,0,0,0,7386.69091796875,19.607393264770508,6712.623046875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49116351933928_2,35879248B49116351933928,1,Maio,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,7386.69091796875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49116351933928_3,35879248B49116351933928,1,Maio,0,0,0,0,3.725080966949463,137.79974365234375,0,0,1,CPV,0,0,0,0,7386.69091796875,19.607393264770508,6712.623046875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B31219630131339_0,35879248B31219630131339,1,Sal,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,28734.1328125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B31219630131339_1,35879248B31219630131339,1,Sal,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,25572.42578125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B31219630131339_2,35879248B31219630131339,1,Sal,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,25572.42578125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B31219630131339_3,35879248B31219630131339,1,Sal,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,25572.42578125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B41743840760019_0,35879248B41743840760019,1,São Vicente,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,66987.8828125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B41743840760019_1,35879248B41743840760019,1,São Vicente,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,94501.40625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B41743840760019_2,35879248B41743840760019,1,São Vicente,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,94501.40625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B41743840760019_3,35879248B41743840760019,1,São Vicente,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,94501.40625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49995424745322_0,35879248B49995424745322,1,Ribeira Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,6979.87451171875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49995424745322_1,35879248B49995424745322,1,Ribeira Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,8187.84375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49995424745322_2,35879248B49995424745322,1,Ribeira Brava,0,0,0,0,3.394322395324707,101.11080169677734,0,0,1,CPV,0,0,0,0,8187.84375,19.206911087036133,7031.3466796875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49995424745322_3,35879248B49995424745322,1,Ribeira Brava,0,0,0,0,3.394322395324707,101.11080169677734,0,0,1,CPV,0,0,0,0,8187.84375,19.206911087036133,7031.3466796875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B27983455382142_0,35879248B27983455382142,1,Tarrafal de São Nicolau,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,5554.9111328125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B27983455382142_1,35879248B27983455382142,1,Tarrafal de São Nicolau,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,5723.0263671875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B27983455382142_2,35879248B27983455382142,1,Tarrafal de São Nicolau,0,0,0,0,6.104330062866211,104.49835968017578,0,0,1,CPV,0,0,0,0,5723.0263671875,12.982525825500488,5710.04345703125,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B27983455382142_3,35879248B27983455382142,1,Tarrafal de São Nicolau,0,0,0,0,6.104330062866211,104.49835968017578,0,0,1,CPV,0,0,0,0,5723.0263671875,12.982525825500488,5710.04345703125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B16121613622578_0,35879248B16121613622578,1,Porto Novo,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,8350.0126953125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B16121613622578_1,35879248B16121613622578,1,Porto Novo,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,7594.85888671875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B16121613622578_2,35879248B16121613622578,1,Porto Novo,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,7594.85888671875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B16121613622578_3,35879248B16121613622578,1,Porto Novo,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,7594.85888671875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32096079392942_0,35879248B32096079392942,1,Ribeira Grande,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,13031.759765625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32096079392942_1,35879248B32096079392942,1,Ribeira Grande,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,22560.61328125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32096079392942_2,35879248B32096079392942,1,Ribeira Grande,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,22560.61328125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32096079392942_3,35879248B32096079392942,1,Ribeira Grande,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,22560.61328125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70239090782327_0,35879248B70239090782327,1,Paul,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,16357.013671875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70239090782327_1,35879248B70239090782327,1,Paul,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,19771.201171875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70239090782327_2,35879248B70239090782327,1,Paul,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,19771.201171875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70239090782327_3,35879248B70239090782327,1,Paul,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,19771.201171875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B60508126620075_0,35879248B60508126620075,1,Mosteiros,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,5494.83544921875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B60508126620075_1,35879248B60508126620075,1,Mosteiros,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,6675.892578125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B60508126620075_2,35879248B60508126620075,1,Mosteiros,0,0,0,0,22.325292587280273,60.80706787109375,0,0,1,CPV,0,0,0,0,6675.892578125,90.86812591552734,6585.0244140625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B60508126620075_3,35879248B60508126620075,1,Mosteiros,0,0,0,0,22.325292587280273,60.80706787109375,0,0,1,CPV,0,0,0,0,6675.892578125,90.86812591552734,6585.0244140625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B48710154896989_0,35879248B48710154896989,1,Santa Catarina do Fogo,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,21032.787109375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B48710154896989_1,35879248B48710154896989,1,Santa Catarina do Fogo,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,25763.412109375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B48710154896989_2,35879248B48710154896989,1,Santa Catarina do Fogo,0,0,0,0,42.858646392822266,101.87429809570312,0,0,1,CPV,0,0,0,0,25763.412109375,2947.61083984375,22815.560546875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B48710154896989_3,35879248B48710154896989,1,Santa Catarina do Fogo,0,0,0,0,42.858646392822266,101.87429809570312,0,0,1,CPV,0,0,0,0,25763.412109375,2947.61083984375,22815.560546875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B42709825939270_0,35879248B42709825939270,1,São Filipe,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,9432.08984375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B42709825939270_1,35879248B42709825939270,1,São Filipe,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,9652.0458984375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B42709825939270_2,35879248B42709825939270,1,São Filipe,0,0,0,0,19.224231719970703,208.17506408691406,0,0,1,CPV,0,0,0,0,9652.0458984375,30.659475326538086,7857.71728515625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B42709825939270_3,35879248B42709825939270,1,São Filipe,0,0,0,0,19.224231719970703,208.17506408691406,0,0,1,CPV,0,0,0,0,9652.0458984375,30.659475326538086,7857.71728515625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B58765438888265_0,35879248B58765438888265,1,São Miguel,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,7600.587890625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B58765438888265_1,35879248B58765438888265,1,São Miguel,0,0,0,0,0,15.658002853393555,0,0,1,CPV,0,0,0,0,7619.25537109375,0,4809.4765625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B58765438888265_2,35879248B58765438888265,1,São Miguel,0,0,0,0,3.8963053226470947,72.8634262084961,0,0,1,CPV,0,0,0,0,7619.25537109375,0.020521637052297592,7619.234375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B58765438888265_3,35879248B58765438888265,1,São Miguel,0,0,0,0,3.8963053226470947,72.8634262084961,0,0,2,CPV,0,0,0,0,7619.25537109375,0.020521637052297592,7619.234375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B2594883865860_0,35879248B2594883865860,1,Tarrafal,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,15309.4599609375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B2594883865860_1,35879248B2594883865860,1,Tarrafal,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,36922.8046875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B2594883865860_2,35879248B2594883865860,1,Tarrafal,0,0,0,0,0.4387291669845581,72.99983215332031,0,0,1,CPV,0,0,0,0,36922.8046875,18.28730583190918,16462.564453125,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B2594883865860_3,35879248B2594883865860,1,Tarrafal,0,0,0,0,0.4387291669845581,72.99983215332031,0,0,1,CPV,0,0,0,0,36922.8046875,18.28730583190918,16462.564453125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B65851114160010_0,35879248B65851114160010,1,Santa Catarina,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,62449.3125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B65851114160010_1,35879248B65851114160010,1,Santa Catarina,0,0,0,0,0,17.97154426574707,0,0,1,CPV,0,0,0,0,55093.5,0,6830.06396484375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B65851114160010_2,35879248B65851114160010,1,Santa Catarina,0,0,0,0,3.3937125205993652,136.5231170654297,0,0,1,CPV,0,0,0,0,55093.5,25.45287322998047,48622.63671875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B65851114160010_3,35879248B65851114160010,1,Santa Catarina,0,0,0,0,3.3937125205993652,141.01780700683594,0,0,2,CPV,0,0,0,0,55093.5,25.45287322998047,50041.5703125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B13195842681213_0,35879248B13195842681213,1,Santa Cruz,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,8440.4375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B13195842681213_1,35879248B13195842681213,1,Santa Cruz,0,0,0,0,6.188080787658691,104.23738861083984,0,0,1,CPV,0,0,0,0,9159.9228515625,375.1520080566406,8784.7705078125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B13195842681213_2,35879248B13195842681213,1,Santa Cruz,0,0,0,0,0,27.577110290527344,0,0,1,CPV,0,0,0,0,9159.9228515625,0,1140.3636474609375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B13195842681213_3,35879248B13195842681213,1,Santa Cruz,0,0,0,0,6.188080787658691,104.23738861083984,0,0,2,CPV,0,0,0,0,9159.9228515625,375.1520080566406,8784.7705078125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B8506465148242_0,35879248B8506465148242,1,São Salvador do Mundo,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,9647.21484375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B8506465148242_1,35879248B8506465148242,1,São Salvador do Mundo,0,0,0,0,0,25.541906356811523,0,0,1,CPV,0,0,0,0,15960.1748046875,0,15960.1748046875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B8506465148242_2,35879248B8506465148242,1,São Salvador do Mundo,0,0,0,0,0,9.825273513793945,0,0,1,CPV,0,0,0,0,15960.1748046875,0,1906.6116943359375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B8506465148242_3,35879248B8506465148242,1,São Salvador do Mundo,0,0,0,0,0,25.541906356811523,0,0,2,CPV,0,0,0,0,15960.1748046875,0,15960.1748046875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32254847060203_0,35879248B32254847060203,1,São Lourenço dos Órgãos,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,113684.2578125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32254847060203_1,35879248B32254847060203,1,São Lourenço dos Órgãos,0,0,0,0,0.37851741909980774,37.891353607177734,0,0,1,CPV,0,0,0,0,151953.125,13.357796669006348,151939.765625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32254847060203_2,35879248B32254847060203,1,São Lourenço dos Órgãos,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,151953.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B32254847060203_3,35879248B32254847060203,1,São Lourenço dos Órgãos,0,0,0,0,0.37851741909980774,37.891353607177734,0,0,1,CPV,0,0,0,0,151953.125,13.357796669006348,151939.765625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B61929302069698_0,35879248B61929302069698,1,São Domingos,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,13119.2978515625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B61929302069698_1,35879248B61929302069698,1,São Domingos,0,0,0,0,0,107.09214782714844,0,0,1,CPV,0,0,0,0,14759.4970703125,0,12842.73046875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B61929302069698_2,35879248B61929302069698,1,São Domingos,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,14759.4970703125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B61929302069698_3,35879248B61929302069698,1,São Domingos,0,0,0,0,0,107.09214782714844,0,0,1,CPV,0,0,0,0,14759.4970703125,0,12842.73046875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B53857372811673_0,35879248B53857372811673,1,Praia,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,14875.6025390625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B53857372811673_1,35879248B53857372811673,1,Praia,0,0,0,0,0,1.0706099271774292,0,0,1,CPV,0,0,0,0,17004.65234375,0,1.1818615198135376,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
