system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
35879248B70460974689380_0,35879248B70460974689380,1,Boa Vista,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,4112.8134765625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70460974689380_1,35879248B70460974689380,1,Boa Vista,0,0,0,0,7.985567569732666,436.1490478515625,0,0,2,CPV,0,0,0,0,19506.91015625,247.34312438964844,14715.357421875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70460974689380_2,35879248B70460974689380,1,Boa Vista,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,19506.91015625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B70460974689380_3,35879248B70460974689380,1,Boa Vista,0,0,0,0,7.985567569732666,436.1490478515625,0,0,2,CPV,0,0,0,0,19506.91015625,247.34312438964844,14715.357421875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_0,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,6173.40771484375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_1,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,4713.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_2,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,4713.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B86099575470036_3,35879248B86099575470036,1,Brava,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,4713.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49116351933928_0,35879248B49116351933928,1,Maio,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,7012.93505859375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49116351933928_1,35879248B49116351933928,1,Maio,0,0,0,0,2.1160080432891846,137.66256713867188,0,0,1,CPV,0,0,0,0,6598.60205078125,198.54580688476562,3740.119140625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
35879248B49116351933928_2,35879248B49116351933928,1,Maio,0,0,0,0,0,0,0,0,0,CPV,0,0,0,0,6598.60205078125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
