system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
46179711B72666466596415_0,46179711B72666466596415,1,North Sinai Governorate,106.9978256225586,501.01776123046875,77.42335510253906,449.1662902832031,0,0,2,2,0,EGY,4019.465087890625,14208.869140625,2258.72412109375,32269.927734375,281632.3125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B72666466596415_1,46179711B72666466596415,1,North Sinai Governorate,106.9978256225586,501.01776123046875,77.42335510253906,449.1662902832031,0,0,2,2,0,EGY,6453.1953125,24985.755859375,1867.9736328125,47720.8125,457147.78125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B72666466596415_2,46179711B72666466596415,1,North Sinai Governorate,0,0,0,0,0,0,0,0,0,EGY,0,0,0,0,457147.78125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B72666466596415_3,46179711B72666466596415,1,North Sinai Governorate,106.9978256225586,501.01776123046875,77.42335510253906,449.1662902832031,0,0,2,2,0,EGY,6453.1953125,24985.755859375,1867.9736328125,47720.8125,457147.78125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B69358139854301_0,46179711B69358139854301,1,South Sinai Governorate,5153.00390625,2566.393310546875,2824.392822265625,3097.857177734375,0,0,3,2,0,EGY,10564.8642578125,12851.349609375,9489.7041015625,61225.16015625,138551.171875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B69358139854301_1,46179711B69358139854301,1,South Sinai Governorate,5153.00390625,2566.393310546875,2824.392822265625,3097.857177734375,0,0,3,2,0,EGY,10087.0517578125,14209.1572265625,11136.7021484375,76092.546875,167490.65625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B69358139854301_2,46179711B69358139854301,1,South Sinai Governorate,0,0,0,0,0,0,0,0,0,EGY,0,0,0,0,167490.65625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B69358139854301_3,46179711B69358139854301,1,South Sinai Governorate,5153.00390625,2566.393310546875,2824.392822265625,3097.857177734375,0,0,3,2,0,EGY,10087.0517578125,14209.1572265625,11136.7021484375,76092.546875,167490.65625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B96058986091554_0,46179711B96058986091554,1,Aswan Governorate,4684.345703125,1872.5887451171875,0,0,0,0,2,0,0,EGY,0,251408.390625,0,0,1047081.1875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B96058986091554_1,46179711B96058986091554,1,Aswan Governorate,4684.345703125,1872.5887451171875,0,0,0,0,2,0,0,EGY,0,347817.8125,0,0,1504541,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B96058986091554_2,46179711B96058986091554,1,Aswan Governorate,0,0,0,0,0,0,0,0,0,EGY,0,0,0,0,1504541,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B96058986091554_3,46179711B96058986091554,1,Aswan Governorate,4684.345703125,1872.5887451171875,0,0,0,0,2,0,0,EGY,0,347817.8125,0,0,1504541,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B94144647788557_0,46179711B94144647788557,1,Red Sea Governorate,42202.5390625,45365.1328125,0,0,0,0,2,0,0,EGY,16227.76171875,16343.3759765625,0,0,250225.265625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B94144647788557_1,46179711B94144647788557,1,Red Sea Governorate,42202.5390625,45365.1328125,4820.68505859375,2819.0498046875,0,0,2,1,2,EGY,22483.890625,22592.3515625,1491.5810546875,999.65325927734375,351350.125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
46179711B94144647788557_2,46179711B94144647788557,1,Red Sea Governorate,0,0,0,0,0,0,0,0,0,EGY,0,0,0,0,351350.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
