system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
12472421B94455277260743_0,12472421B94455277260743,1,Anseba Region,3213.826171875,985.431640625,0,0,0,0,1,0,0,ERI,21755.26171875,7436.97314453125,0,0,575956.3125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B94455277260743_1,12472421B94455277260743,1,Anseba Region,3213.826171875,985.431640625,0,0,0,0,1,0,0,ERI,21177.81640625,8627.30859375,0,0,524313,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B94455277260743_2,12472421B94455277260743,1,Anseba Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,524313,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B94455277260743_3,12472421B94455277260743,1,Anseba Region,3213.826171875,985.431640625,0,0,0,0,1,0,0,ERI,21177.81640625,8627.30859375,0,0,524313,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_0,12472421B57032757115732,1,Gash-Barka Region,810.560302734375,1459.8072509765625,0,0,0,0,1,0,0,ERI,18589.71484375,59178.44140625,0,0,615889.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_1,12472421B57032757115732,1,Gash-Barka Region,810.560302734375,1459.8072509765625,0,0,0,0,1,0,0,ERI,29346.33984375,73599.9609375,0,0,890235.9375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_2,12472421B57032757115732,1,Gash-Barka Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,890235.9375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_3,12472421B57032757115732,1,Gash-Barka Region,810.560302734375,1459.8072509765625,0,0,0,0,1,0,0,ERI,29346.33984375,73599.9609375,0,0,890235.9375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B98039697407970_0,12472421B98039697407970,1,Debub Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,583886.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B98039697407970_1,12472421B98039697407970,1,Debub Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,909900.125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
