system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
31243875B86288540800273_0,31243875B86288540800273,1,Banjul,0,0.4224918782711029,0,8.773375511169434,0,0,1,1,0,GMB,0,2867.84619140625,0,37479.76953125,40347.6171875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B86288540800273_1,31243875B86288540800273,1,Banjul,0,0,6.482837200164795,2.7130298614501953,0,0,1,2,2,GMB,0,0,444.3174743652344,35502.31640625,35946.6328125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B86288540800273_2,31243875B86288540800273,1,Banjul,0,0,0,0,0,0,0,0,0,GMB,0,0,0,0,35946.6328125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B86288540800273_3,31243875B86288540800273,1,Banjul,0,0,6.482837200164795,2.7130298614501953,0,0,1,2,2,GMB,0,0,444.3174743652344,35502.31640625,35946.6328125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B74768451122912_0,31243875B74768451122912,1,Basse,0,0,0,0,0,0,0,0,0,GMB,0,0,0,0,198403.78125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B74768451122912_1,31243875B74768451122912,1,Basse,0.09201090782880783,505.668701171875,0,0,0,0,2,0,0,GMB,0.48781242966651917,139920.96875,0,0,300201.03125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B74768451122912_2,31243875B74768451122912,1,Basse,0,0,0,0,0,0,0,0,0,GMB,0,0,0,0,300201.03125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B74768451122912_3,31243875B74768451122912,1,Basse,0.09201090782880783,505.668701171875,0,0,0,0,2,0,0,GMB,0.48781242966651917,139920.96875,0,0,300201.03125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B88426941804625_0,31243875B88426941804625,1,Brikama,0,0,6.462329864501953,307.0317077636719,0,0,0,3,0,GMB,0,0,172.26927185058594,207873.296875,391749.78125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B88426941804625_1,31243875B88426941804625,1,Brikama,17.908693313598633,941.6051025390625,10.565284729003906,324.546142578125,0,0.5763199925422668,8,4,1,GMB,57.847808837890625,168369.15625,632.6378173828125,679461.5625,1087375,0,181.96444702148438,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B88426941804625_2,31243875B88426941804625,1,Brikama,0,0,0,0,0,0,0,0,0,GMB,0,0,0,0,1087375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B88426941804625_3,31243875B88426941804625,1,Brikama,17.908693313598633,941.6051025390625,10.565284729003906,324.546142578125,0,0.5763199925422668,8,4,1,GMB,57.847808837890625,168369.15625,632.6378173828125,679461.5625,1087375,0,181.96444702148438,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B72482523363184_0,31243875B72482523363184,1,Janjanbureh,0,0,5.431767463684082,274.23126220703125,0,0,0,1,0,GMB,0,0,0.20686301589012146,23240.630859375,118394.4296875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B72482523363184_1,31243875B72482523363184,1,Janjanbureh,0,190.05972290039062,5.431767463684082,274.23126220703125,0,0,2,1,0,GMB,0,11020.2109375,0.21934249997138977,29944.943359375,145379.15625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B72482523363184_2,31243875B72482523363184,1,Janjanbureh,0,0,0,0,0,0,0,0,0,GMB,0,0,0,0,145379.15625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31243875B72482523363184_3,31243875B72482523363184,1,Janjanbureh,0,190.05972290039062,5.431767463684082,274.23126220703125,0,0,2,1,0,GMB,0,11020.2109375,0.21934249997138977,29944.943359375,145379.15625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
