system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
32016919B72266624462344_0,32016919B72266624462344,1,Turkana,0,0,1092.752197265625,1492.2581787109375,0,43.51529312133789,0,4,2,KEN,0,0,2570.823974609375,10207.68359375,640793.5625,0,5406.3955078125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B72266624462344_1,32016919B72266624462344,1,Turkana,0,0,1092.752197265625,1492.2581787109375,0,43.51529312133789,0,4,2,KEN,0,0,4268.31201171875,18585.052734375,1151664.875,0,11384.8251953125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B72266624462344_2,32016919B72266624462344,1,Turkana,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,1151664.875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B72266624462344_3,32016919B72266624462344,1,Turkana,0,0,1092.752197265625,1492.2581787109375,0,43.51529312133789,0,4,2,KEN,0,0,4268.31201171875,18585.052734375,1151664.875,0,11384.8251953125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_0,32016919B63496705134089,1,Marsabit,1783.9908447265625,1186.25830078125,1573.5550537109375,1537.865966796875,1559.9488525390625,2927.534423828125,1,3,5,KEN,11685.658203125,4666.83154296875,343.9278259277344,4271.15478515625,236941.015625,8675.0693359375,35993.609375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_1,32016919B63496705134089,1,Marsabit,1783.9908447265625,1186.25830078125,1573.5550537109375,1537.865966796875,1559.9488525390625,2927.534423828125,1,3,5,KEN,15171.166015625,6580.83251953125,170.50189208984375,5751.0654296875,319468.03125,11768.970703125,47041.04296875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_2,32016919B63496705134089,1,Marsabit,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,319468.03125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_3,32016919B63496705134089,1,Marsabit,1783.9908447265625,1186.25830078125,1573.5550537109375,1537.865966796875,1559.9488525390625,2927.534423828125,1,3,5,KEN,15171.166015625,6580.83251953125,170.50189208984375,5751.0654296875,319468.03125,11768.970703125,47041.04296875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B2031803566233_0,32016919B2031803566233,1,Mandera,0,0,876.09051513671875,819.5960693359375,0,0,0,1,0,KEN,0,0,10340.0302734375,22519.6171875,495193.5625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B2031803566233_1,32016919B2031803566233,1,Mandera,0,0,876.09051513671875,819.5960693359375,0,0,0,1,0,KEN,0,0,65372.5625,169501.703125,2385192.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B2031803566233_2,32016919B2031803566233,1,Mandera,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,2385192.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B2031803566233_3,32016919B2031803566233,1,Mandera,0,0,876.09051513671875,819.5960693359375,0,0,0,1,0,KEN,0,0,65372.5625,169501.703125,2385192.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B89873713911655_0,32016919B89873713911655,1,Wajir,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,359433.5625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B89873713911655_1,32016919B89873713911655,1,Wajir,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,1550897.125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B89873713911655_2,32016919B89873713911655,1,Wajir,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,1550897.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B89873713911655_3,32016919B89873713911655,1,Wajir,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,1550897.125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B96045830258165_0,32016919B96045830258165,1,West Pokot,0,0,85.8738021850586,703.84033203125,65.60668182373047,694.04864501953125,0,3,6,KEN,0,0,1002.6813354492188,12776.90625,387196.59375,1845.052490234375,63092.18359375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B96045830258165_1,32016919B96045830258165,1,West Pokot,0,0,85.8738021850586,703.84033203125,65.60668182373047,694.04864501953125,0,3,6,KEN,0,0,1577.717041015625,20408.943359375,690891.8125,2315.063232421875,120601.5703125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B96045830258165_2,32016919B96045830258165,1,West Pokot,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,690891.8125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B96045830258165_3,32016919B96045830258165,1,West Pokot,0,0,85.8738021850586,703.84033203125,65.60668182373047,694.04864501953125,0,3,6,KEN,0,0,1577.717041015625,20408.943359375,690891.8125,2315.063232421875,120601.5703125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B77230315601578_0,32016919B77230315601578,1,Samburu,27.25234031677246,1868.5931396484375,160.87852478027344,707.97320556640625,2123.17919921875,3789.9140625,3,3,5,KEN,355.614501953125,43562.7578125,985.97698974609375,7326.060546875,170543.640625,11913.052734375,29898.0390625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B77230315601578_1,32016919B77230315601578,1,Samburu,27.25234031677246,1868.5931396484375,160.87852478027344,707.97320556640625,2123.17919921875,3789.9140625,3,3,5,KEN,1078.828857421875,77932.8046875,1984.7218017578125,12256.3095703125,305291.3125,19249.62890625,56714.21875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B77230315601578_2,32016919B77230315601578,1,Samburu,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,305291.3125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B77230315601578_3,32016919B77230315601578,1,Samburu,27.25234031677246,1868.5931396484375,160.87852478027344,707.97320556640625,2123.17919921875,3789.9140625,3,3,5,KEN,1078.828857421875,77932.8046875,1984.7218017578125,12256.3095703125,305291.3125,19249.62890625,56714.21875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B62684442090944_0,32016919B62684442090944,1,Isiolo,89.96211242675781,1041.2152099609375,375.40472412109375,1648.5120849609375,3.135146379470825,846.39605712890625,4,5,8,KEN,200.34783935546875,6492.94775390625,2248.328857421875,13670.755859375,133194.421875,24.248111724853516,51849.91796875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B62684442090944_1,32016919B62684442090944,1,Isiolo,89.96211242675781,1041.2152099609375,375.40472412109375,1648.5120849609375,3.135146379470825,846.39605712890625,4,5,8,KEN,271.7006530761719,9162.576171875,2466.816650390625,18230.0703125,216318.046875,168.8909149169922,69112.046875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B62684442090944_2,32016919B62684442090944,1,Isiolo,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,216318.046875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
