system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
32016919B72266624462344_0,32016919B72266624462344,1,Turkana,0,0,1091.387451171875,1489.1380615234375,0,43.451866149902344,0,4,2,KEN,0,0,4393.5,14415.3193359375,612340.75,0,1195.9730224609375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B72266624462344_1,32016919B72266624462344,1,Turkana,0,0,1091.387451171875,1489.1380615234375,0,43.451866149902344,0,4,2,KEN,0,0,7961.041015625,30953.369140625,1254997.75,0,2524.665771484375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B72266624462344_2,32016919B72266624462344,1,Turkana,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,1254997.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B72266624462344_3,32016919B72266624462344,1,Turkana,0,0,1091.387451171875,1489.1380615234375,0,43.451866149902344,0,4,2,KEN,0,0,7961.041015625,30953.369140625,1254997.75,0,2524.665771484375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_0,32016919B63496705134089,1,Marsabit,1783.9908447265625,1186.25830078125,1532.9017333984375,1530.2554931640625,1559.9488525390625,2927.3720703125,1,3,5,KEN,9517.6943359375,5498.87353515625,3622.664306640625,4119.4580078125,240157.109375,10720.2666015625,33600.73828125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_1,32016919B63496705134089,1,Marsabit,1783.9908447265625,1186.25830078125,1532.9017333984375,1530.2554931640625,1559.9488525390625,2927.3720703125,1,3,5,KEN,13945.015625,9417.4345703125,4304.11767578125,6275.59375,363167.40625,15109.9970703125,50477.59765625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_2,32016919B63496705134089,1,Marsabit,0,0,0,0,0,0,0,0,0,KEN,0,0,0,0,363167.40625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B63496705134089_3,32016919B63496705134089,1,Marsabit,1783.9908447265625,1186.25830078125,1532.9017333984375,1530.2554931640625,1559.9488525390625,2927.3720703125,1,3,5,KEN,13945.015625,9417.4345703125,4304.11767578125,6275.59375,363167.40625,15109.9970703125,50477.59765625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B2031803566233_0,32016919B2031803566233,1,Mandera,0,0,799.18536376953125,764.00604248046875,0,0,0,1,0,KEN,0,0,8919.5302734375,14783.521484375,463824.71875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32016919B2031803566233_1,32016919B2031803566233,1,Mandera,0,0,798.956787109375,763.59423828125,0,0,0,1,0,KEN,0,0,49261.546875,88157.390625,2678834,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
