system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
31783359B80437097027275_0,31783359B80437097027275,1,Xaignabouli,1746.0657958984375,1466.18603515625,0,0,0,0,1,0,0,LAO,6140.466796875,40308.71875,0,0,304333.21875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B80437097027275_1,31783359B80437097027275,1,Xaignabouli,1746.0657958984375,1466.18603515625,0,0,0,0,1,0,0,LAO,8499.935546875,51024.24609375,0,0,397534.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B80437097027275_2,31783359B80437097027275,1,Xaignabouli,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,397534.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B80437097027275_3,31783359B80437097027275,1,Xaignabouli,1746.0657958984375,1466.18603515625,0,0,0,0,1,0,0,LAO,8499.935546875,51024.24609375,0,0,397534.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_0,31783359B8999899719232,1,Attapeu,2111.898193359375,1901.72802734375,0,0,0,0,3,0,0,LAO,6384.1005859375,12209.333984375,0,0,89195.21875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_1,31783359B8999899719232,1,Attapeu,2111.898193359375,1901.72802734375,0,0,0,0,3,0,0,LAO,10988.802734375,22581.322265625,0,0,152372.484375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_2,31783359B8999899719232,1,Attapeu,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,152372.484375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_3,31783359B8999899719232,1,Attapeu,2111.898193359375,1901.72802734375,0,0,0,0,3,0,0,LAO,10988.802734375,22581.322265625,0,0,152372.484375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B18099798035754_0,31783359B18099798035754,1,Bokeo,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,121568.4140625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B18099798035754_1,31783359B18099798035754,1,Bokeo,988.98016357421875,1249.99267578125,0,0,0,0,1,0,0,LAO,6770.43115234375,18917.138671875,0,0,192574.28125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B18099798035754_2,31783359B18099798035754,1,Bokeo,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,192574.28125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B18099798035754_3,31783359B18099798035754,1,Bokeo,988.98016357421875,1249.99267578125,0,0,0,0,1,0,0,LAO,6770.43115234375,18917.138671875,0,0,192574.28125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B52686694059818_0,31783359B52686694059818,1,Bolikhamsai,2658.279052734375,2913.005126953125,0,0,0,0,3,0,0,LAO,4356.5576171875,49575.6171875,0,0,179843.765625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B52686694059818_1,31783359B52686694059818,1,Bolikhamsai,2658.279052734375,2672.994873046875,540.1475830078125,1004.4158935546875,131.52720642089844,923.01678466796875,3,1,2,LAO,8167.41748046875,87864.8828125,1244.72998046875,53080.33984375,385066.28125,499.55328369140625,5969.4931640625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B52686694059818_2,31783359B52686694059818,1,Bolikhamsai,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,385066.28125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B52686694059818_3,31783359B52686694059818,1,Bolikhamsai,2658.279052734375,2672.994873046875,540.1475830078125,1004.4158935546875,131.52720642089844,923.01678466796875,3,1,2,LAO,8167.41748046875,87864.8828125,1244.72998046875,53080.33984375,385066.28125,499.55328369140625,5969.4931640625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B26227132251916_0,31783359B26227132251916,1,Champasak,3364.000732421875,2682.628662109375,0,0,0,0,3,0,0,LAO,11757.712890625,173168.359375,0,0,495394.96875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B26227132251916_1,31783359B26227132251916,1,Champasak,3364.000732421875,2682.628662109375,0,0,0,0,3,0,0,LAO,16272.7109375,262073.4375,0,0,751031.1875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B26227132251916_2,31783359B26227132251916,1,Champasak,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,751031.1875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B26227132251916_3,31783359B26227132251916,1,Champasak,3364.000732421875,2682.628662109375,0,0,0,0,3,0,0,LAO,16272.7109375,262073.4375,0,0,751031.1875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B1064119540000_0,31783359B1064119540000,1,Houaphan,680.793212890625,1307.6636962890625,0,0,0,0,1,0,0,LAO,4201.359375,23131.8515625,0,0,276436.625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
