system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
70788906B89532291078161_0,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,0,0,270.7940673828125,1484.836669921875,0,0,5,MAR,0,0,0,0,229573.796875,204.43153381347656,498.360595703125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B89532291078161_1,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,1537.7723388671875,1560.643310546875,169.9761962890625,2280.907958984375,0,1,8,MAR,0,0,516.9267578125,2619.81494140625,390245.75,1217.9195556640625,176876.015625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B89532291078161_2,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,390245.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B89532291078161_3,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,1537.7723388671875,1560.643310546875,169.9761962890625,2280.907958984375,0,1,8,MAR,0,0,516.9267578125,2619.81494140625,390245.75,1217.9195556640625,176876.015625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_0,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,0,0,332.0937805175781,4803.2412109375,0,0,18,MAR,0,0,0,0,2942378.75,34660.18359375,1581910.375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_1,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,873.96417236328125,2137.6376953125,469.7649841308594,4986.67822265625,0,2,24,MAR,0,0,32050.640625,366495.15625,4020813,38179.84765625,2568694.25,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_2,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,4020813,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_3,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,873.96417236328125,2137.6376953125,469.7649841308594,4986.67822265625,0,2,24,MAR,0,0,32050.640625,366495.15625,4020813,38179.84765625,2568694.25,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_0,70788906B40056535803135,1,Oriental,0,0,0,0,324.5382385253906,2949.101318359375,0,0,8,MAR,0,0,0,0,2042895.375,2048.052490234375,329045.9375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_1,70788906B40056535803135,1,Oriental,0,0,0,0,362.0065612792969,3371.14892578125,0,0,11,MAR,0,0,0,0,2499798,5287.48291015625,457892.96875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_2,70788906B40056535803135,1,Oriental,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,2499798,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_3,70788906B40056535803135,1,Oriental,0,0,0,0,362.0065612792969,3371.14892578125,0,0,11,MAR,0,0,0,0,2499798,5287.48291015625,457892.96875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B26242154300952_0,70788906B26242154300952,1,Drâa-Tafilalet,0,0,795.7415771484375,1448.780029296875,1691.908203125,9122.083984375,0,2,12,MAR,0,0,1923.116455078125,13514.5712890625,1461343.5,17912.3828125,198864.984375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B26242154300952_1,70788906B26242154300952,1,Drâa-Tafilalet,0,0,1580.23876953125,3813.273193359375,2422.52001953125,16384.865234375,0,5,19,MAR,0,0,9809.326171875,79843.3125,1756446.875,245469.265625,602312,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B26242154300952_2,70788906B26242154300952,1,Drâa-Tafilalet,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,1756446.875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B26242154300952_3,70788906B26242154300952,1,Drâa-Tafilalet,0,0,1580.23876953125,3813.273193359375,2422.52001953125,16384.865234375,0,5,19,MAR,0,0,9809.326171875,79843.3125,1756446.875,245469.265625,602312,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B1820144472977_0,70788906B1820144472977,1,Souss-Massa,0,0,1291.4017333984375,2651.40185546875,1015.6063232421875,6546.45654296875,0,3,12,MAR,0,0,17842.783203125,814833.625,2226556.5,8262.3369140625,277892.21875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B1820144472977_1,70788906B1820144472977,1,Souss-Massa,0,0,1291.4017333984375,2651.40185546875,1060.9832763671875,6982.998046875,0,3,15,MAR,0,0,26510.75,1273576.375,2980975,9884.4775390625,390616.84375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B1820144472977_2,70788906B1820144472977,1,Souss-Massa,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,2980975,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B1820144472977_3,70788906B1820144472977,1,Souss-Massa,0,0,1291.4017333984375,2651.40185546875,1060.9832763671875,6982.998046875,0,3,15,MAR,0,0,26510.75,1273576.375,2980975,9884.4775390625,390616.84375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B64069740334949_0,70788906B64069740334949,1,Guelmim-Oued Noun,0,0,0,0,3056.090087890625,8061.94921875,0,0,10,MAR,0,0,0,0,405523.96875,969.91241455078125,116739.3046875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B64069740334949_1,70788906B64069740334949,1,Guelmim-Oued Noun,0,0,0,0,3076.70703125,8052.306640625,0,0,12,MAR,0,0,0,0,423542.96875,1102.342529296875,132061.71875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B64069740334949_2,70788906B64069740334949,1,Guelmim-Oued Noun,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,423542.96875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B64069740334949_3,70788906B64069740334949,1,Guelmim-Oued Noun,0,0,0,0,3076.70703125,8052.306640625,0,0,12,MAR,0,0,0,0,423542.96875,1102.342529296875,132061.71875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B33851053053385_0,70788906B33851053053385,1,Casablanca-Settat,0,0,0,0,122.2265625,2491.195068359375,0,0,7,MAR,0,0,0,0,5674485,9511.318359375,445165.28125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
