system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
25212430B51059014460141_0,25212430B51059014460141,1,Cahul,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,113251.515625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B51059014460141_1,25212430B51059014460141,1,Cahul,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,167400.8125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B51059014460141_2,25212430B51059014460141,1,Cahul,0,0,0,0,114.00714874267578,1076.792236328125,0,0,5,MDA,0,0,0,0,167400.8125,17398.390625,119703.125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B51059014460141_3,25212430B51059014460141,1,Cahul,0,0,0,0,114.00714874267578,1076.792236328125,0,0,5,MDA,0,0,0,0,167400.8125,17398.390625,119703.125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B55748044124793_0,25212430B55748044124793,1,Gagauzia,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,156837.28125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B55748044124793_1,25212430B55748044124793,1,Gagauzia,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,108020.21875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B55748044124793_2,25212430B55748044124793,1,Gagauzia,0,0,0,0,299.4564514160156,1226.9915771484375,0,0,6,MDA,0,0,0,0,108020.21875,16227.9931640625,73286.859375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B55748044124793_3,25212430B55748044124793,1,Gagauzia,0,0,0,0,299.4564514160156,1226.9915771484375,0,0,6,MDA,0,0,0,0,108020.21875,16227.9931640625,73286.859375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B43456438192105_0,25212430B43456438192105,1,Taraclia,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,44362.890625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B43456438192105_1,25212430B43456438192105,1,Taraclia,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,41479.578125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B43456438192105_2,25212430B43456438192105,1,Taraclia,0,0,0,0,67.4977798461914,435.4415588378906,0,0,2,MDA,0,0,0,0,41479.578125,6093.68505859375,28440.7734375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B43456438192105_3,25212430B43456438192105,1,Taraclia,0,0,0,0,67.4977798461914,435.4415588378906,0,0,2,MDA,0,0,0,0,41479.578125,6093.68505859375,28440.7734375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B81482951983667_0,25212430B81482951983667,1,Cantemir,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,49792.52734375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B81482951983667_1,25212430B81482951983667,1,Cantemir,0,0,0,0,0,0,0,0,0,MDA,0,0,0,0,51065.67578125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
25212430B81482951983667_2,25212430B81482951983667,1,Cantemir,0,0,0,0,76.49369812011719,841.59130859375,0,0,7,MDA,0,0,0,0,51065.67578125,3807.83544921875,50958.6875,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
