system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
92416918B70420899930674_0,92416918B70420899930674,1,Bamako,8.882711410522461,154.99124145507812,0,0,0,0,2,0,0,MLI,16150.130859375,957524.8125,0,0,1115379.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B70420899930674_1,92416918B70420899930674,1,Bamako,8.882711410522461,154.99124145507812,0,0,0,0,2,0,0,MLI,25355.095703125,2727880,0,0,3319968.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B70420899930674_2,92416918B70420899930674,1,Bamako,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,3319968.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B70420899930674_3,92416918B70420899930674,1,Bamako,8.882711410522461,154.99124145507812,0,0,0,0,2,0,0,MLI,25355.095703125,2727880,0,0,3319968.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_0,92416918B98496355207236,1,Gao,15519.5068359375,5284.07861328125,0,0,0,0,5,0,0,MLI,51423.5546875,125557.2734375,0,0,363129.90625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_1,92416918B98496355207236,1,Gao,18060.8359375,7619.7861328125,0,0,0,0,6,0,0,MLI,116280.5546875,284410.15625,0,0,907763.125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_2,92416918B98496355207236,1,Gao,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,907763.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_3,92416918B98496355207236,1,Gao,18060.8359375,7619.7861328125,0,0,0,0,6,0,0,MLI,116280.5546875,284410.15625,0,0,907763.125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67011525583155_0,92416918B67011525583155,1,Kayes,2689.0439453125,11663.595703125,0,0,0,0,25,0,0,MLI,24983.482421875,294855.5625,0,0,1455892.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67011525583155_1,92416918B67011525583155,1,Kayes,3504.7783203125,13449.5458984375,2031.93359375,3725.77880859375,215.73931884765625,2248.01904296875,28,6,1,MLI,56209.3515625,697719.875,12066.564453125,38706.83203125,2947902.75,22303.98046875,110507.7421875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
