system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
14279143B81467460095364_0,14279143B81467460095364,1,Uvs,781.6890869140625,1040.1614990234375,7954.8173828125,13556.5478515625,0,38.2353401184082,2,9,2,MNG,483.37872314453125,5981.236328125,1538.338623046875,12142.61328125,92989.7734375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B81467460095364_1,14279143B81467460095364,1,Uvs,1249.7523193359375,2213.389404296875,7961.01953125,13551.2890625,0,38.2353401184082,4,10,2,MNG,318.78509521484375,4718.06787109375,1097.5135498046875,8912.4609375,62561.87890625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B81467460095364_2,14279143B81467460095364,1,Uvs,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,62561.87890625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B81467460095364_3,14279143B81467460095364,1,Uvs,1249.7523193359375,2213.389404296875,7961.01953125,13551.2890625,0,38.2353401184082,4,10,2,MNG,318.78509521484375,4718.06787109375,1097.5135498046875,8912.4609375,62561.87890625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_0,14279143B22317554045022,1,Khovd,486.56793212890625,1251.643310546875,21466.55859375,9757.962890625,0,64.28782653808594,1,5,1,MNG,281.163818359375,3160.259033203125,4086.27978515625,6143.6845703125,89455.0546875,0,177.989013671875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_1,14279143B22317554045022,1,Khovd,1006.9002075195312,2079.834228515625,27268.685546875,14858.1640625,0,64.28782653808594,2,7,1,MNG,252.13536071777344,2722.75927734375,4610.33642578125,7229.02734375,69263.3203125,0,152.58523559570312,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_2,14279143B22317554045022,1,Khovd,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,69263.3203125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_3,14279143B22317554045022,1,Khovd,1006.9002075195312,2079.834228515625,27268.685546875,14858.1640625,0,64.28782653808594,2,7,1,MNG,252.13536071777344,2722.75927734375,4610.33642578125,7229.02734375,69263.3203125,0,152.58523559570312,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B63368554420497_0,14279143B63368554420497,1,Zavkhan,0,0,6804.216796875,5063.1005859375,0,2.6102144718170166,0,4,1,MNG,0,0,2193.675537109375,222.91876220703125,92797.3203125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B63368554420497_1,14279143B63368554420497,1,Zavkhan,0,0,9888.1826171875,11607.5732421875,0,2.6102144718170166,0,7,1,MNG,0,0,2016.5252685546875,2902.598388671875,54461.93359375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B63368554420497_2,14279143B63368554420497,1,Zavkhan,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,54461.93359375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B63368554420497_3,14279143B63368554420497,1,Zavkhan,0,0,9888.1826171875,11607.5732421875,0,2.6102144718170166,0,7,1,MNG,0,0,2016.5252685546875,2902.598388671875,54461.93359375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49613281560709_0,14279143B49613281560709,1,Bulgan,0,124.74596405029297,54.15413284301758,609.46234130859375,0,0,1,1,0,MNG,0,19.514083862304688,0,201.04727172851562,61695.6953125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49613281560709_1,14279143B49613281560709,1,Bulgan,803.0908203125,2201.4267578125,6621.45458984375,4742.111328125,0,0,3,3,0,MNG,14.76649284362793,230.16929626464844,334.6797790527344,2427.14892578125,50900.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49613281560709_2,14279143B49613281560709,1,Bulgan,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,50900.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49613281560709_3,14279143B49613281560709,1,Bulgan,803.0908203125,2201.4267578125,6621.45458984375,4742.111328125,0,0,3,3,0,MNG,14.76649284362793,230.16929626464844,334.6797790527344,2427.14892578125,50900.625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B47638406449643_0,14279143B47638406449643,1,Dornogovi,1903.0604248046875,4113.08544921875,5622.89013671875,2705.867919921875,0,0,3,2,0,MNG,333.82818603515625,469.79962158203125,427.324462890625,423.7089538574219,53912.74609375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B47638406449643_1,14279143B47638406449643,1,Dornogovi,2543.764892578125,6543.279296875,5622.89013671875,2705.867919921875,0,0,6,2,0,MNG,500.3202209472656,1244.126708984375,583.408935546875,603.769775390625,77350.15625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B47638406449643_2,14279143B47638406449643,1,Dornogovi,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,77350.15625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B47638406449643_3,14279143B47638406449643,1,Dornogovi,2543.764892578125,6543.279296875,5622.89013671875,2705.867919921875,0,0,6,2,0,MNG,500.3202209472656,1244.126708984375,583.408935546875,603.769775390625,77350.15625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B69842940795179_0,14279143B69842940795179,1,Ulaanbaatar,0,0,638.37615966796875,1529.7391357421875,0,0,0,2,0,MNG,0,0,8941.0439453125,713158.0625,785112.5,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B69842940795179_1,14279143B69842940795179,1,Ulaanbaatar,43.869895935058594,453.18182373046875,638.37615966796875,1529.7391357421875,0,0,2,2,0,MNG,217.9417266845703,30744.552734375,26978.041015625,1554628.25,1706062.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B69842940795179_2,14279143B69842940795179,1,Ulaanbaatar,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,1706062.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B69842940795179_3,14279143B69842940795179,1,Ulaanbaatar,43.869895935058594,453.18182373046875,638.37615966796875,1529.7391357421875,0,0,2,2,0,MNG,217.9417266845703,30744.552734375,26978.041015625,1554628.25,1706062.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B31648094269757_0,14279143B31648094269757,1,Govisumber,0,1.7319238185882568,0,0,0,0,1,0,0,MNG,0,0,0,0,12617.994140625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B31648094269757_1,14279143B31648094269757,1,Govisumber,28.27641487121582,296.0161437988281,0,0,0,0,2,0,0,MNG,16.11189079284668,15.005351066589355,0,0,15990.306640625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B31648094269757_2,14279143B31648094269757,1,Govisumber,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,15990.306640625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B31648094269757_3,14279143B31648094269757,1,Govisumber,28.27641487121582,296.0161437988281,0,0,0,0,2,0,0,MNG,16.11189079284668,15.005351066589355,0,0,15990.306640625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B54746499726346_0,14279143B54746499726346,1,Sükhbaatar,685.89471435546875,1459.50927734375,4568.4287109375,3686.96044921875,0,0,3,2,0,MNG,23.315309524536133,879.7572021484375,684.47271728515625,4306.9521484375,57459.78515625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B54746499726346_1,14279143B54746499726346,1,Sükhbaatar,3632.822509765625,4048.396728515625,4582.92236328125,4160.458984375,0,0.01179109513759613,5,3,1,MNG,71.1272201538086,824.5045166015625,613.3829345703125,4162.697265625,53073.16796875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B54746499726346_2,14279143B54746499726346,1,Sükhbaatar,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,53073.16796875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B54746499726346_3,14279143B54746499726346,1,Sükhbaatar,3632.822509765625,4048.396728515625,4582.92236328125,4160.458984375,0,0.01179109513759613,5,3,1,MNG,71.1272201538086,824.5045166015625,613.3829345703125,4162.697265625,53073.16796875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B39885639062119_0,14279143B39885639062119,1,Govi-Altai,3755.609619140625,5431.96337890625,38008.99609375,7844.37451171875,0,0,3,5,1,MNG,70.2069091796875,4629.0166015625,4369.3603515625,1619.9864501953125,65486.39453125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B39885639062119_1,14279143B39885639062119,1,Govi-Altai,5658.70361328125,7303.84619140625,40682.2734375,10433.3623046875,0,0,4,7,1,MNG,210.2938995361328,4960.21435546875,4283.2177734375,2316.50439453125,51245.92578125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B39885639062119_2,14279143B39885639062119,1,Govi-Altai,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,51245.92578125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B39885639062119_3,14279143B39885639062119,1,Govi-Altai,5658.70361328125,7303.84619140625,40682.2734375,10433.3623046875,0,0,4,7,1,MNG,210.2938995361328,4960.21435546875,4283.2177734375,2316.50439453125,51245.92578125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B15424694570155_0,14279143B15424694570155,1,Orkhon,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,75870.609375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B15424694570155_1,14279143B15424694570155,1,Orkhon,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,117601.296875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B15424694570155_2,14279143B15424694570155,1,Orkhon,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,117601.296875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B15424694570155_3,14279143B15424694570155,1,Orkhon,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,117601.296875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49702315868913_0,14279143B49702315868913,1,Arkhangai,0,0,5602.26806640625,7322.185546875,0,22.91314697265625,0,6,1,MNG,0,0,5959.56640625,28795.71484375,100195.9453125,0,65.42771911621094,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49702315868913_1,14279143B49702315868913,1,Arkhangai,0,0,6379.30419921875,9044.4658203125,0,22.91314697265625,0,9,1,MNG,0,0,5696.15673828125,28030.935546875,84025.609375,0,53.11204147338867,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49702315868913_2,14279143B49702315868913,1,Arkhangai,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,84025.609375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B49702315868913_3,14279143B49702315868913,1,Arkhangai,0,0,6379.30419921875,9044.4658203125,0,22.91314697265625,0,9,1,MNG,0,0,5696.15673828125,28030.935546875,84025.609375,0,53.11204147338867,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B7576416025221_0,14279143B7576416025221,1,Bayankhongor,0,0,22858.59375,7730.8935546875,501.02734375,3372.3291015625,0,4,1,MNG,0,0,2338.936279296875,1859.588134765625,87915.515625,13.8170747756958,3953.9873046875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B7576416025221_1,14279143B7576416025221,1,Bayankhongor,190.2457275390625,863.35260009765625,26616.931640625,12914.94921875,352.0182800292969,2664.728271484375,2,7,1,MNG,42.74699020385742,1305.2841796875,2652.435791015625,5626.83203125,78321.6484375,0,2849.7412109375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B7576416025221_2,14279143B7576416025221,1,Bayankhongor,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,78321.6484375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B7576416025221_3,14279143B7576416025221,1,Bayankhongor,190.2457275390625,863.35260009765625,26616.931640625,12914.94921875,352.0182800292969,2664.728271484375,2,7,1,MNG,42.74699020385742,1305.2841796875,2652.435791015625,5626.83203125,78321.6484375,0,2849.7412109375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B59026071325992_0,14279143B59026071325992,1,Dundgovi,1825.510498046875,2006.6041259765625,0,0,0,0,2,0,0,MNG,589.06329345703125,263.6983337402344,0,0,53209.0390625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B59026071325992_1,14279143B59026071325992,1,Dundgovi,2409.1787109375,3693.134033203125,1786.239990234375,3072.6787109375,0,0,3,2,0,MNG,438.56683349609375,1673.17041015625,93.61541748046875,838.63323974609375,33533.6796875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B59026071325992_2,14279143B59026071325992,1,Dundgovi,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,33533.6796875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B59026071325992_3,14279143B59026071325992,1,Dundgovi,2409.1787109375,3693.134033203125,1786.239990234375,3072.6787109375,0,0,3,2,0,MNG,438.56683349609375,1673.17041015625,93.61541748046875,838.63323974609375,33533.6796875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B52126529381065_0,14279143B52126529381065,1,Ömnögovi,269.5791931152344,725.8876953125,33885.921875,12319.6416015625,0,0,1,5,0,MNG,2.0012569427490234,45.122989654541016,3143.257080078125,17137.111328125,47867.31640625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B52126529381065_1,14279143B52126529381065,1,Ömnögovi,7456.7685546875,2689.58154296875,33885.921875,12319.6416015625,0,0,2,5,0,MNG,804.033447265625,1980.630126953125,5258.88525390625,31548.83203125,88200.71875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B52126529381065_2,14279143B52126529381065,1,Ömnögovi,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,88200.71875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B52126529381065_3,14279143B52126529381065,1,Ömnögovi,7456.7685546875,2689.58154296875,33885.921875,12319.6416015625,0,0,2,5,0,MNG,804.033447265625,1980.630126953125,5258.88525390625,31548.83203125,88200.71875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B32793669032275_0,14279143B32793669032275,1,Övörkhangai,96.79309844970703,438.70098876953125,2856.70654296875,3505.4521484375,118.45047760009766,1291.472412109375,1,3,2,MNG,5.970999717712402,210.8907470703125,383.0588073730469,22895.400390625,115028.6328125,0,6254.482421875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B32793669032275_1,14279143B32793669032275,1,Övörkhangai,96.79309844970703,366.2536315917969,3337.90087890625,4027.3642578125,118.45047760009766,1291.472412109375,1,5,2,MNG,6.232476711273193,140.674560546875,803.07647705078125,20733.68359375,104349.609375,0,5691.20263671875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B32793669032275_2,14279143B32793669032275,1,Övörkhangai,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,104349.609375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B32793669032275_3,14279143B32793669032275,1,Övörkhangai,96.79309844970703,366.2536315917969,3337.90087890625,4027.3642578125,118.45047760009766,1291.472412109375,1,5,2,MNG,6.232476711273193,140.674560546875,803.07647705078125,20733.68359375,104349.609375,0,5691.20263671875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B76228648820573_0,14279143B76228648820573,1,Töv,124.24823760986328,893.28741455078125,10224.24609375,4141.2158203125,0,0,2,5,0,MNG,0,590.92767333984375,1007.6334838867188,22075.919921875,102061.984375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B76228648820573_1,14279143B76228648820573,1,Töv,124.24823760986328,1092.139404296875,10224.46875,4401.091796875,0,0,5,6,0,MNG,0,914.265869140625,788.973388671875,17763.630859375,81583.78125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B76228648820573_2,14279143B76228648820573,1,Töv,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,81583.78125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B76228648820573_3,14279143B76228648820573,1,Töv,124.24823760986328,1092.139404296875,10224.46875,4401.091796875,0,0,5,6,0,MNG,0,914.265869140625,788.973388671875,17763.630859375,81583.78125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B35762276870520_0,14279143B35762276870520,1,Dornod,6383.107421875,6570.33154296875,6334.326171875,7199.06005859375,0,0.010907618328928947,3,5,1,MNG,402.73602294921875,5817.31884765625,178.84104919433594,1661.8460693359375,75668.6640625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
